,MATCH,DATE,PT_DIFF,HOME,AWAY,TEAM_x,A_x,BLK_x,DEF_x,OFF_x,PF_x,PTS_x,STL_x,TO_x,TOT_x,3P_x,3PA_x,FG_x,FGA_x,FT_x,FTA_x,PER_x,TEAM_y,A_y,BLK_y,DEF_y,OFF_y,PF_y,PTS_y,STL_y,TO_y,TOT_y,3P_y,3PA_y,FG_y,FGA_y,FT_y,FTA_y,PER_y
0,William & Mary vs. St. John's,2011-11-07,15,William & Mary,St. John's,William & Mary,10.566666666666666,1.8333333333333333,20.8,6.566666666666666,16.7,60.3,4.733333333333333,12.5,27.366666666666667,6.666666666666667,21.033333333333335,20.733333333333334,51.233333333333334,12.166666666666666,17.133333333333333,17.232195640175405,St. John's,9.875,3.5,17.71875,9.40625,14.75,59.9375,7.46875,11.0,27.125,4.0,13.71875,21.25,51.46875,13.4375,19.21875,20.725919153920092
1,Valparaiso vs. Arizona,2011-11-07,9,Valparaiso,Arizona,Valparaiso,14.033333333333333,2.8,23.166666666666668,7.366666666666666,17.8,70.8,6.2,14.7,30.533333333333335,7.166666666666667,20.933333333333334,23.866666666666667,51.166666666666664,15.9,22.3,21.96045225073047,Arizona,14.625,3.71875,25.6875,9.34375,18.0625,75.28125,6.0625,13.21875,35.03125,8.03125,21.28125,24.78125,56.3125,17.6875,25.0625,8.637087163816137
2,Eastern Kentucky vs. Mississippi St.,2011-11-07,-10,Eastern Kentucky,Mississippi St.,Eastern Kentucky,11.4,1.8666666666666667,18.433333333333334,7.566666666666666,20.0,65.13333333333334,7.033333333333333,10.5,26.0,6.833333333333333,21.166666666666668,22.933333333333334,53.333333333333336,12.433333333333334,16.866666666666667,19.1539247965041,Mississippi St.,13.75,3.53125,24.3125,9.9375,13.84375,73.8125,6.09375,11.6875,34.25,7.25,20.09375,26.59375,57.8125,13.375,18.6875,25.938858393282402
3,Akron vs. Mississippi St.,2011-11-09,10,Akron,Mississippi St.,Akron,14.580645161290322,4.354838709677419,22.419354838709676,10.32258064516129,18.161290322580644,74.51612903225806,7.612903225806452,14.32258064516129,32.74193548387097,6.193548387096774,16.774193548387096,26.387096774193548,56.54838709677419,15.548387096774194,22.483870967741936,25.412021151868373,Mississippi St.,13.75,3.53125,24.3125,9.9375,13.84375,73.8125,6.09375,11.6875,34.25,7.25,20.09375,26.59375,57.8125,13.375,18.6875,25.938858393282402
4,Liberty vs. Texas A&M,2011-11-09,-22,Liberty,Texas A&M,Liberty,13.178571428571429,2.107142857142857,21.321428571428573,8.892857142857142,16.214285714285715,66.53571428571429,4.642857142857143,11.464285714285714,30.214285714285715,3.4642857142857144,11.0,24.607142857142858,54.82142857142857,13.857142857142858,18.821428571428573,20.142838204870067,Texas A&M,10.96551724137931,2.2413793103448274,21.17241379310345,8.724137931034482,18.20689655172414,61.758620689655174,5.862068965517241,12.793103448275861,29.896551724137932,5.206896551724138,16.0,23.03448275862069,53.89655172413793,10.482758620689655,15.482758620689655,8.998808858895458
5,Lehigh vs. St. John's,2011-11-09,-5,Lehigh,St. John's,Lehigh,13.806451612903226,3.064516129032258,23.483870967741936,8.96774193548387,18.612903225806452,79.6774193548387,8.225806451612904,11.67741935483871,32.45161290322581,7.580645161290323,21.677419354838708,26.870967741935484,60.58064516129032,18.35483870967742,23.806451612903224,23.006483233849263,St. John's,9.875,3.5,17.71875,9.40625,14.75,59.9375,7.46875,11.0,27.125,4.0,13.71875,21.25,51.46875,13.4375,19.21875,20.725919153920092
6,Duquesne vs. Arizona,2011-11-09,8,Duquesne,Arizona,Duquesne,14.8,3.3333333333333335,17.966666666666665,8.466666666666667,16.566666666666666,70.73333333333333,7.266666666666667,11.366666666666667,26.433333333333334,6.333333333333333,18.7,25.233333333333334,56.2,13.933333333333334,20.933333333333334,22.018451460289512,Arizona,14.625,3.71875,25.6875,9.34375,18.0625,75.28125,6.0625,13.21875,35.03125,8.03125,21.28125,24.78125,56.3125,17.6875,25.0625,8.637087163816137
7,Montana St. vs. Arizona St.,2011-11-11,6,Montana St.,Arizona St.,Montana St.,11.923076923076923,3.5,19.0,10.0,19.46153846153846,66.34615384615384,6.038461538461538,12.961538461538462,29.0,6.8076923076923075,19.615384615384617,23.076923076923077,56.15384615384615,13.384615384615385,18.96153846153846,20.332265175231935,Arizona St.,10.7,4.033333333333333,20.433333333333334,6.933333333333334,16.733333333333334,56.8,5.066666666666666,14.566666666666666,27.366666666666667,5.6,15.4,19.7,43.8,11.8,17.466666666666665,19.653325583863516
8,Northeastern vs. Boston U,2011-11-11,-8,Northeastern,Boston U,Northeastern,12.275862068965518,3.9310344827586206,20.20689655172414,9.931034482758621,18.96551724137931,64.79310344827586,8.137931034482758,15.448275862068966,30.137931034482758,5.689655172413793,16.0,22.724137931034484,52.310344827586206,13.655172413793103,19.482758620689655,19.349761563649082,Boston U,12.0,3.096774193548387,22.322580645161292,9.258064516129032,17.06451612903226,65.54838709677419,6.032258064516129,13.516129032258064,31.580645161290324,6.516129032258065,20.387096774193548,23.225806451612904,54.645161290322584,12.580645161290322,18.64516129032258,19.06693049191334
9,Fairfield vs. Quinnipiac,2011-11-11,12,Fairfield,Quinnipiac,Fairfield,16.606060606060606,4.575757575757576,23.151515151515152,10.909090909090908,20.363636363636363,72.9090909090909,9.272727272727273,15.878787878787879,34.06060606060606,6.909090909090909,19.87878787878788,26.666666666666668,59.39393939393939,12.666666666666666,19.424242424242426,21.291098064309196,Quinnipiac,12.833333333333334,3.3333333333333335,25.5,14.7,20.6,73.86666666666666,5.633333333333334,12.533333333333333,40.2,4.7,13.9,26.866666666666667,62.46666666666667,15.433333333333334,24.0,20.635917390798472
