,MATCH,DATE,PT_DIFF,HOME,AWAY,TEAM_x,A_x,BLK_x,DEF_x,OFF_x,PF_x,PTS_x,STL_x,TO_x,TOT_x,3P_x,3PA_x,FG_x,FGA_x,FT_x,FTA_x,PER_x,TEAM_y,A_y,BLK_y,DEF_y,OFF_y,PF_y,PTS_y,STL_y,TO_y,TOT_y,3P_y,3PA_y,FG_y,FGA_y,FT_y,FTA_y,PER_y
0,Georgia Southern vs. Houston,2008-11-10,2.0,Georgia Southern,Houston,Georgia Southern,10.555555555555555,2.3703703703703702,20.037037037037038,10.185185185185185,19.88888888888889,67.18518518518519,6.333333333333333,14.0,30.22222222222222,7.185185185185185,20.074074074074073,24.703703703703702,56.48148148148148,12.555555555555555,19.40740740740741,18.826022781451893,Houston,13.233333333333333,4.566666666666666,24.866666666666667,12.2,19.066666666666666,83.13333333333334,8.866666666666667,10.566666666666666,37.06666666666667,5.033333333333333,16.366666666666667,27.033333333333335,63.06666666666667,17.6,23.9,7.944809715287656
1,Presbyterian vs. Duke,2008-11-10,31.0,Presbyterian,Duke,Presbyterian,10.310344827586206,2.7241379310344827,20.96551724137931,8.206896551724139,16.586206896551722,58.13793103448276,6.862068965517241,15.310344827586206,29.17241379310345,5.172413793103448,16.137931034482758,19.586206896551722,45.96551724137931,10.827586206896552,16.103448275862068,16.179082822749248,Duke,13.971428571428572,4.142857142857143,22.65714285714286,12.657142857142857,19.057142857142857,81.62857142857143,8.885714285714286,12.571428571428571,35.31428571428572,6.714285714285714,19.514285714285716,26.142857142857142,57.68571428571428,16.6,23.0,22.84697355280074
2,Indiana - Purdue vs. Northeastern,2008-11-11,-13.0,Indiana - Purdue,Northeastern,Indiana - Purdue,13.192307692307692,3.576923076923077,19.846153846153847,8.23076923076923,15.538461538461538,65.84615384615384,6.961538461538462,12.576923076923077,28.076923076923077,4.961538461538462,14.615384615384615,22.115384615384617,48.84615384615385,10.615384615384615,16.307692307692307,20.766962073555575,Northeastern,11.935483870967742,2.774193548387097,20.0,8.612903225806452,17.612903225806452,64.12903225806451,7.516129032258065,12.483870967741936,28.612903225806452,4.870967741935484,15.612903225806452,20.032258064516128,48.935483870967744,14.451612903225806,19.774193548387096,18.364125253189776
3,Presbyterian vs. Houston,2008-11-11,19.0,Presbyterian,Houston,Presbyterian,10.310344827586206,2.7241379310344827,20.96551724137931,8.206896551724139,16.586206896551722,58.13793103448276,6.862068965517241,15.310344827586206,29.17241379310345,5.172413793103448,16.137931034482758,19.586206896551722,45.96551724137931,10.827586206896552,16.103448275862068,16.179082822749248,Houston,13.233333333333333,4.566666666666666,24.866666666666667,12.2,19.066666666666666,83.13333333333334,8.866666666666667,10.566666666666666,37.06666666666667,5.033333333333333,16.366666666666667,27.033333333333335,63.06666666666667,17.6,23.9,7.944809715287656
4,Georgia Southern vs. Duke,2008-11-11,43.0,Georgia Southern,Duke,Georgia Southern,10.555555555555555,2.3703703703703702,20.037037037037038,10.185185185185185,19.88888888888889,67.18518518518519,6.333333333333333,14.0,30.22222222222222,7.185185185185185,20.074074074074073,24.703703703703702,56.48148148148148,12.555555555555555,19.40740740740741,18.826022781451893,Duke,13.971428571428572,4.142857142857143,22.65714285714286,12.657142857142857,19.057142857142857,81.62857142857143,8.885714285714286,12.571428571428571,35.31428571428572,6.714285714285714,19.514285714285716,26.142857142857142,57.68571428571428,16.6,23.0,22.84697355280074
5,Northeastern vs. Michigan,2008-11-12,20.0,Northeastern,Michigan,Northeastern,11.935483870967742,2.774193548387097,20.0,8.612903225806452,17.612903225806452,64.12903225806451,7.516129032258065,12.483870967741936,28.612903225806452,4.870967741935484,15.612903225806452,20.032258064516128,48.935483870967744,14.451612903225806,19.774193548387096,18.364125253189776,Michigan,16.4375,2.65625,20.84375,8.78125,16.1875,70.21875,6.75,11.71875,29.625,8.125,24.8125,24.8125,57.5,13.875,19.0625,4.509356896346757
6,Prairie View A&M vs. UCLA,2008-11-12,-24.0,Prairie View A&M,UCLA,Prairie View A&M,13.11111111111111,2.4814814814814814,22.555555555555557,11.407407407407407,20.51851851851852,72.03703703703704,8.037037037037036,15.62962962962963,33.96296296296296,6.407407407407407,19.555555555555557,26.296296296296298,61.925925925925924,14.407407407407407,22.40740740740741,18.175585675612385,UCLA,16.363636363636363,3.303030303030303,21.21212121212121,10.393939393939394,18.0,79.42424242424242,8.848484848484848,13.090909090909092,31.606060606060606,7.0606060606060606,18.87878787878788,27.03030303030303,56.666666666666664,11.818181818181818,16.96969696969697,23.912410569408223
7,Weber St. vs. Miami (OH),2008-11-12,4.0,Weber St.,Miami (OH),Weber St.,12.241379310344827,3.793103448275862,24.310344827586206,6.0,19.517241379310345,71.37931034482759,6.0344827586206895,14.689655172413794,30.310344827586206,7.586206896551724,18.862068965517242,23.448275862068964,49.13793103448276,14.620689655172415,20.310344827586206,21.028932665073054,Miami (OH),11.586206896551724,3.0344827586206895,20.75862068965517,7.896551724137931,16.93103448275862,59.275862068965516,5.827586206896552,12.724137931034482,28.655172413793103,4.827586206896552,14.586206896551724,19.724137931034484,45.48275862068966,11.03448275862069,15.793103448275861,34.325503539969915
8,Massachusetts vs. Southern Illinois,2008-11-12,-7.0,Massachusetts,Southern Illinois,Massachusetts,14.137931034482758,5.448275862068965,22.0,8.655172413793103,16.79310344827586,70.82758620689656,6.724137931034483,13.827586206896552,30.655172413793103,7.758620689655173,21.896551724137932,25.82758620689655,59.89655172413793,12.827586206896552,18.724137931034484,20.011424298808627,Southern Illinois,12.793103448275861,2.3448275862068964,19.482758620689655,8.551724137931034,20.724137931034484,64.13793103448276,6.0344827586206895,14.448275862068966,28.03448275862069,6.379310344827586,15.96551724137931,21.655172413793103,51.06896551724138,13.689655172413794,19.06896551724138,17.47501827794078
9,Prairie View A&M vs. Weber St.,2008-11-13,-10.0,Prairie View A&M,Weber St.,Prairie View A&M,13.11111111111111,2.4814814814814814,22.555555555555557,11.407407407407407,20.51851851851852,72.03703703703704,8.037037037037036,15.62962962962963,33.96296296296296,6.407407407407407,19.555555555555557,26.296296296296298,61.925925925925924,14.407407407407407,22.40740740740741,18.175585675612385,Weber St.,12.241379310344827,3.793103448275862,24.310344827586206,6.0,19.517241379310345,71.37931034482759,6.0344827586206895,14.689655172413794,30.310344827586206,7.586206896551724,18.862068965517242,23.448275862068964,49.13793103448276,14.620689655172415,20.310344827586206,21.028932665073054
