,MATCH,DATE,PT_DIFF
0,Citadel vs. VMI,2013-11-08,-11
1,Alabama vs. Oklahoma,2013-11-08,-9
2,Illinois St. vs. VCU,2013-11-08,-38
3,Stetson vs. Clemson,2013-11-08,20
4,Davidson vs. Duke,2013-11-08,-34
5,Missouri St. vs. Old Dominion,2013-11-08,12
6,Radford vs. George Washington,2013-11-08,22
7,Gardner-Webb vs. Xavier,2013-11-08,-24
8,South Carolina State vs. Marshall,2013-11-08,16
9,N.C. Asheville vs. Kentucky,2013-11-08,32
10,Delaware vs. Richmond,2013-11-08,-2
11,American U. vs. George Mason,2013-11-08,-3
12,Monmouth-NJ vs. Hofstra,2013-11-08,-4
13,Chicago St. vs. Indiana,2013-11-08,-28
14,Savannah State vs. Pittsburgh,2013-11-08,33
15,Massachusetts Lowell vs. Michigan,2013-11-08,-27
16,East Tennessee St. vs. Charlotte,2013-11-08,5
17,Florida A&M vs. Rutgers,2013-11-08,-8
18,Navy vs. Towson,2013-11-08,-27
19,Grand Canyon vs. Loyola Marymount,2013-11-08,-3
20,Maine vs. Rhode Island,2013-11-08,-20
21,Alabama St. vs. Illinois,2013-11-08,-17
22,Coastal Carolina vs. Akron,2013-11-08,9
23,Buffalo vs. Texas A&M,2013-11-08,-24
24,Jacksonville St. vs. Bradley,2013-11-08,7
25,North Carolina Central vs. Cincinnati,2013-11-08,13
26,Alcorn St. vs. Creighton,2013-11-08,-46
27,Mercer vs. Texas,2013-11-08,-3
28,Lehigh vs. Minnesota,2013-11-08,-19
29,Nebraska Omaha vs. Northern Illinois,2013-11-08,2
30,MD Baltimore Cty vs. Arizona St.,2013-11-08,35
31,Southeastern Louisiana vs. Missouri,2013-11-08,36
32,Houston Baptist vs. Texas Tech,2013-11-08,-15
33,Prairie View A&M vs. Mississippi St.,2013-11-08,15
34,Troy vs. Mississippi,2013-11-08,15
35,Murray St. vs. Valparaiso,2013-11-08,-3
36,Oakland vs. North Carolina,2013-11-08,23
37,New Jersey Tech vs. Tulane,2013-11-08,-11
38,Texas State vs. Houston,2013-11-08,6
39,Southern California vs. Utah St.,2013-11-08,-13
40,NC-Wilmington vs. Iowa,2013-11-08,43
41,St. Francis (NY) vs. Miami-Florida,2013-11-08,-4
42,Bucknell vs. Stanford,2013-11-08,-4
43,Fresno St. vs. UC Irvine,2013-11-08,1
44,Cal Poly SLO vs. Arizona,2013-11-08,11
45,UC Riverside vs. San Diego St.,2013-11-08,36
46,Pacific vs. Nevada,2013-11-08,-2
47,UC Davis vs. Portland,2013-11-08,17
48,Tennessee St. vs. Hawaii,2013-11-08,30
49,Coppin St. vs. California,2013-11-08,19
50,Western Michigan vs. New Mexico St.,2013-11-08,-6
51,Air Force vs. Army,2013-11-08,11
52,North Florida vs. Florida,2013-11-08,8
53,Florida International vs. Eastern Kentucky,2013-11-08,22
54,Boston College vs. Providence,2013-11-08,-4
55,Maryland vs. Connecticut,2013-11-08,1
56,William & Mary vs. Hampton,2013-11-08,8
57,Cornell vs. Syracuse,2013-11-08,-22
58,Northern Kentucky vs. Purdue,2013-11-08,-1
59,James Madison vs. Virginia,2013-11-08,-20
60,Albany vs. Siena,2013-11-08,12
61,Appalachian St. vs. N.C. State,2013-11-08,-21
62,Belmont vs. Lipscomb,2013-11-08,4
63,McNeese St. vs. Michigan St,2013-11-08,-42
64,High Point vs. NC-Greensboro,2013-11-08,-8
65,Colgate vs. Wake Forest,2013-11-08,-11
66,St. John's vs. Wisconsin,2013-11-08,-11
67,Miami (OH) vs. Notre Dame,2013-11-08,-12
68,Texas Christian vs. Southern Methodist,2013-11-08,8
69,Presbyterian vs. Georgia Tech,2013-11-08,31
70,Wofford vs. Georgia,2013-11-08,20
71,Youngstown St. vs. Kennesaw St.,2013-11-08,-16
72,Wis.-Milwaukee vs. Loyola-Chicago,2013-11-08,4
73,Loyola-Maryland vs. Binghamton,2013-11-08,-5
74,Sam Houston St. vs. Texas-Pan American,2013-11-08,4
75,Mount St. Mary's vs. West Virginia,2013-11-08,-15
76,Louisiana-Monroe vs. Kansas,2013-11-08,17
77,Mississippi Valley State vs. Oklahoma St.,2013-11-08,-55
78,SIU - Edwardsville vs. Arkansas,2013-11-08,34
79,Jacksonville vs. Florida St.,2013-11-08,24
80,Lafayette vs. Villanova,2013-11-08,-16
81,Southern vs. Marquette,2013-11-08,7
82,Marist vs. Stony Brook,2013-11-08,-16
83,Nicholls State vs. Auburn,2013-11-08,22
84,Oregon vs. Georgetown,2013-11-08,-7
85,Detroit vs. South Alabama,2013-11-08,-16
86,SE Missouri St. vs. Saint Louis,2013-11-08,-23
87,Jackson State vs. Southern Miss,2013-11-08,-16
88,St. Francis (PA) vs. Fordham,2013-11-08,20
89,Weber St. vs. Brigham Young,2013-11-08,9
90,Northern Colorado vs. Kansas St.,2013-11-08,-2
91,Florida Gulf Coast vs. Nebraska,2013-11-08,-24
92,Tenn-Martin vs. Wyoming,2013-11-08,-18
93,Indiana - Purdue vs. Utah Valley,2013-11-08,-8
94,Cal. State - Bakersfield vs. Washington St.,2013-11-08,-6
95,Texas-Arlington vs. Boise St.,2013-11-08,29
96,Colorado vs. Baylor,2013-11-08,12
97,South Dakota State vs. San Diego,2013-11-08,4
98,Portland St. vs. UNLV,2013-11-08,-19
99,Louisiana Tech vs. St. Mary's,2013-11-08,-13
100,Drexel vs. UCLA,2013-11-08,-5
101,Morgan St. vs. Ohio St.,2013-11-09,-39
102,South Carolina Upstate vs. Virginia Tech,2013-11-09,1
103,Charleston vs. Louisville,2013-11-09,-22
104,Abilene Christian vs. Duquesne,2013-11-09,-19
105,Iona vs. Cleveland St.,2013-11-09,4
106,Northern Iowa vs. Ohio,2013-11-09,-11
107,IUPU - Ft. Wayne vs. Dayton,2013-11-09,1
108,Grambling State vs. DePaul,2013-11-09,38
109,Yale vs. Central Conn. St.,2013-11-09,-16
110,Army vs. Citadel,2013-11-09,15
111,Cal St. Fullerton vs. Montana St.,2013-11-09,29
112,Maryland - E. Shore vs. Columbia,2013-11-09,19
113,Tennessee Tech vs. South Florida,2013-11-09,10
114,Bryant vs. Gonzaga,2013-11-09,-24
115,Lamar vs. Butler,2013-11-09,31
116,Sacred Heart vs. Fairfield,2013-11-09,13
117,Northern Arizona vs. Texas-San Antonio,2013-11-09,11
118,Eastern Illinois vs. Northwestern,2013-11-09,-17
119,Grand Canyon vs. San Diego,2013-11-09,-11
120,Western Illinois vs. Idaho,2013-11-09,4
121,New Mexico St. vs. Tennessee St.,2013-11-09,15
122,Western Michigan vs. Hawaii,2013-11-09,10
123,St. Peter's vs. LIU Brooklyn,2013-11-09,7
124,Longwood vs. South Carolina,2013-11-09,-38
125,Ball St. vs. Indiana St.,2013-11-09,-9
126,Manhattan vs. La Salle,2013-11-09,-9
127,Hartford vs. Quinnipiac,2013-11-09,-5
128,Youngstown St. vs. Florida International,2013-11-09,-2
129,Wagner vs. Penn St.,2013-11-09,12
130,Temple vs. Pennsylvania,2013-11-09,-5
131,Eastern Kentucky vs. Kennesaw St.,2013-11-09,8
132,Niagara vs. Seton Hall,2013-11-09,-11
133,Norfolk State vs. Texas Southern,2013-11-09,-12
134,South Dakota State vs. Loyola Marymount,2013-11-09,9
135,Savannah State vs. Robert Morris,2013-11-09,20
136,St. Joseph's vs. Vermont,2013-11-09,10
137,South Dakota vs. St. Bonaventure,2013-11-09,-22
138,Drake vs. Illinois-Chicago,2013-11-09,2
139,Air Force vs. VMI,2013-11-09,-8
140,Alabama A&M vs. New Mexico,2013-11-09,-36
141,Northeastern vs. Boston U,2013-11-10,3
142,Stetson vs. Notre Dame,2013-11-10,31
143,Florida A&M vs. Princeton,2013-11-10,-17
144,Charleston Southern vs. Delaware,2013-11-10,2
145,Massachusetts vs. Boston College,2013-11-10,-13
146,Binghamton vs. Brown,2013-11-10,-17
147,Loyola-Maryland vs. Cornell,2013-11-10,-4
148,Fairleigh Dickinson vs. Hofstra,2013-11-10,-22
149,Nebraska Omaha vs. Iowa,2013-11-10,8
150,Southern vs. Middle Tennessee St.,2013-11-10,3
151,Alabama St. vs. Bradley,2013-11-10,-26
152,Holy Cross vs. Harvard,2013-11-10,10
153,Tenn-Martin vs. Colorado,2013-11-10,26
154,Oral Roberts vs. Tulsa,2013-11-10,6
155,Coppin St. vs. Oregon St.,2013-11-10,5
156,Youngstown St. vs. Eastern Kentucky,2013-11-10,-8
157,NC-Wilmington vs. Iowa St.,2013-11-10,33
158,Florida International vs. Kennesaw St.,2013-11-10,8
159,Northern Kentucky vs. Kentucky,2013-11-10,30
160,Elon University vs. Marist,2013-11-10,27
161,Jacksonville St. vs. Illinois,2013-11-10,24
162,Seattle vs. Washington,2013-11-10,-10
163,N.C. Asheville vs. Western Carolina,2013-11-11,-7
164,St. Francis (NY) vs. Florida Atlantic,2013-11-11,-2
165,Navy vs. St. Francis (PA),2013-11-11,-3
166,Belmont vs. Richmond,2013-11-11,-8
167,Kent St. vs. Temple,2013-11-11,4
168,Wis.-Milwaukee vs. Davidson,2013-11-11,-4
169,Chattanooga vs. Radford,2013-11-11,-11
170,UMKC vs. Creighton,2013-11-11,26
171,Mississippi Valley State vs. Texas A&M,2013-11-11,-24
172,Rhode Island vs. Southern Methodist,2013-11-11,-31
173,Arkansas St. vs. Jackson State,2013-11-11,4
174,Colorado St. vs. Gonzaga,2013-11-11,-32
175,Tennessee St. vs. Western Michigan,2013-11-11,-11
176,Brigham Young vs. Stanford,2013-11-11,9
177,Yale vs. Connecticut,2013-11-11,18
178,Delaware State vs. Georgia Tech,2013-11-11,-18
179,Abilene Christian vs. St. Bonaventure,2013-11-11,-28
180,South Dakota vs. Canisius,2013-11-11,5
181,Georgia Southern vs. Miami-Florida,2013-11-11,-1
182,Northern Arizona vs. Texas Tech,2013-11-11,-20
183,North Texas vs. Oklahoma,2013-11-11,-13
184,Houston vs. Texas-Pan American,2013-11-11,12
185,Rutgers vs. UAB,2013-11-11,-3
186,North Florida vs. Arkansas-Little Rock,2013-11-11,-2
187,No.Carolina A&T vs. Utah Valley,2013-11-11,-7
188,Long Beach St. vs. Arizona,2013-11-11,34
189,Western Kentucky vs. Wichita St.,2013-11-11,-17
190,Akron vs. St. Mary's,2013-11-12,-22
191,Hartford vs. Florida Gulf Coast,2013-11-12,14
192,Louisiana State vs. Massachusetts,2013-11-12,-2
193,South Carolina vs. Baylor,2013-11-12,2
194,LIU Brooklyn vs. Indiana,2013-11-12,1
195,Robert Morris vs. Lafayette,2013-11-12,-9
196,Hofstra vs. Louisville,2013-11-12,-28
197,Morehead St. vs. East Tennessee St.,2013-11-12,-8
198,Fresno St. vs. Pittsburgh,2013-11-12,-21
199,Rider vs. Lehigh,2013-11-12,14
200,Bethune-Cookman vs. South Florida,2013-11-12,-26
201,Charlotte vs. Charleston,2013-11-12,1
202,VMI vs. Wake Forest,2013-11-12,-27
203,Evansville vs. Indiana - Purdue,2013-11-12,6
204,South Carolina State vs. Michigan,2013-11-12,34
205,Pennsylvania vs. Monmouth-NJ,2013-11-12,-6
206,Gardner-Webb vs. Furman,2013-11-12,11
207,Kentucky vs. Michigan St,2013-11-12,-4
208,Southeastern Louisiana vs. Rice,2013-11-12,-1
209,Longwood vs. Texas Christian,2013-11-12,3
210,Western Illinois vs. Nebraska,2013-11-12,15
211,Central Michigan vs. Bradley,2013-11-12,10
212,Stephen F. Austin vs. Texas State,2013-11-12,7
213,Texas A&M CC vs. Iowa St.,2013-11-12,30
214,Drexel vs. Illinois St.,2013-11-12,8
215,McNeese St. vs. Louisiana-Lafayette,2013-11-12,26
216,Loyola-Chicago vs. Tennessee Tech,2013-11-12,-5
217,Miami (OH) vs. Arizona St.,2013-11-12,36
218,Florida vs. Wisconsin,2013-11-12,-6
219,Duke vs. Kansas,2013-11-12,-11
220,UC Irvine vs. Pacific,2013-11-12,5
221,CSU Northridge vs. Southern California,2013-11-12,-16
222,Denver vs. California,2013-11-12,27
223,New Mexico St. vs. Hawaii,2013-11-12,-7
224,Quinnipiac vs. La Salle,2013-11-12,6
225,West Virginia vs. Virginia Tech,2013-11-12,5
226,N.C. State vs. Cincinnati,2013-11-12,11
227,Maine vs. George Washington,2013-11-12,27
228,Hampton vs. St. Peter's,2013-11-12,5
229,Liberty vs. William & Mary,2013-11-12,-12
230,New Jersey Tech vs. Albany,2013-11-12,6
231,East Carolina vs. NC-Greensboro,2013-11-12,1
232,VCU vs. Virginia,2013-11-12,3
233,Grambling State vs. Marquette,2013-11-12,-43
234,Manhattan vs. Columbia,2013-11-12,-1
235,Siena vs. Vermont,2013-11-12,-11
236,Morgan St. vs. Towson,2013-11-12,-20
237,Fordham vs. Syracuse,2013-11-12,-15
238,Ohio vs. Ohio St.,2013-11-12,-10
239,Georgia St vs. Vanderbilt,2013-11-12,-6
240,Campbell vs. Appalachian St.,2013-11-12,-7
241,Montana vs. Minnesota,2013-11-12,26
242,South Alabama vs. Texas,2013-11-12,-7
243,Utah Valley vs. Oklahoma St.,2013-11-12,53
244,George Mason vs. Lamar,2013-11-12,14
245,Jacksonville St. vs. Chicago St.,2013-11-12,4
246,Presbyterian vs. Citadel,2013-11-12,14
247,Samford vs. Texas-Arlington,2013-11-12,-13
248,Tennessee vs. Xavier,2013-11-12,-4
249,Southern Illinois vs. Missouri,2013-11-12,13
250,Oakland vs. UCLA,2013-11-12,-31
251,Southern Utah vs. Utah St.,2013-11-12,-33
