,MATCH,DATE,PT_DIFF,HOME,AWAY,TEAM_x,A_x,BLK_x,DEF_x,OFF_x,PF_x,PTS_x,STL_x,TO_x,TOT_x,3P_x,3PA_x,FG_x,FGA_x,FT_x,FTA_x,PER_x,TEAM_y,A_y,BLK_y,DEF_y,OFF_y,PF_y,PTS_y,STL_y,TO_y,TOT_y,3P_y,3PA_y,FG_y,FGA_y,FT_y,FTA_y,PER_y
0,Utah Valley vs. Indiana - Purdue,2012-11-09,13.0,Utah Valley,Indiana - Purdue,Utah Valley,14.307692307692308,2.8846153846153846,23.53846153846154,7.153846153846154,15.23076923076923,67.23076923076923,6.269230769230769,12.807692307692308,30.692307692307693,6.230769230769231,18.423076923076923,24.846153846153847,55.15384615384615,12.5,17.73076923076923,18.121498917615117,Indiana - Purdue,12.586206896551724,2.0689655172413794,19.24137931034483,6.103448275862069,15.379310344827585,65.55172413793103,5.206896551724138,12.310344827586206,25.344827586206897,6.9655172413793105,19.17241379310345,23.20689655172414,53.275862068965516,8.413793103448276,12.482758620689655,17.335230854552357
1,Lehigh vs. Baylor,2012-11-09,22.0,Lehigh,Baylor,Lehigh,13.928571428571429,3.25,21.5,6.964285714285714,15.571428571428571,67.5,6.821428571428571,10.321428571428571,28.464285714285715,6.5,17.535714285714285,22.071428571428573,50.42857142857143,13.678571428571429,18.678571428571427,18.757565925678364,Baylor,16.424242424242426,4.878787878787879,24.87878787878788,10.878787878787879,18.09090909090909,79.60606060606061,6.96969696969697,12.393939393939394,35.75757575757576,7.121212121212121,21.21212121212121,28.060606060606062,61.90909090909091,15.666666666666666,22.454545454545453,21.363589934335135
2,Michigan St vs. Connecticut,2012-11-09,4.0,Michigan St,Connecticut,Michigan St,12.852941176470589,3.9411764705882355,24.147058823529413,9.852941176470589,16.235294117647058,68.5,8.0,12.970588235294118,34.0,5.676470588235294,15.764705882352942,24.352941176470587,53.35294117647059,12.764705882352942,17.941176470588236,21.639604997454224,Connecticut,13.433333333333334,4.533333333333333,21.366666666666667,7.533333333333333,15.733333333333333,69.23333333333333,7.366666666666666,11.666666666666666,28.9,5.966666666666667,17.8,22.933333333333334,52.56666666666667,14.666666666666666,19.366666666666667,21.22822177084612
3,Mount St. Mary's vs. Pittsburgh,2012-11-09,-32.0,Mount St. Mary's,Pittsburgh,Mount St. Mary's,13.0,2.2413793103448274,19.75862068965517,9.344827586206897,21.17241379310345,75.93103448275862,9.172413793103448,13.03448275862069,29.103448275862068,9.517241379310345,27.79310344827586,26.75862068965517,62.62068965517241,13.517241379310345,19.413793103448278,20.32693359920652,Pittsburgh,16.1875,4.03125,20.71875,11.4375,17.34375,69.28125,6.53125,10.46875,32.15625,5.125,13.96875,25.96875,54.40625,13.59375,20.3125,25.379637950775372
4,Duquesne vs. Albany,2012-11-09,3.0,Duquesne,Albany,Duquesne,12.0,3.3448275862068964,21.17241379310345,9.310344827586206,16.06896551724138,65.82758620689656,4.862068965517241,13.827586206896552,30.482758620689655,7.0344827586206895,21.06896551724138,21.620689655172413,51.93103448275862,10.655172413793103,16.862068965517242,17.895074968874425,Albany,11.903225806451612,2.2580645161290325,23.419354838709676,8.612903225806452,17.70967741935484,69.70967741935483,5.903225806451613,14.548387096774194,32.03225806451613,6.935483870967742,19.258064516129032,23.64516129032258,55.70967741935484,16.451612903225808,22.29032258064516,18.30951574069958
5,Hofstra vs. Monmouth-NJ,2012-11-09,-29.0,Hofstra,Monmouth-NJ,Hofstra,9.0,3.2413793103448274,19.551724137931036,10.03448275862069,16.379310344827587,54.13793103448276,6.103448275862069,13.448275862068966,29.586206896551722,3.689655172413793,12.448275862068966,19.79310344827586,49.310344827586206,13.344827586206897,21.24137931034483,15.964113740156245,Monmouth-NJ,12.166666666666666,1.5,19.133333333333333,8.566666666666666,20.1,64.9,8.933333333333334,14.733333333333333,27.7,5.5,17.266666666666666,23.066666666666666,57.3,13.7,19.233333333333334,15.959360604440862
6,Miami (OH) vs. N.C. State,2012-11-09,-38.0,Miami (OH),N.C. State,Miami (OH),12.11111111111111,2.4444444444444446,18.85185185185185,7.666666666666667,18.037037037037038,62.81481481481482,8.481481481481481,14.185185185185185,26.51851851851852,4.962962962962963,16.25925925925926,20.962962962962962,49.96296296296296,12.11111111111111,18.666666666666668,33.581114877338266,N.C. State,15.424242424242424,4.363636363636363,25.151515151515152,10.212121212121213,16.21212121212121,81.03030303030303,6.848484848484849,12.818181818181818,35.36363636363637,5.484848484848484,14.454545454545455,27.545454545454547,57.27272727272727,14.969696969696969,22.151515151515152,22.743395309192515
7,South Alabama vs. Florida St.,2012-11-09,-5.0,South Alabama,Florida St.,South Alabama,10.074074074074074,5.148148148148148,22.0,11.592592592592593,17.962962962962962,64.92592592592592,6.592592592592593,15.333333333333334,33.592592592592595,5.555555555555555,17.185185185185187,19.185185185185187,48.74074074074074,13.74074074074074,20.14814814814815,14.880425578026003,Florida St.,12.0,5.375,21.21875,8.65625,18.71875,70.875,6.53125,15.25,29.875,5.0625,14.9375,23.3125,52.125,15.21875,21.4375,18.36593737548861
8,Robert Morris vs. Rider,2012-11-09,25.0,Robert Morris,Rider,Robert Morris,14.393939393939394,2.121212121212121,18.575757575757574,8.212121212121213,18.454545454545453,71.45454545454545,8.757575757575758,12.181818181818182,26.78787878787879,8.0,20.636363636363637,22.636363636363637,51.75757575757576,13.969696969696969,18.78787878787879,21.909726541625723,Rider,9.606060606060606,4.242424242424242,20.90909090909091,8.151515151515152,16.90909090909091,59.333333333333336,6.2727272727272725,13.636363636363637,29.060606060606062,5.818181818181818,17.333333333333332,19.78787878787879,46.60606060606061,10.666666666666666,16.303030303030305,17.242381857260508
9,NC-Greensboro vs. High Point,2012-11-09,8.0,NC-Greensboro,High Point,NC-Greensboro,12.653846153846153,1.4230769230769231,24.53846153846154,10.76923076923077,23.307692307692307,76.11538461538461,7.884615384615385,13.192307692307692,35.30769230769231,7.038461538461538,20.923076923076923,25.346153846153847,59.76923076923077,13.961538461538462,20.846153846153847,19.63571204466387,High Point,14.777777777777779,4.111111111111111,22.62962962962963,10.925925925925926,19.074074074074073,71.25925925925925,6.925925925925926,12.333333333333334,33.55555555555556,5.2592592592592595,15.851851851851851,24.333333333333332,56.18518518518518,12.555555555555555,18.296296296296298,20.43662043267903
