,PLAYER,TEAM,YEAR,PER
0,A'uston Calhoun,Bowling Green,2012-2013,19.819395908325262
1,A.J. Avery,Western Michigan,2012-2013,20.48365103527847
2,A.J. Davis,James Madison,2012-2013,13.118964645010044
3,A.J. English,Iona,2012-2013,18.633166674822313
4,A.J. Hammons,Purdue,2012-2013,10.272273228956966
5,A.J. Hess,Southern Utah,2012-2013,11.705550311903808
6,A.J. Jones,SE Missouri St.,2012-2013,18.134925307025448
7,A.J. Lynch,Austin Peay,2012-2013,9.14414405967812
8,A.J. Pacher,Wright St.,2012-2013,18.35132030206479
9,A.J. Rogers,Norfolk State,2012-2013,12.69592285209555
10,A.J. Walton,Baylor,2012-2013,28.47682867059956
11,Aalim Moor,San Jose St.,2012-2013,18.395193870398856
12,Aaric Murray,West Virginia,2012-2013,25.018359449100878
13,Aaron Anderson,Fresno St.,2012-2013,24.84774765166225
14,Aaron Anderson,Kennesaw St.,2012-2013,22.94023406646207
15,Aaron Anderson,North Dakota,2012-2013,12.280089903151127
16,Aaron Austin,Hampton,2012-2013,10.715242415667397
17,Aaron Bacote,Old Dominion,2012-2013,11.883237676025802
18,Aaron Bowen,Georgetown,2012-2013,9.509768065987188
19,Aaron Bright,Stanford,2012-2013,20.61158289141923
20,Aaron Brown,West Virginia,2012-2013,19.46316116905268
21,Aaron Clayborn,Texas Southern,2012-2013,17.902119150858244
22,Aaron Cosby,Seton Hall,2012-2013,15.164382829378303
23,Aaron Craft,Ohio St.,2012-2013,29.937805629509693
24,Aaron Fuller,Southern California,2012-2013,21.46772306008872
25,Aaron Geramipoor,Seton Hall,2012-2013,24.23719347762027
26,Aaron Graham,Stetson,2012-2013,14.378362867771564
27,Aaron Harwell,Sam Houston St.,2012-2013,20.847043854946236
28,Aaron Jones,Mississippi,2012-2013,11.779799229424524
29,Aaron Leblanc,Louisiana-Lafayette,2012-2013,13.856451492845226
30,Aaron Moore,Portland St.,2012-2013,23.040397588397816
31,Aaron Morgan,MD Baltimore Cty,2012-2013,15.180887007495613
32,Aaron Rountree III,Wake Forest,2012-2013,22.383687582542063
33,Aaron Scales,Cleveland St.,2012-2013,19.287229407439554
34,Aaron Thomas,Florida St.,2012-2013,16.766846139884322
35,Aaron Urbanus,Texas-Pan American,2012-2013,21.74216273200117
36,Aaron Washington,UMKC,2012-2013,23.19428655181868
37,Aaron White,Iowa,2012-2013,8.91175389410765
38,Aaron Williams,Chicago St.,2012-2013,25.256931011344093
39,Aaron Wright,UC Irvine,2012-2013,8.174708698434195
40,Abdel Nader,Northern Illinois,2012-2013,9.63213165123329
41,Abdul Gaddy,Washington,2012-2013,6.555959694724915
42,Achraf Yacoubou,Villanova,2012-2013,12.860350103377128
43,Adam Barnes,Belmont,2012-2013,16.338012764144008
44,Adam Folker,UC Irvine,2012-2013,22.163911294065525
45,Adam Kemp,Marist,2012-2013,21.055729160233383
46,Adam Link,Western Illinois,2012-2013,22.1849311920111
47,Adam Pegg,Stetson,2012-2013,24.428128369696495
48,Adam Savion,Hofstra,2012-2013,7.137790751722922
49,Adam Weary,High Point,2012-2013,17.070516365399296
50,Adam Wing,Evansville,2012-2013,15.832687761390059
51,Adam Woodbury,Iowa,2012-2013,7.443426555358182
52,Adam Young,Cal. State - Bakersfield,2012-2013,18.44810484787409
53,Adama Adams,South Carolina State,2012-2013,6.204689617264108
54,Adjehi Baru,Charleston,2012-2013,13.617588565509827
55,Adonis Burbage,Central Conn. St.,2012-2013,13.785238899605705
56,Adonis Filer,Clemson,2012-2013,17.199979689651517
57,Adonis Thomas,Memphis,2012-2013,25.83393253003898
58,Adreian Payne,Michigan St,2012-2013,29.127901507932254
59,Adrian Diaz,Kansas St.,2012-2013,17.3172191775009
60,Adrian Fields,McNeese St.,2012-2013,16.119307778712837
61,Adrian Powell,No.Carolina A&T,2012-2013,22.24604433664755
62,Adrian Rodgers,South Carolina Upstate,2012-2013,18.913319661974157
63,Adrian Satchell,MD Baltimore Cty,2012-2013,20.255756028460237
64,Adrick McKinney,Texas Christian,2012-2013,18.526433451745593
65,Adrien Coleman,Bethune-Cookman,2012-2013,22.36226065061487
66,Aerris Smith,Wofford,2012-2013,15.423280181075365
67,Agunwa Okolie,Harvard,2012-2013,27.762592286301313
68,Agustin Ambrosino,Brigham Young,2012-2013,19.867278665346934
69,Ahmad Starks,Oregon St.,2012-2013,19.876136344960784
70,Ahman Fells,Illinois-Chicago,2012-2013,10.602629418276269
71,Akeem Johnson,St. Francis (NY),2012-2013,49.550119812303976
72,Akeem Richmond,East Carolina,2012-2013,20.496751593826414
73,Akeem Springs,Northern Illinois,2012-2013,12.529358648847944
74,Akil Mitchell,Virginia,2012-2013,8.565177481667826
75,Aksel Bolin,Northern Illinois,2012-2013,17.28122908960273
76,Alan Flannigan,Lafayette,2012-2013,4.429636575930351
77,Alan Williams,UC Santa Barbara,2012-2013,25.806981896932193
78,Alan-Michael Thompson,Louisiana-Lafayette,2012-2013,15.139086936404084
79,Alasdair Fraser,Maine,2012-2013,21.493259045022242
80,Albert Thomas,Delaware State,2012-2013,22.97338402740255
81,Alec Brown,Green Bay,2012-2013,22.253454939995944
82,Aleksandar Isailovic,St. Francis (NY),2012-2013,29.962616226938852
83,Aleksejs Rostov,Western Kentucky,2012-2013,19.344943873942604
84,Alex Abreu,Akron,2012-2013,24.736667743733054
