,PLAYER,TEAM,YEAR,PER
0,A'uston Calhoun,Bowling Green,2010-2011,17.64341263532391
1,A.J. Hardeman,New Mexico,2010-2011,11.869381950599573
2,A.J. Pacher,Wright St.,2010-2011,18.28643842110622
3,A.J. Tyler,Central Florida,2010-2011,25.844747684349894
4,A.J. Walton,Baylor,2010-2011,26.729855776830753
5,AJ Rompza,Central Florida,2010-2011,23.1737402132853
6,Aalim Moor,San Jose St.,2010-2011,15.961412979691408
7,Aaric Murray,La Salle,2010-2011,25.978734962570424
8,Aaron Anderson,Kennesaw St.,2010-2011,18.83763726745335
9,Aaron Anderson,North Dakota,2010-2011,10.093701000340703
10,Aaron Asp,Houston Baptist,2010-2011,22.388789340929755
11,Aaron Brackett,NC-Greensboro,2010-2011,19.216328230417073
12,Aaron Bright,Stanford,2010-2011,9.728492807756941
13,Aaron Broussard,Seattle,2010-2011,26.548502676200055
14,Aaron Brown,Temple,2010-2011,15.650041341823394
15,Aaron Carter,Indiana St.,2010-2011,15.038497364733264
16,Aaron Craft,Ohio St.,2010-2011,36.96863400049675
17,Aaron Dotson,Louisiana State,2010-2011,15.840039780154223
18,Aaron Ellis,Wichita St.,2010-2011,19.065806466476587
19,Aaron Geramipoor,Seton Hall,2010-2011,18.100047178217796
20,Aaron Graham,Stetson,2010-2011,15.642164650224935
21,Aaron Harwell,Centenary,2010-2011,13.570806812581376
22,Aaron Hawley,Drake,2010-2011,16.245765683500306
23,Aaron Holmes,Tulane,2010-2011,24.093864502472943
24,Aaron Ingle,Wake Forest,2010-2011,17.23518988463029
25,Aaron Johnson,UAB,2010-2011,21.78834843529034
26,Aaron Mitchell,Longwood,2010-2011,19.946709004641836
27,Aaron Osgood,Cornell,2010-2011,16.609196676053717
28,Aaron Pogue,Cleveland St.,2010-2011,20.57262117446403
29,Aaron Thompson,Sam Houston St.,2010-2011,14.770070123984027
30,Aaron Urbanus,Texas-Pan American,2010-2011,15.36298002155408
31,Aaron Ware,George Washington,2010-2011,17.408452414721395
32,Abdou Niang,Western Illinois,2010-2011,18.0742444481225
33,Abe Lodwick,Washington St.,2010-2011,24.015117695252773
34,Abner Moreira,Idaho State,2010-2011,19.05963224477495
35,Adam Barnes,Belmont,2010-2011,20.47403290432899
36,Adam Brakeville,Air Force,2010-2011,20.44215960873843
37,Adam Braswell,Morgan St.,2010-2011,13.282091658346461
38,Adam Brown,Houston,2010-2011,7.399311016458779
39,Adam Chmielewski,St. Francis (NY),2010-2011,36.96215689952326
40,Adam Kemp,Marist,2010-2011,20.97358842177773
41,Adam Leonard,Missouri St.,2010-2011,8.663793174038648
42,Adam Nigon,Colorado St.,2010-2011,21.323699137760244
43,Adam Sollazzo,East Tennessee St.,2010-2011,22.80868046780029
44,Adam Sterrenberg,Arkansas St.,2010-2011,10.606343710094455
45,Adam Waddell,Wyoming,2010-2011,18.823854265814035
46,Adam Wire,Cornell,2010-2011,25.616345432498882
47,Adetunji Adedipe,Ohio,2010-2011,8.014954813622488
48,Adnan Hodzic,Lipscomb,2010-2011,24.779954699353098
49,Adreian Payne,Michigan St,2010-2011,16.62419873081639
50,Adrian Bowie,Maryland,2010-2011,9.776686217858975
51,Adrian Burton,Eastern Michigan,2010-2011,8.68303787726046
52,Adrian Fields,McNeese St.,2010-2011,9.490366982685169
53,Adrian Forbes,Auburn,2010-2011,16.837140589656286
54,Adrian Oliver,San Jose St.,2010-2011,21.713989801467132
55,Adrian Powell,No.Carolina A&T,2010-2011,24.697554414002926
56,Adrian Satchell,MD Baltimore Cty,2010-2011,8.986070878705872
57,Adrian Thomas,Miami - Florida,2010-2011,21.108013167480696
58,Adrian Thomas,Miami-Florida,2010-2011,19.019009010296934
59,Adrian Williams,Brown,2010-2011,19.322337249730907
60,Ahmad Grant,NC-Wilmington,2010-2011,15.932683664112094
61,Ahmad Starks,Oregon St.,2010-2011,15.917898851069971
62,Ahyaro Phillips,Southern Mississippi,2010-2011,24.26506982754239
63,Aireus Stephenson,South Dakota State,2010-2011,14.800830300057877
64,Akeem Bennett,St. Francis (NY),2010-2011,50.838598971392756
65,Akeem Ellis,Coppin St.,2010-2011,18.692022242231523
66,Akeem Johnson,St. Francis (NY),2010-2011,48.003204518794966
67,Akeem Richmond,Rhode Island,2010-2011,18.121498696755495
68,Akil Mitchell,Virginia,2010-2011,5.8501587332105425
69,Aksel Bolin,Northern Illinois,2010-2011,15.796794391592375
70,Al Rapier,Stony Brook,2010-2011,17.21888234742523
71,Al'Lonzo Coleman,Presbyterian,2010-2011,23.34266804059862
72,Alandise Harris,Houston,2010-2011,4.2015024431002965
73,Alasdair Fraser,Maine,2010-2011,17.922507023463165
74,Albert Abrahams,Bethune-Cookman,2010-2011,10.850052221197478
75,Alberto Estwick,Fordham,2010-2011,23.613192930275165
76,Alec Brown,Wis.-Green Bay,2010-2011,24.86183344443949
77,Alec Burks,Colorado,2010-2011,12.672343574587888
78,Aleek Pauline,Norfolk State,2010-2011,23.77389824292689
79,Alejo Rodriguez,Iona,2010-2011,25.425611896472184
80,Alex Abreu,Akron,2010-2011,25.27720169938484
81,Alex Bates,Northeastern,2010-2011,15.450238871167347
82,Alex Francis,Bryant,2010-2011,15.392473954381813
83,Alex Garcia-Mendoza,Arkansas-Little Rock,2010-2011,17.780966695038167
84,Alex Harris,Northeastern,2010-2011,18.9290684127168
85,Alex Johnson,Cal. State - Bakersfield,2010-2011,16.917271586255204
86,Alex Jones,Seattle,2010-2011,16.57389066210674
87,Alex Kirk,New Mexico,2010-2011,11.212882845054875
88,Alex Marcotullio,Northwestern,2010-2011,9.623575219111917
89,Alex Ogundadegbe,Binghamton,2010-2011,14.434465163551394
90,Alex Oriakhi,Connecticut,2010-2011,29.032710345585965
91,Alex Rubin,Illinois St.,2010-2011,18.072439300392077
92,Alex Savannah,Alcorn St.,2010-2011,12.11983432044896
93,Alex Stepheson,Southern California,2010-2011,19.18687425175101
94,Alex Tiffin,UC Davis,2010-2011,12.091991001385187
95,Alex Tucker,Florida Atlantic,2010-2011,28.84456911852148
96,Alex Tyus,Florida,2010-2011,2.999390788765847
97,Alex Vouyoukas,Texas-San Antonio,2010-2011,13.368809378326018
98,Alex Wolf,Western Michigan,2010-2011,16.059659240274957
99,Alex Young,Indiana - Purdue,2010-2011,32.63888177628569
100,Alexander Harrington,St. Francis (NY),2010-2011,44.789242228688266
101,Alexander Starling,Bethune-Cookman,2010-2011,27.7145952817429
102,Alexis Wangmene,Texas,2010-2011,1.4614015803887945
103,Alfonzo McKinnie,Eastern Illinois,2010-2011,18.148104753164652
104,Alfred Jones,Tennessee Tech,2010-2011,27.22503760323884
105,Aliaksei Patsevich,Southern Methodist,2010-2011,17.35853926367058
106,Allen Crabbe,California,2010-2011,12.109116592055651
107,Allen Dickerson,Radford,2010-2011,15.663919595085929
108,Allen Huddleston,Pacific,2010-2011,18.140020482630437
109,"Allen Jiles, IV",CSU Northridge,2010-2011,11.845141611890549
110,Allen Payne,Auburn,2010-2011,11.0083934214663
111,Allen Roberts,Miami (OH),2010-2011,15.578066608406258
112,Allen Smith,Arkansas-Pine Bluff,2010-2011,13.571894171658773
113,Allyn Cooks,South Alabama,2010-2011,12.892712144647875
114,Alonzo Brandon,Portland St.,2010-2011,18.19335013175649
115,Alonzo Edwards,North Texas,2010-2011,17.091148956643586
116,Aloysius Henry,NC-Greensboro,2010-2011,19.263908577612497
117,Alpha N'Diaye,Sacramento State,2010-2011,23.71511194742241
118,Alphonso Dawson,Delaware,2010-2011,11.244825739460993
119,Alphonso Leary,Howard,2010-2011,12.86769142286444
120,Alshwan Hymes,Canisius,2010-2011,11.938076019944164
121,Alyos Cabell,Jacksonville,2010-2011,1.092804525339926
122,Amath M'Baye,Wyoming,2010-2011,12.830766533454378
123,Ameer Ali,Morgan St.,2010-2011,16.055528493355997
124,Amin Stevens,Florida A&M,2010-2011,24.856884401257375
125,Amir Celestin,Campbell,2010-2011,12.088629919947758
126,Amir Rashid,Central Michigan,2010-2011,9.998095670480271
127,Amos Olatayo,Stephen F. Austin,2010-2011,9.651121877791887
128,Amos Studivant,Mississippi Valley State,2010-2011,15.656544936328157
129,Amric Fields,Texas Christian,2010-2011,18.89094242633321
130,Amu Saaka,Furman,2010-2011,23.529297570001056
131,An'Juan Wilderness,Charlotte,2010-2011,18.9489656231193
132,Anali Okoloji,Seton Hall,2010-2011,16.570174836251354
133,Anatoly Bose,Nicholls State,2010-2011,17.271104561365622
134,Andre Almeida,Nebraska,2010-2011,20.289964212986412
135,Andre Coimbra,Central Michigan,2010-2011,14.946766552186007
136,Andre Cornelius,George Mason,2010-2011,15.1512860658552
137,Andre Dawkins,Duke,2010-2011,16.883477671464995
138,Andre Hardy,Cal St. Fullerton,2010-2011,23.175270676591758
139,Andre Hatchett,Idaho State,2010-2011,23.40921893433793
140,Andre Jones,Winthrop,2010-2011,22.32904242778253
141,Andre Marhold,Duquesne,2010-2011,9.28802621525384
142,Andre Mattison,Florida Atlantic,2010-2011,9.780780189577545
143,Andre McFarland,Colorado St.,2010-2011,19.945767452685725
144,Andre Roberson,Colorado,2010-2011,17.271491850178737
145,Andre Stringer,Louisiana State,2010-2011,14.482298051581136
146,Andre Williamson,Appalachian St.,2010-2011,22.09913033380951
147,Andre Young,Clemson,2010-2011,21.61723654124732
148,Andreas Schreiber,Pennsylvania,2010-2011,2.778192890521815
149,Andres Diaz,North Florida,2010-2011,16.47572320731566
150,Andres Irarrazabal,Tenn-Martin,2010-2011,20.11959021413315
151,Andrew Beinert,Holy Cross,2010-2011,16.89733648129001
152,Andrew Brommer,Iowa,2010-2011,5.193178931232447
153,Andrew Darko,Texas A&M,2010-2011,9.235800824765086
154,Andrew Ferry,Cornell,2010-2011,14.80838790353291
155,Andrew Fitzgerald,Oklahoma,2010-2011,9.32402765835632
156,Andrew Gabriel,Manhattan,2010-2011,7.550856166775404
157,Andrew Gonzalez,Houston Baptist,2010-2011,21.05313884953618
158,Andrew Goudelock,Charleston,2010-2011,16.32951939327749
159,Andrew Hooper,Denver,2010-2011,15.811405763763053
160,Andrew Jones III,Penn St.,2010-2011,21.040259348626133
161,Andrew Keister,Holy Cross,2010-2011,20.967831168742794
162,Andrew Lawrence,Charleston,2010-2011,10.482550605525871
163,Andrew McCarthy,Brown,2010-2011,23.47559341311742
164,Andrew Nicholson,St. Bonaventure,2010-2011,17.203218950620148
165,Andrew Osemhen,Kennesaw St.,2010-2011,16.157259232308206
166,Andrew Rebol,Centenary,2010-2011,16.343183426683254
167,Andrew Rogers,Maine,2010-2011,24.34001255168769
168,Andrew Smith,Butler,2010-2011,27.582522158936055
169,Andrew Steele,Alabama,2010-2011,4.740559062663586
170,Andrew Stire,Army,2010-2011,17.187568807936593
171,Andrew Taylor,Xavier,2010-2011,13.693624748261254
172,Andrew Van Nest,Harvard,2010-2011,21.40033940265964
173,Andrew Warren,Bradley,2010-2011,26.504137415398308
