,MATCH,DATE,PT_DIFF
0,Utah Valley vs. Indiana - Purdue,2012-11-09,13.0
1,Lehigh vs. Baylor,2012-11-09,22.0
2,Michigan St vs. Connecticut,2012-11-09,4.0
3,Mount St. Mary's vs. Pittsburgh,2012-11-09,-32.0
4,Duquesne vs. Albany,2012-11-09,3.0
5,Hofstra vs. Monmouth-NJ,2012-11-09,-29.0
6,Miami (OH) vs. N.C. State,2012-11-09,-38.0
7,South Alabama vs. Florida St.,2012-11-09,-5.0
8,Robert Morris vs. Rider,2012-11-09,25.0
9,NC-Greensboro vs. High Point,2012-11-09,8.0
10,Liberty vs. Richmond,2012-11-09,-42.0
11,Drexel vs. Kent St.,2012-11-09,-4.0
12,MD Baltimore Cty vs. Pennsylvania,2012-11-09,-5.0
13,Fairleigh Dickinson vs. Xavier,2012-11-09,-42.0
14,Vermont vs. Siena,2012-11-09,-1.0
15,Gardner-Webb vs. North Carolina,2012-11-09,-17.0
16,Cal Poly SLO vs. Texas Christian,2012-11-09,-7.0
17,Virginia vs. George Mason,2012-11-09,4.0
18,Holy Cross vs. Old Dominion,2012-11-09,1.0
19,Hampton vs. William & Mary,2012-11-09,-18.0
20,Akron vs. Coastal Carolina,2012-11-09,-4.0
21,Longwood vs. Marshall,2012-11-09,-34.0
22,Florida Gulf Coast vs. VCU,2012-11-09,-23.0
23,Belmont vs. Lipscomb,2012-11-09,29.0
24,South Carolina Upstate vs. Saint Louis,2012-11-09,17.0
25,Fordham vs. Texas State,2012-11-09,-10.0
26,Sam Houston St. vs. Arkansas,2012-11-09,5.0
27,Colgate vs. Illinois,2012-11-09,-20.0
28,IUPU - Ft. Wayne vs. Auburn,2012-11-09,11.0
29,Northern Illinois vs. Nebraska Omaha,2012-11-09,13.0
30,North Texas vs. Creighton,2012-11-09,20.0
31,St. Francis (NY) vs. Lafayette,2012-11-09,-11.0
32,Georgia Southern vs. Valparaiso,2012-11-09,-31.0
33,Tennessee St. vs. Brigham Young,2012-11-09,15.0
34,Southern Utah vs. Gonzaga,2012-11-09,38.0
35,Texas-Arlington vs. Cal. State - Bakersfield,2012-11-09,-2.0
36,Montana vs. Colorado St.,2012-11-09,7.0
37,UC Riverside vs. DePaul,2012-11-09,32.0
38,Prairie View A&M vs. Texas Tech,2012-11-09,-10.0
39,Texas-Pan American vs. Iowa,2012-11-09,31.0
40,Oral Roberts vs. Texas-El Paso,2012-11-09,-20.0
41,South Dakota State vs. Alabama,2012-11-09,3.0
42,Eastern Illinois vs. Bradley,2012-11-09,23.0
43,Louisiana Tech vs. Texas A&M,2012-11-09,-12.0
44,Pepperdine vs. CSU Northridge,2012-11-09,6.0
45,Indiana St. vs. UCLA,2012-11-09,-27.0
46,Florida A&M vs. Houston,2012-11-09,-5.0
47,Texas-San Antonio vs. Morgan St.,2012-11-09,12.0
48,Stetson vs. Miami-Florida,2012-11-09,8.0
49,Morehead St. vs. LIU Brooklyn,2012-11-09,-3.0
50,Charleston Southern vs. Charlotte,2012-11-09,-10.0
51,Western Carolina vs. N.C. Asheville,2012-11-09,10.0
52,Georgia St vs. Duke,2012-11-09,19.0
53,Bucknell vs. Purdue,2012-11-09,5.0
54,Bethune-Cookman vs. St. Bonaventure,2012-11-09,-10.0
55,Tulane vs. Georgia Tech,2012-11-09,18.0
56,Boston U vs. Northeastern,2012-11-09,-1.0
