,PLAYER,TEAM,YEAR,PER
0,A.D. Vassallo,Virginia Tech,2006-2007,22.237219376035533
1,A.J. Abrams,Texas,2006-2007,2.933544773509844
2,A.J. Graves,Butler,2006-2007,28.764211587335723
3,A.J. Hawkins,St. Bonaventure,2006-2007,20.62118517106968
4,A.J. Jackson,Robert Morris,2006-2007,29.834794500737743
5,A.J. Martin,Mercer,2006-2007,9.157723521215765
6,A.J. Price,Connecticut,2006-2007,34.88859814478016
7,A.J. Ratliff,Indiana,2006-2007,7.188740235207408
8,A.J. Slaughter,Western Kentucky,2006-2007,30.784905293207004
9,A.J. Smith,Stetson,2006-2007,3.8865225914206354
10,A.J. Tyler,Clemson,2006-2007,15.28891908652943
11,Aaron Brooks,Oregon,2006-2007,16.65614335480127
12,Aaron Bruce,Baylor,2006-2007,11.227430644830697
13,Aaron Caruthers,North Florida,2006-2007,11.292891402750824
14,Aaron Fleetwood,Delaware State,2006-2007,20.662653886909997
15,Aaron Gray,Pittsburgh,2006-2007,35.070217091861906
16,Aaron Jackson,Duquesne,2006-2007,20.335983034926482
17,Aaron Johnson,New Mexico,2006-2007,15.205407673204776
18,Aaron Nelson,Bethune-Cookman,2006-2007,5.968795937078457
19,Aaron Nixon,Long Beach St.,2006-2007,24.254049620477787
20,Aaron Richie,Central Michigan,2006-2007,10.664011611294061
21,Aaron Scott,Nicholls State,2006-2007,16.084326600953972
22,Aaron Spears,St. John's,2006-2007,7.923452897541203
23,Aaron Wade,Sam Houston St.,2006-2007,19.23251517640416
24,Aaron Williams,Chicago St.,2006-2007,21.686689891525397
25,Abayomi Ajasin,Arkansas St.,2006-2007,16.540794709371248
26,Abdi Lidonde,Old Dominion,2006-2007,15.889077737127455
27,Abdoulaye N'Diaye,Southern California,2006-2007,16.806104300286716
28,Abdullah Kuso,Gonzaga,2006-2007,25.862007652867142
29,Abe Badmus,Bucknell,2006-2007,20.612939685648026
30,Abray Milson,Louisiana-Lafayette,2006-2007,12.925120285708966
