,MATCH,DATE,PT_DIFF
0,Alcorn St. vs. Ohio St.,2009-11-09,-40
1,Albany vs. Syracuse,2009-11-09,-32
2,Florida International vs. North Carolina,2009-11-09,-16
3,Murray St. vs. California,2009-11-09,5
4,Robert Morris vs. Syracuse,2009-11-11,-40
5,Detroit vs. California,2009-11-11,34
6,North Carolina Central vs. North Carolina,2009-11-11,47
7,Georgia St vs. N.C. State,2009-11-12,-16
8,James Madison vs. Ohio St.,2009-11-12,-28
9,Bucknell vs. Mercer,2009-11-13,-9
10,Houston Baptist vs. South Alabama,2009-11-13,-12
11,Cleveland St. vs. St. Bonaventure,2009-11-13,-10
12,American U. vs. St. Francis (PA),2009-11-13,-4
13,NC-Greensboro vs. Duke,2009-11-13,34
14,Arkansas-Little Rock vs. Mississippi,2009-11-13,-28
15,Lehigh vs. Richmond,2009-11-13,-12
16,New Orleans vs. Georgia,2009-11-13,8
17,Army vs. VMI,2009-11-13,-7
18,Alabama A&M vs. South Carolina,2009-11-13,-38
19,Miami (OH) vs. Towson,2009-11-13,-11
20,Brown vs. St. Francis (NY),2009-11-13,4
21,LIU Brooklyn vs. St. John's,2009-11-13,-13
22,Dartmouth vs. Boston College,2009-11-13,31
23,South Dakota vs. Texas Tech,2009-11-13,-39
24,Navy vs. Radford,2009-11-13,-11
25,Morgan St. vs. Albany,2009-11-13,-4
26,Pennsylvania vs. Penn St.,2009-11-13,15
27,Colorado St. vs. UC Davis,2009-11-13,18
28,Liberty vs. George Mason,2009-11-13,4
29,Bethune-Cookman vs. VCU,2009-11-13,-26
30,Youngstown St. vs. Xavier,2009-11-13,26
31,N.C. Asheville vs. Charlotte,2009-11-13,16
32,SIU - Edwardsville vs. Illinois,2009-11-13,27
33,Norfolk State vs. Baylor,2009-11-13,28
34,Nicholls State vs. Duquesne,2009-11-13,23
35,Northern Illinois vs. Northwestern,2009-11-13,-22
36,Charleston Southern vs. Maryland,2009-11-13,-38
37,Oral Roberts vs. Wake Forest,2009-11-13,-20
38,Presbyterian vs. Clemson,2009-11-13,43
39,Loyola-Chicago vs. Kansas St.,2009-11-13,38
40,Alcorn St. vs. Arkansas,2009-11-13,-62
41,Wofford vs. Pittsburgh,2009-11-13,3
42,Sacramento State vs. Rice,2009-11-13,30
43,South Florida vs. Southern Methodist,2009-11-13,6
44,Georgetown vs. Tulane,2009-11-13,16
45,Western Illinois vs. Arizona St.,2009-11-13,52
46,Rider vs. Mississippi St.,2009-11-13,-14
47,Texas A&M CC vs. Oregon St.,2009-11-13,-24
48,Texas Southern vs. Texas-El Paso,2009-11-13,-19
49,South Dakota State vs. Wyoming,2009-11-13,16
50,Niagara vs. Auburn,2009-11-13,4
51,Utah St. vs. Weber St.,2009-11-13,6
52,North Dakota vs. Montana,2009-11-13,24
53,Santa Clara vs. Cal. State - Bakersfield,2009-11-13,-3
54,Stanford vs. San Diego,2009-11-13,13
55,Winston-Salem vs. Oregon,2009-11-13,51
56,Pacific vs. Pepperdine,2009-11-13,3
57,New Mexico St. vs. St. Mary's,2009-11-13,-32
58,Wis.-Green Bay vs. UAB,2009-11-13,12
59,Yale vs. Sacred Heart,2009-11-13,6
60,Wagner vs. Lafayette,2009-11-13,9
61,Morehead St. vs. Kentucky,2009-11-13,16
62,Massachusetts vs. Central Florida,2009-11-13,17
63,Florida Gulf Coast vs. Michigan St,2009-11-13,-39
64,Vermont vs. Loyola-Maryland,2009-11-13,13
65,Fairleigh Dickinson vs. Villanova,2009-11-13,-23
66,Drexel vs. St. Joseph's,2009-11-13,-10
67,St. Peter's vs. Seton Hall,2009-11-13,2
68,Florida International vs. Monmouth-NJ,2009-11-13,-29
69,CSU Northridge vs. Purdue,2009-11-13,-25
70,Stony Brook vs. Maryland - E. Shore,2009-11-13,-18
71,Harvard vs. Holy Cross,2009-11-13,10
72,Valparaiso vs. Ball St.,2009-11-13,10
73,NC-Wilmington vs. Appalachian St.,2009-11-13,11
74,Longwood vs. Virginia,2009-11-13,-13
75,Samford vs. Kent St.,2009-11-13,3
76,Belmont vs. Portland St.,2009-11-13,7
77,Central Conn. St. vs. Fairfield,2009-11-13,-9
78,William & Mary vs. Connecticut,2009-11-13,9
79,Boston U vs. Iona,2009-11-13,-9
80,Charleston vs. Coastal Carolina,2009-11-13,-11
81,Bryant vs. Providence,2009-11-13,-43
82,Loyola Marymount vs. Boise St.,2009-11-13,3
83,Tennessee Tech vs. Minnesota,2009-11-13,37
84,Louisiana-Monroe vs. Louisiana State,2009-11-13,20
85,Hofstra vs. Kansas,2009-11-13,-36
86,Howard vs. Indiana,2009-11-13,-23
87,Idaho State vs. Iowa St.,2009-11-13,-20
88,Maine vs. Fordham,2009-11-13,-3
89,Siena vs. Tennessee St.,2009-11-13,16
90,Centenary vs. Marquette,2009-11-13,-23
91,Idaho vs. Utah,2009-11-13,7
92,Arkansas-Pine Bluff vs. Colorado,2009-11-13,-16
93,Jackson State vs. Memphis,2009-11-13,-29
94,Austin Peay vs. Tennessee,2009-11-13,-29
95,North Dakota State vs. Utah Valley,2009-11-13,-8
96,Bradley vs. Brigham Young,2009-11-13,-10
97,Northern Iowa vs. Denver,2009-11-13,-6
98,Hartford vs. Quinnipiac,2009-11-13,-11
99,Mississippi Valley State vs. Washington St.,2009-11-13,-28
100,Cal Poly SLO vs. San Francisco,2009-11-13,-11
101,Wright St. vs. Washington,2009-11-13,5
102,McNeese St. vs. Northern Colorado,2009-11-13,-28
103,Southern Utah vs. Hawaii,2009-11-13,17
104,Temple vs. Delaware,2009-11-14,-20
105,Louisiana Tech vs. Texas-Pan American,2009-11-14,18
106,New Jersey Tech vs. Manhattan,2009-11-14,12
107,Mount St. Mary's vs. Oklahoma,2009-11-14,-24
108,North Florida vs. Notre Dame,2009-11-14,-21
109,Seattle vs. Oklahoma St.,2009-11-14,22
110,Appalachian St. vs. East Tennessee St.,2009-11-14,-4
111,Bryant vs. Mercer,2009-11-14,-24
112,Portland vs. Eastern Washington,2009-11-14,-6
113,Texas A&M CC vs. Texas Tech,2009-11-14,-7
114,Eastern Michigan vs. Oakland,2009-11-14,4
115,Colorado St. vs. Winston-Salem,2009-11-14,17
116,Loyola Marymount vs. North Dakota,2009-11-14,23
117,Mississippi Valley State vs. Gonzaga,2009-11-14,18
118,Tenn-Martin vs. Southern Illinois,2009-11-14,28
119,South Alabama vs. Rice,2009-11-14,2
120,South Dakota vs. Oregon St.,2009-11-14,15
121,Montana St. vs. Nevada,2009-11-14,-14
122,Princeton vs. Central Michigan,2009-11-14,-3
123,Creighton vs. Dayton,2009-11-14,-10
124,Davidson vs. Butler,2009-11-14,11
125,Marist vs. Rutgers,2009-11-14,-7
126,Cornell vs. Alabama,2009-11-14,-4
127,Indiana - Purdue vs. Drake,2009-11-14,-6
128,Hampton vs. La Salle,2009-11-14,-3
129,North Carolina Central vs. Miami-Florida,2009-11-14,30
130,UC Davis vs. Oregon,2009-11-14,31
131,Samford vs. Wis.-Green Bay,2009-11-14,-2
132,Sacramento State vs. Houston Baptist,2009-11-14,-10
133,Bucknell vs. Providence,2009-11-14,-11
134,UAB vs. Kent St.,2009-11-14,7
135,Eastern Illinois vs. Toledo,2009-11-14,10
136,Florida A&M vs. Georgia Tech,2009-11-14,-41
137,Portland St. vs. Wright St.,2009-11-14,-5
138,South Carolina Upstate vs. Nebraska,2009-11-14,27
139,Elon University vs. Lipscomb,2009-11-14,5
140,SE Missouri St. vs. Saint Louis,2009-11-14,-18
141,Southern Mississippi vs. Louisiana-Lafayette,2009-11-14,-7
142,UC Riverside vs. New Mexico,2009-11-14,16
143,Belmont vs. Washington,2009-11-14,-18
144,Boise St. vs. Montana,2009-11-14,-13
145,Bryant vs. Bucknell,2009-11-15,-3
146,No.Carolina A&T vs. Marshall,2009-11-15,16
147,Austin Peay vs. Akron,2009-11-15,-3
148,South Dakota vs. Texas A&M CC,2009-11-15,3
149,UC Irvine vs. Texas,2009-11-15,47
150,Hartford vs. Baylor,2009-11-15,2
151,Florida International vs. Tulsa,2009-11-15,-32
152,Boise St. vs. North Dakota,2009-11-15,15
153,Western Michigan vs. Detroit,2009-11-15,6
154,Illinois St. vs. SIU - Edwardsville,2009-11-15,22
155,Loyola-Maryland vs. West Virginia,2009-11-15,-23
156,Oregon St. vs. Texas Tech,2009-11-15,-4
157,Navy vs. Longwood,2009-11-15,-3
158,Stetson vs. Florida,2009-11-15,28
159,Seton Hall vs. Monmouth-NJ,2009-11-15,-15
160,Winston-Salem vs. UC Davis,2009-11-15,20
161,Fairleigh Dickinson vs. Wichita St.,2009-11-15,-16
162,George Washington vs. NC-Wilmington,2009-11-15,5
163,Northern Arizona vs. Arizona,2009-11-15,17
164,Vermont vs. Buffalo,2009-11-15,-1
165,Texas-San Antonio vs. Iowa,2009-11-15,-12
166,Chicago St. vs. Iowa St.,2009-11-15,-22
167,Idaho vs. Texas Southern,2009-11-15,-7
168,Northern Colorado vs. Southern Utah,2009-11-15,22
169,Cal Poly SLO vs. Stanford,2009-11-15,-17
170,McNeese St. vs. Hawaii,2009-11-15,8
171,Bethune-Cookman vs. Old Dominion,2009-11-15,-31
172,William & Mary vs. Harvard,2009-11-15,2
173,Samford vs. UAB,2009-11-15,-3
174,Sacramento State vs. South Alabama,2009-11-15,-12
175,Wake Forest vs. East Carolina,2009-11-15,-31
176,Mercer vs. Providence,2009-11-15,-2
177,Arkansas-Pine Bluff vs. Denver,2009-11-15,-19
178,Alcorn St. vs. Louisiana-Monroe,2009-11-15,-16
179,Morgan St. vs. MD Baltimore Cty,2009-11-15,-15
180,Western Illinois vs. Kansas St.,2009-11-15,32
181,Valparaiso vs. North Carolina,2009-11-15,11
182,Brown vs. Virginia Tech,2009-11-15,-14
183,Middle Tennessee St. vs. Ohio,2009-11-15,-13
184,Dartmouth vs. George Mason,2009-11-15,-16
185,Lafayette vs. Sacred Heart,2009-11-15,-11
186,Houston Baptist vs. Rice,2009-11-15,-14
187,Wis.-Green Bay vs. Kent St.,2009-11-15,-1
188,Loyola Marymount vs. Montana,2009-11-15,-1
189,IUPU - Ft. Wayne vs. Wisconsin,2009-11-15,-29
190,Colorado St. vs. Oregon,2009-11-15,-13
191,Fordham vs. Fairfield,2009-11-15,8
