,PLAYER,TEAM,YEAR,PER
0,A'Daeron Duncan,Coppin St.,2007-2008,17.295274387946527
1,A.D. Vassallo,Virginia Tech,2007-2008,25.9653433508761
2,A.J. Abrams,Texas,2007-2008,2.9155052296961483
3,A.J. Graves,Butler,2007-2008,24.541260486935446
4,A.J. Jackson,Robert Morris,2007-2008,26.035717776895325
5,A.J. Ogilvy,Vanderbilt,2007-2008,39.24640538572972
6,A.J. Price,Connecticut,2007-2008,29.81555176645874
7,A.J. Slaughter,Western Kentucky,2007-2008,23.10776380724826
8,A.J. Smith,Stetson,2007-2008,14.637396743805624
9,AJ Stewart,Kentucky,2007-2008,4.726148041781776
10,Aaron Bruce,Baylor,2007-2008,20.680785014918666
11,Aaron Carter,Indiana St.,2007-2008,11.453685322568145
12,Aaron Ellis,Wichita St.,2007-2008,8.780986681431253
13,Aaron Garner,Boise St.,2007-2008,7.481006006355176
14,Aaron Hall,Central Conn. St.,2007-2008,17.24654090013967
15,Aaron Holmes,South Florida,2007-2008,19.97298342720148
16,Aaron Jackson,Duquesne,2007-2008,24.848049141943577
17,Aaron Johnson,UAB,2007-2008,15.101807902078638
18,Aaron Linn,Gardner-Webb,2007-2008,23.285562763890795
19,Aaron Scott,UC Riverside,2007-2008,24.14798578342309
20,Aaron Smith,Prairie View A&M,2007-2008,16.305594263865686
21,Abdi Lidonde,Old Dominion,2007-2008,17.700892710632903
22,Abdulai Jalloh,James Madison,2007-2008,27.109930195707904
23,Abdullah Kuso,Gonzaga,2007-2008,29.48607074618187
24,Abray Milson,Louisiana-Lafayette,2007-2008,12.234798119170962
25,Adam Allen,Florida,2007-2008,2.1719743019827047
26,Adam Arnold,Indiana St.,2007-2008,15.226427163093591
27,Adam Constantine,Elon University,2007-2008,21.907863970768428
28,Adam Demuyakor,Harvard,2007-2008,5.1883970940559205
29,Adam Emmenecker,Drake,2007-2008,26.081365465951944
30,Adam Fletcher,Miami (OH),2007-2008,14.160960348040911
31,Adam Gore,Cornell,2007-2008,23.003918363786404
32,Adam Hood,Air Force,2007-2008,12.451401727583564
33,Adam Hrycaniuk,Cincinnati,2007-2008,11.668230176381988
34,Adam Koch,Northern Iowa,2007-2008,25.31166986124453
35,Adam Leonard,Eastern Kentucky,2007-2008,20.870649672852895
36,Adam Liberty,Oral Roberts,2007-2008,16.15850183211398
37,Adam Liddell,Florida Gulf Coast,2007-2008,22.031118571087358
38,Adam Lonon,VMI,2007-2008,10.098414254547073
39,Adam May,Holy Cross,2007-2008,19.324710112986132
40,Adam McCoy,North Texas,2007-2008,18.3702126271848
41,Adam Nigon,Colorado St.,2007-2008,10.757809548000205
42,Adam Tanner,Denver,2007-2008,22.03303122985007
43,Adam Teague,Navy,2007-2008,18.308968926236016
44,Adam Viet,Northern Iowa,2007-2008,19.04550704184003
45,Adam Walker,Howard,2007-2008,13.35757624360808
46,Adam Williams,Marshall,2007-2008,2.49353364763521
47,Ade Dagunduro,Nebraska,2007-2008,24.07536519430519
48,Adhar Mayen,Hawaii,2007-2008,6.195597623738921
49,Adnan Hodzic,Lipscomb,2007-2008,30.019807482688872
50,Adonis Gray,Nicholls State,2007-2008,21.605080300798136
51,Adrian Banks,Arkansas St.,2007-2008,35.28657036486976
52,Adrian Bowie,Maryland,2007-2008,6.4630912120466615
53,Adrian Joseph,Virginia,2007-2008,8.438298837733862
54,Adrian Oliver,Alcorn St.,2007-2008,22.247388615229017
55,Adrian Rogers,Louisiana Tech,2007-2008,6.961127365736594
56,Adrian Williams,Brown,2007-2008,14.362473390751642
57,Adrian Woodard,Hampton,2007-2008,17.928587349839678
58,Adrian Zamora,Montana St.,2007-2008,19.742945345459052
59,Adrion Graves,Xavier,2007-2008,12.405584231497087
60,Adris DeLeon,Eastern Washington,2007-2008,22.100268407828807
61,Afam Nweke,Louisiana-Monroe,2007-2008,16.771174134184882
62,Ahmad Nivins,St. Joseph's,2007-2008,29.58554902181247
63,Ahmed Khalfan,Prairie View A&M,2007-2008,20.422997076284453
64,Akeem Gooding,St. Peter's,2007-2008,14.71908555142147
65,Akeem Hemingway,UMKC,2007-2008,7.101906974219364
66,Akini Adkins,Florida A&M,2007-2008,19.119873630521298
67,Al Fisher,Kent St.,2007-2008,21.501595810778838
68,Al Nolen,Minnesota,2007-2008,20.10761924372077
69,Al Turley,Albany,2007-2008,12.96310234281352
70,Al'Lonzo Coleman,Presbyterian,2007-2008,26.452856182961728
71,Alade Aminu,Georgia Tech,2007-2008,26.56786184677071
72,Alan Metcalfe,Vanderbilt,2007-2008,20.341581698324916
73,Alan Voskuil,Texas Tech,2007-2008,23.851816529394256
74,Albert Jackson,Georgia,2007-2008,2.754455008163403
75,Aldryan Wardell,McNeese St.,2007-2008,16.283126913702244
76,Aleks Maric,Nebraska,2007-2008,46.18196180190426
77,Aleks Perka,Rice,2007-2008,8.616318881364707
78,Aleksandar Popovic,Maryland - E. Shore,2007-2008,7.545773370383111
79,Alex Barnett,Dartmouth,2007-2008,32.29424043458265
80,Alex Blair,Fresno St.,2007-2008,15.03434646540801
81,Alex Farrer,Louisiana State,2007-2008,10.35143782765283
82,Alex Franklin,Siena,2007-2008,36.21952928297449
83,Alex Galindo,Florida International,2007-2008,21.743402874478573
84,Alex Gordon,Vanderbilt,2007-2008,19.376828531924218
85,Alex Gynes,Radford,2007-2008,13.892279614547173
86,Alex Harris,UC Santa Barbara,2007-2008,32.28980195636242
87,Alex Johnson,Cal. State - Bakersfield,2007-2008,14.103574805715155
88,Alex Kellogg,Providence,2007-2008,7.705153917563457
89,Alex Malone,Southern Methodist,2007-2008,16.60692432323434
90,Alex McLean,Liberty,2007-2008,30.972606286078346
91,Alex Moosmann,Miami (OH),2007-2008,11.63803122362302
92,Alex Nunner,Monmouth-NJ,2007-2008,15.444138751325347
93,Alex Opacic,Furman,2007-2008,23.309804943192233
94,Alex Owumi,Alcorn St.,2007-2008,22.31614469723507
95,Alex Renfroe,Belmont,2007-2008,29.436441124507173
96,Alex Ruoff,West Virginia,2007-2008,30.462440637353478
97,Alex Stepheson,North Carolina,2007-2008,12.42401340581621
98,Alex Teifenthaler,Portland St.,2007-2008,13.548395640802276
99,Alex Thompson,Iowa St.,2007-2008,9.483423175337867
100,Alex Tyler,Cornell,2007-2008,20.58533102000673
101,Alex Tyus,Florida,2007-2008,2.745646601126046
102,Alex Vander Baan,Holy Cross,2007-2008,21.09913601192679
103,Alex Woodhouse,Colgate,2007-2008,24.435633869324406
104,Alexander Zampier,Yale,2007-2008,27.640904953544528
105,Alexis Wangmene,Texas,2007-2008,1.5581630600859477
106,Alfred Aboya,UCLA,2007-2008,13.060964274601224
107,Allan Hanson,Wis.-Milwaukee,2007-2008,12.51261921786022
108,Allen Hester,Ohio,2007-2008,3.913499480305388
109,Allen Smith,Arkansas-Pine Bluff,2007-2008,9.438133263360957
110,Alonzo Gee,Alabama,2007-2008,8.434143542931743
111,Alonzo Young,Sacramento State,2007-2008,12.816732822656137
112,Alphonso Dawson,Delaware,2007-2008,9.605193895148677
113,Alvardo Parker,Texas Christian,2007-2008,20.46771946136288
114,Alvin Abreu,New Hampshire,2007-2008,18.063184815115513
115,Alvin Mitchell,Cincinnati,2007-2008,7.61807124526925
116,Amadi McKenzie,Tennessee Tech,2007-2008,29.949390760099163
117,Amadou Mbodji,Jacksonville St.,2007-2008,21.669324230070416
118,Amir Johnson,Radford,2007-2008,18.519275825507062
119,Amorrow Morgan,Idaho State,2007-2008,15.108038721433312
120,Amu Saaka,South Florida,2007-2008,10.305034416972028
121,An'Juan Wilderness,Charlotte,2007-2008,16.954626899794288
122,Anatoly Bose,Nicholls State,2007-2008,24.28709111655326
123,Andrae Belton,Tennessee St.,2007-2008,5.797569726514858
124,Andre Allen,Memphis,2007-2008,13.421802130081742
125,Andre Gilbert,Kansas St.,2007-2008,10.889369893658738
126,Andre Hardy,Oral Roberts,2007-2008,24.937174437530437
127,Andre McFarland,Colorado St.,2007-2008,15.764468153214482
128,Andre McGee,Louisville,2007-2008,22.477254357027007
129,Andre McMillan,Jacksonville,2007-2008,5.305824900492889
130,Andre Murray,Portland St.,2007-2008,20.836114897636755
131,Andre Ratliff,Grambling State,2007-2008,15.133245958684752
132,Andre Ricks,Western Michigan,2007-2008,9.871894633435106
133,Andre Stephens,Southern Mississippi,2007-2008,14.716050889937685
134,Andre Tarver,Iona,2007-2008,11.534728891268166
135,Andre Thornton,Central Florida,2007-2008,17.768941998854753
136,Andre Torres,Hartford,2007-2008,3.5855125891718815
137,Andre Walker,Vanderbilt,2007-2008,12.673571256005673
138,Andreas Schreiber,Pennsylvania,2007-2008,16.446926070391083
139,Andres Irarrazabal,Tenn-Martin,2007-2008,9.277495116295468
140,Andres Sandoval,Dayton,2007-2008,20.317351303091087
141,Andrew Atman,Buffalo,2007-2008,9.240344747274301
142,Andrew Beinart,Holy Cross,2007-2008,7.538123373242347
143,Andrew Brown,Lafayette,2007-2008,14.2328284329576
144,Andrew Fleming,Long Beach St.,2007-2008,5.677120789267634
145,Andrew Francis,Texas-San Antonio,2007-2008,10.268755996687373
146,Andrew Gabriel,Manhattan,2007-2008,16.541306683662288
147,Andrew Goudelock,Charleston,2007-2008,15.053353173591466
148,Andrew Green,Cal St. Fullerton,2007-2008,13.850702055104179
149,Andrew Hayles,Alabama St.,2007-2008,28.176327677639254
150,Andrew Henke,Air Force,2007-2008,23.301145373067058
151,Andrew Hershberger,Western Michigan,2007-2008,21.205345652604116
152,Andrew Jones III,Penn St.,2007-2008,17.020936704262194
153,Andrew Keister,Holy Cross,2007-2008,11.94139063353684
154,Andrew Lovedale,Davidson,2007-2008,24.512018138355465
155,Andrew Patterson,Niagara,2007-2008,-1.1582342958423182
156,Andrew Prestley,Grambling State,2007-2008,19.145577793176425
157,Andrew Pusar,Harvard,2007-2008,18.813761661157464
158,Andrew Reed,East Tennessee St.,2007-2008,23.024690981770927
159,Andrew Strait,Montana,2007-2008,16.35760945179704
160,Andrew Warren,Bradley,2007-2008,26.009254093532387
161,Andrew Williams,Alabama A&M,2007-2008,18.918422905770942
162,Andrew Zimmermann,Santa Clara,2007-2008,8.98419493664363
163,Andy Buechert,Winthrop,2007-2008,9.426414160335664
164,Andy King,Samford,2007-2008,12.707271145647674
165,Andy Polka,Loyola-Chicago,2007-2008,17.82673318824297
166,Andy Robinson,Buffalo,2007-2008,25.237798856058316
167,Andy Wicke,Belmont,2007-2008,18.512302342330052
168,Angelo Hernandez,No.Carolina A&T,2007-2008,13.911929846309938
169,Angelo Johnson,Southern California,2007-2008,12.319392200688927
170,Anthony Breeze,Coastal Carolina,2007-2008,28.21654303032012
171,Anthony Brown,Pacific,2007-2008,25.898479268404095
172,Anthony Byrd,Toledo,2007-2008,15.14485027616838
173,Anthony Cordova,South Dakota State,2007-2008,13.6743870372488
174,Anthony Farmer,Rutgers,2007-2008,19.835057663025104
175,Anthony Fisher,Tennessee Tech,2007-2008,24.20695462527644
176,Anthony Ford,Alcorn St.,2007-2008,17.515811748272647
177,Anthony Gatlin,Centenary,2007-2008,11.70190560888678
178,Anthony Goods,Stanford,2007-2008,16.61322457519256
179,Anthony Ike,Texas Southern,2007-2008,17.474016252860412
180,Anthony Johnson,Fairfield,2007-2008,26.192505323203065
181,Anthony Jones,Savannah State,2007-2008,8.950577893678007
182,Anthony King,Miami-Florida,2007-2008,25.045502205585617
183,Anthony Marshall,Georgia Southern,2007-2008,33.12162596926268
184,Anthony Mason Jr.,St. John's,2007-2008,23.516809583475855
185,Anthony McClain,Cincinnati,2007-2008,21.619900020435974
186,Anthony Minor,Hartford,2007-2008,15.507365970115467
187,Anthony Morrow,Georgia Tech,2007-2008,28.83560336196476
188,Anthony Nelson,Niagara,2007-2008,12.79558448276441
189,Anthony Newell,Ball St.,2007-2008,29.00055580878365
190,Anthony Randolph,Louisiana State,2007-2008,30.12362422408928
191,Anthony Searcy,Alcorn St.,2007-2008,3.5077940988193186
192,Anthony Slack,Illinois St.,2007-2008,31.480922140317357
193,Anthony Smith,Liberty,2007-2008,27.418570995442504
194,Anthony Thomas,Boise St.,2007-2008,12.92784100077819
195,Anthony Thomas,Howard,2007-2008,14.680296648253655
196,Anthony Vereen,Texas-Arlington,2007-2008,32.39376883023743
197,Anthony Williams,Grambling State,2007-2008,26.92263487733303
198,Anthony Wright,Michigan,2007-2008,2.9953038724345507
199,Antoine Agudio,Hofstra,2007-2008,29.142117875404644
200,Antoine Dade,Texas-San Antonio,2007-2008,12.649932506978985
201,Antoine Johnson,Georgia Southern,2007-2008,24.00044876852833
202,Antoine Pearson,Manhattan,2007-2008,20.24745624142363
203,Antonio Anderson,Memphis,2007-2008,21.238194441876693
204,Antonio Pena,Villanova,2007-2008,19.386910635433843
205,Antonio Topps,Texas A&M CC,2007-2008,9.47070418983508
206,Antwaine Wiggins,Charleston,2007-2008,9.98281724263981
207,Antwan Harrison,Coppin St.,2007-2008,18.39816348960476
208,Antwon Harris,Winthrop,2007-2008,18.04680479148218
209,Anwar Johnson,Air Force,2007-2008,16.335653815981583
210,Aric Brooks,Jacksonville,2007-2008,7.3632404911247145
211,Aric Van Weelden,Loyola-Chicago,2007-2008,7.4153597823746615
212,Arinze Onuaku,Syracuse,2007-2008,28.518884383288306
213,Arizona Reid,High Point,2007-2008,45.22158477724905
214,Arminas Urbutis,Hofstra,2007-2008,15.82756347946152
215,Armon Bassett,Indiana,2007-2008,8.8378897689768
216,Armon Johnson,Nevada,2007-2008,22.196262472199148
