,PLAYER,TEAM,YEAR,PER
0,A'Torri Shine,Grambling State,2013-2014,17.990687420587317
1,A.J. Avery,Western Michigan,2013-2014,11.15738263952076
2,A.J. Davis,Tennessee,2013-2014,1.821776891189662
3,A.J. English,Iona,2013-2014,23.97037122670212
4,A.J. Hammons,Purdue,2013-2014,16.474355137667263
5,A.J. Hess,Southern Utah,2013-2014,17.30541626559514
6,A.J. Merriweather,East Tennessee St.,2013-2014,23.341531751286283
7,A.J. Pacher,Wright St.,2013-2014,26.41023792221032
8,A.J. Spencer,Long Beach St.,2013-2014,17.869219481204087
9,AJ Sumbry,Quinnipiac,2013-2014,3.314420618129647
10,AJ West,Nevada,2013-2014,25.99934256508175
11,Aakim Saintil,South Alabama,2013-2014,11.546836663498834
12,Aaric Armstead,Northern Illinois,2013-2014,15.586385723180681
13,Aaric Murray,Texas Southern,2013-2014,40.62865072091723
14,Aaron Adeoye,Western Kentucky,2013-2014,13.900824217421416
15,Aaron Anderson,North Dakota,2013-2014,13.07683649704054
16,Aaron Armstead,Northern Illinois,2013-2014,15.853252271942457
17,Aaron Bacote,Old Dominion,2013-2014,25.87458286917784
18,Aaron Bowen,Georgetown,2013-2014,19.720388125184016
19,Aaron Brown,Southern Miss,2013-2014,21.708637530907115
20,Aaron Clayborn,Texas Southern,2013-2014,15.98728538749449
21,Aaron Craft,Ohio St.,2013-2014,22.938527024999313
22,Aaron Geramipoor,Seton Hall,2013-2014,16.99980574416319
23,Aaron Gordon,Arizona,2013-2014,10.954954272744514
24,Aaron Graham,Stetson,2013-2014,12.358183668446653
25,Aaron Harrison,Kentucky,2013-2014,7.2285747513122995
26,Aaron Hawley,Drake,2013-2014,19.669408119891553
27,Aaron Jones,Mississippi,2013-2014,7.827872958458432
28,Aaron Morgan,MD Baltimore Cty,2013-2014,11.557370250836692
29,Aaron O'Neill,Furman,2013-2014,3.0202888038897697
30,Aaron Parks,CSU Northridge,2013-2014,15.277010997946885
31,Aaron Ross,Texas Tech,2013-2014,24.788765230629405
32,Aaron Rountree III,Wake Forest,2013-2014,12.68198606673772
33,Aaron Short,Pacific,2013-2014,20.56896179803415
34,Aaron Tate,Robert Morris,2013-2014,14.661044579839729
35,Aaron Thomas,Florida St.,2013-2014,26.87367768665719
36,Aaron Valdes,Hawaii,2013-2014,19.884869441123083
37,Aaron White,Iowa,2013-2014,11.032856060024002
38,Aaron Wright,UC Irvine,2013-2014,17.259207429358074
39,Aaseem Dixon,Northern Arizona,2013-2014,18.40666175317865
40,Abdul Ahmed,Cal. State - Bakersfield,2013-2014,6.423317189720519
41,Adam Kemp,Marist,2013-2014,26.573435109796428
42,Adam Link,Western Illinois,2013-2014,19.570664074288317
43,Adam Thoseby,South Dakota,2013-2014,7.526802034145854
44,Adam Weary,High Point,2013-2014,21.474764117915615
45,Adam Wing,Evansville,2013-2014,10.045130446378638
46,Adam Woodbury,Iowa,2013-2014,8.095137209522695
47,Adama Adams,South Carolina State,2013-2014,11.125459772694091
48,Addison Spruill,NC-Wilmington,2013-2014,17.16070934425307
49,Adjehi Baru,Charleston,2013-2014,12.230179783932217
50,Adonis Filer,Clemson,2013-2014,12.137206374120526
51,Adonis Rwabigwi,Furman,2013-2014,13.293179032093127
52,Adreian Payne,Michigan St,2013-2014,35.269519868801865
53,Adrian Fields,McNeese St.,2013-2014,10.802450285730025
54,Adrion Webber,Oral Roberts,2013-2014,14.06145152806465
55,Aerris Smith,Wofford,2013-2014,10.694475124864312
56,Agunwa Okolie,Harvard,2013-2014,17.395273058201706
57,Ahmad Walker,Stony Brook,2013-2014,18.740337505082216
58,Ahman Fells,Illinois-Chicago,2013-2014,14.579875766327243
59,Ajak Magot,Idaho State,2013-2014,14.774006414727781
60,Akachi Okugo,Grand Canyon,2013-2014,3.643765959798754
61,Akeem Richmond,East Carolina,2013-2014,26.084659606626175
62,Akeem Williams,Massachusetts Lowell,2013-2014,22.920766772151744
63,Akil Mitchell,Virginia,2013-2014,8.622481021431817
64,Ako Kaluna,Northern Arizona,2013-2014,21.90334596365275
65,Aksel Bolin,Northern Illinois,2013-2014,14.47246402619045
66,Alan Flannigan,Lafayette,2013-2014,5.902636244764574
67,Alan Williams,UC Santa Barbara,2013-2014,45.50461070638069
68,Alandise Harris,Arkansas,2013-2014,5.985420627157153
69,Alante Fenner,Savannah State,2013-2014,16.96534725043817
70,Albert Thomas,Delaware State,2013-2014,8.12017426915567
71,Alec Brown,Green Bay,2013-2014,31.73257484975073
72,Alec Peters,Valparaiso,2013-2014,23.17452078940298
73,Alec Wintering,Portland,2013-2014,10.020792718767192
74,Aleksandar Isailovic,St. Francis (NY),2013-2014,22.686463879358126
75,Aleksejs Rostov,Western Kentucky,2013-2014,9.573923668195011
76,Alex Austin,Eastern Illinois,2013-2014,15.175274549436418
77,Alex Barlow,Butler,2013-2014,18.046531208531608
78,Alex Bates,Tennessee St.,2013-2014,2.409942102282376
79,Alex Bran,Chattanooga,2013-2014,7.01368308516531
80,Alex Caruso,Texas A&M,2013-2014,13.407851590460119
81,Alex Davis,Fresno St.,2013-2014,15.92088323299919
82,Alex Dragicevich,Boston College,2013-2014,14.11896466932176
83,Alex Fountain,Houston Baptist,2013-2014,11.233267388104407
84,Alex Francis,Bryant,2013-2014,31.779728187044146
85,Alex Gauna,Michigan St,2013-2014,14.023553221853145
86,Alex Hamilton,Louisiana Tech,2013-2014,28.76381255875862
87,Alex Harris,Cal St. Fullerton,2013-2014,24.136346029692028
