,PLAYER,TEAM,YEAR,PER
0,A'Torri Shine,Grambling State,2014-2015,16.226052048526928
1,A.C. Reid,Liberty,2014-2015,4.206347473993475
2,A.J. Astroth,Towson,2014-2015,14.112117942526718
3,A.J. Avery,Western Michigan,2014-2015,19.987056768509444
4,A.J. English,Iona,2014-2015,30.15716856947076
5,A.J. Hammons,Purdue,2014-2015,19.51152760440488
6,A.J. Hess,Southern Utah,2014-2015,25.334061476250792
7,A.J. Jacobson,North Dakota State,2014-2015,20.35258397170811
8,A.J. John,Pepperdine,2014-2015,3.9555686311047435
9,A.J. Lapray,Pepperdine,2014-2015,0.8326559680922354
10,A.J. Merriweather,East Tennessee St.,2014-2015,25.180531069834668
11,AJ West,Nevada,2014-2015,37.18517649433525
12,Aaren Edmead,Wagner,2014-2015,8.240907191004208
13,Aaric Armstead,Northern Illinois,2014-2015,23.377180814175542
14,Aaron Adeoye,SE Missouri St.,2014-2015,13.787570667151753
15,Aaron Ariri,Troy,2014-2015,8.002855579959524
16,Aaron Armstead,Northern Illinois,2014-2015,20.640252765543963
17,Aaron Bacote,Old Dominion,2014-2015,24.089242277450552
18,Aaron Bodager,North Florida,2014-2015,6.590788092475057
19,Aaron Bowen,Georgetown,2014-2015,25.142025054593272
20,Aaron Brennan,Indiana - Purdue,2014-2015,19.526888019099392
21,Aaron Bright,St. Mary's,2014-2015,8.28054732739539
22,Aaron Brown,Boston College,2014-2015,20.432020639428472
23,Aaron Brown,St. Joseph's,2014-2015,20.146463673938705
24,Aaron Calixte,Maine,2014-2015,9.573630713188074
25,Aaron Cosby,Illinois,2014-2015,1.9999724533661711
26,Aaron Harrison,Kentucky,2014-2015,7.5949365421931665
27,Aaron Jackson,Akron,2014-2015,10.499050204905576
28,Aaron Jones,Mississippi,2014-2015,7.898212773953398
29,Aaron Korn,Lipscomb,2014-2015,8.206137582984118
30,Aaron Parks,CSU Northridge,2014-2015,14.827633873669894
31,Aaron Ross,Texas Tech,2014-2015,6.805064397904362
32,Aaron Rountree III,Wake Forest,2014-2015,17.449837613411642
33,Aaron Simpson,DePaul,2014-2015,14.662475226855706
34,Aaron Tate,Robert Morris,2014-2015,12.84197594213296
35,Aaron Valdes,Hawaii,2014-2015,28.237563580299167
36,Aaron Wheeler,Charleston Southern,2014-2015,18.343508476226656
37,Aaron White,Iowa,2014-2015,14.13430826237317
38,Aaron Williams,Chicago St.,2014-2015,5.219085871702631
39,Aaron Wright,UC Irvine,2014-2015,10.463619196129446
40,Aaron Young,Oral Roberts,2014-2015,16.874674229349917
41,Aaseem Dixon,Northern Arizona,2014-2015,19.082484645172944
42,Abdel Nader,Iowa St.,2014-2015,17.287529971553
43,Abdul Ahmed,Cal. State - Bakersfield,2014-2015,7.97259332691435
44,Abdul Lewis,South Alabama,2014-2015,13.570347490588016
45,Abdul-Malik Abu,N.C. State,2014-2015,22.507278576539754
46,Achraf Yacoubou,Saint Louis,2014-2015,16.318973028586093
47,Adam Smith,Virginia Tech,2014-2015,24.64243991252637
48,Adam Weary,High Point,2014-2015,22.972053779265963
49,Adam Weir,Canisius,2014-2015,6.894600229500212
50,Adam Wing,Evansville,2014-2015,16.6856090184452
51,Adam Woodbury,Iowa,2014-2015,7.39128735683574
52,Addison Spruill,NC-Wilmington,2014-2015,26.692436962114616
53,Adjehi Baru,Charleston,2014-2015,10.72175509656497
54,Adonis Burbage,Gardner-Webb,2014-2015,14.238603180660453
55,Adonys Henriquez,Central Florida,2014-2015,18.97519616639158
56,Adrian Diaz,Florida International,2014-2015,32.85842101010349
57,Adrian Edwards,Alabama A&M,2014-2015,8.307063508104777
58,Adrian Rodgers,Southern,2014-2015,2.5212217557719026
59,Adrion Webber,Oral Roberts,2014-2015,18.504284979938422
60,Agunwa Okolie,Harvard,2014-2015,15.42242923724103
61,Ahmaad Rorie,Oregon,2014-2015,8.197489384217167
62,Ahmad Abdullah,No.Carolina A&T,2014-2015,15.459455593681168
63,Ahmad Starks,Illinois,2014-2015,2.5357339104589354
64,Ahmad Thomas,N.C. Asheville,2014-2015,16.498255761508965
65,Ahman Fells,Illinois-Chicago,2014-2015,24.5792703004111
66,Ahmed Hill,Virginia Tech,2014-2015,15.731007081444318
67,Ajak Magot,Idaho State,2014-2015,13.080775746559464
68,Ajon Efferson,CSU Northridge,2014-2015,11.560284031098512
69,Akeem Springs,Wis.-Milwaukee,2014-2015,18.397667237348802
70,Ako Kaluna,Northern Arizona,2014-2015,24.74073016571387
71,Al Freeman,Baylor,2014-2015,14.68041126070418
72,Alain Chigha,Quinnipiac,2014-2015,5.2122563124145325
73,Alan Herndon,Wyoming,2014-2015,13.581531277607672
74,Alan Williams,UC Santa Barbara,2014-2015,40.601077525753105
75,Alandise Harris,Arkansas,2014-2015,5.980484564309622
76,Alante Fenner,Savannah State,2014-2015,20.089542348866534
77,Albert Christensson,Central Arkansas,2014-2015,7.800471426941043
78,Albert Owens,Oral Roberts,2014-2015,17.99748979088
