,MATCH,DATE,PT_DIFF
0,Maine vs. Richmond,2007-11-05,-2
1,Tenn-Martin vs. Memphis,2007-11-05,31
2,Gardner-Webb vs. Alabama A&M,2007-11-06,-14
3,Central Arkansas vs. Kentucky,2007-11-06,-27
4,Maine vs. Tenn-Martin,2007-11-06,-4
5,Richmond vs. Memphis,2007-11-06,17
6,Morgan St. vs. Connecticut,2007-11-07,4
7,Alabama A&M vs. Central Arkansas,2007-11-07,-10
8,Gardner-Webb vs. Kentucky,2007-11-07,16
9,San Francisco vs. Oklahoma,2007-11-08,16
10,Buffalo vs. Connecticut,2007-11-08,-25
11,Brown vs. Eastern Michigan,2007-11-09,19
12,St. Bonaventure vs. Boston U,2007-11-09,11
13,Lipscomb vs. Centenary,2007-11-09,3
14,Cleveland St. vs. South Florida,2007-11-09,3
15,Fairfield vs. Wake Forest,2007-11-09,-25
16,Alcorn St. vs. Southeastern Louisiana,2007-11-09,-18
17,Drexel vs. Pennsylvania,2007-11-09,8
18,Florida Atlantic vs. Rhode Island,2007-11-09,-27
19,Elon University vs. Virginia Tech,2007-11-09,-5
20,Vermont vs. George Mason,2007-11-09,7
21,Hartford vs. St. Francis (NY),2007-11-09,-3
22,New Mexico St. vs. Ohio,2007-11-09,-8
23,Fordham vs. Columbia,2007-11-09,-18
24,Maryland - E. Shore vs. VCU,2007-11-09,-19
25,Northwestern St. vs. UC Santa Barbara,2007-11-09,-21
26,Temple vs. Tennessee,2007-11-09,-17
27,Sacramento State vs. Kansas St.,2007-11-09,31
28,McNeese St. vs. Texas A&M,2007-11-09,-23
29,Howard vs. Duquesne,2007-11-09,70
30,Belmont vs. Cincinnati,2007-11-09,11
31,Oakland vs. Wis.-Green Bay,2007-11-09,-1
32,Texas Southern vs. Texas A&M CC,2007-11-09,-8
33,Liberty vs. San Diego St.,2007-11-09,-12
34,Colorado St. vs. Montana,2007-11-09,-36
35,Winston-Salem vs. Iowa St.,2007-11-09,14
36,Auburn vs. Tulane,2007-11-09,-15
37,Jacksonville St. vs. Georgia,2007-11-09,49
38,Arkansas-Pine Bluff vs. Texas-El Paso,2007-11-09,-27
39,Southern Utah vs. Utah St.,2007-11-09,-11
40,Eastern Washington vs. Washington St.,2007-11-09,-27
41,Kennesaw St. vs. Western Kentucky,2007-11-09,-35
42,Cal. State - Bakersfield vs. Cal St. Fullerton,2007-11-09,17
43,Montana St. vs. UNLV,2007-11-09,-11
44,Loyola Marymount vs. UC Irvine,2007-11-09,-13
45,Portland vs. Fresno St.,2007-11-09,7
46,San Diego vs. Hawaii,2007-11-09,-1
47,Massachusetts vs. Cal Poly SLO,2007-11-09,-26
48,No.Carolina A&T vs. Saint Louis,2007-11-09,-11
49,Western Carolina vs. Bowling Green,2007-11-09,-3
50,NC-Greensboro vs. Georgia Tech,2007-11-09,-9
51,Nicholls State vs. Florida St.,2007-11-09,23
52,North Carolina Central vs. Duke,2007-11-09,65
53,Furman vs. N.C. Asheville,2007-11-09,-3
54,Loyola-Maryland vs. Towson,2007-11-09,-14
55,Siena vs. James Madison,2007-11-09,12
56,Stony Brook vs. Villanova,2007-11-09,-22
57,Monmouth-NJ vs. Colgate,2007-11-09,3
58,Radford vs. Michigan,2007-11-09,27
59,Butler vs. Ball St.,2007-11-09,-16
60,VMI vs. Northern Colorado,2007-11-09,7
61,Navy vs. Longwood,2007-11-09,-16
62,High Point vs. Charlotte,2007-11-09,6
63,Tennessee Tech vs. Rutgers,2007-11-09,6
64,South Carolina State vs. South Carolina,2007-11-09,25
65,Troy vs. Alabama,2007-11-09,12
66,Louisiana-Monroe vs. Kansas,2007-11-09,29
67,North Dakota State vs. Florida,2007-11-09,10
68,DePaul vs. Creighton,2007-11-09,12
69,Wofford vs. Arkansas,2007-11-09,22
70,Wagner vs. Lafayette,2007-11-09,-4
71,New Mexico vs. Colorado,2007-11-09,-7
72,Morehead St. vs. Houston,2007-11-09,29
73,South Carolina Upstate vs. Utah,2007-11-09,-34
74,Denver vs. Oklahoma,2007-11-09,-30
75,Idaho State vs. Iowa,2007-11-09,-15
76,Northern Illinois vs. Northern Iowa,2007-11-09,-30
77,Prairie View A&M vs. Oklahoma St.,2007-11-09,56
78,Harvard vs. Stanford,2007-11-09,-55
79,Dartmouth vs. Air Force,2007-11-09,29
80,Utah Valley vs. Boise St.,2007-11-09,1
81,Portland St. vs. UCLA,2007-11-09,-21
82,William & Mary vs. Georgetown,2007-11-10,15
83,UC Riverside vs. Texas Tech,2007-11-10,12
84,Mississippi Valley State vs. Mississippi,2007-11-10,34
85,Mercer vs. Southern California,2007-11-10,15
86,New Hampshire vs. Boston College,2007-11-10,10
87,Belmont vs. Bowling Green,2007-11-10,-11
88,Brigham Young vs. Long Beach St.,2007-11-10,40
89,Northern Illinois vs. Massachusetts,2007-11-10,15
90,Western Carolina vs. Cincinnati,2007-11-10,2
91,Charleston vs. NC-Wilmington,2007-11-10,-7
92,Lehigh vs. Cornell,2007-11-10,4
93,Albany vs. Bucknell,2007-11-10,-3
94,Iona vs. Robert Morris,2007-11-10,-6
95,Missouri St. vs. Toledo,2007-11-10,-4
96,Harvard vs. UC Santa Barbara,2007-11-10,-18
97,Lipscomb vs. Winston-Salem,2007-11-10,-10
98,Rider vs. Murray St.,2007-11-10,1
99,Austin Peay vs. Vanderbilt,2007-11-10,-14
100,St. Peter's vs. MD Baltimore Cty,2007-11-10,3
101,Southern vs. Southern Methodist,2007-11-10,14
102,Utah St. vs. Weber St.,2007-11-10,-7
103,Western Michigan vs. Pacific,2007-11-10,14
104,Northwestern St. vs. Stanford,2007-11-10,-39
105,Portland vs. San Diego St.,2007-11-10,-14
106,Sacred Heart vs. Yale,2007-11-10,-11
107,Mount St. Mary's vs. George Washington,2007-11-10,15
108,East Tennessee St. vs. Dayton,2007-11-10,4
109,Manhattan vs. New Jersey Tech,2007-11-10,42
110,Army vs. Minnesota,2007-11-10,-32
111,No.Carolina A&T vs. Pittsburgh,2007-11-10,-27
112,Chicago St. vs. CSU Northridge,2007-11-10,11
113,Louisiana Tech vs. Mississippi St.,2007-11-10,-30
114,Pepperdine vs. Oregon,2007-11-10,30
115,Norfolk State vs. Richmond,2007-11-10,3
116,SE Missouri St. vs. Xavier,2007-11-10,-31
117,American U. vs. St. Francis (PA),2007-11-10,7
118,Hofstra vs. Holy Cross,2007-11-10,-14
119,Kent St. vs. Detroit,2007-11-10,1
120,Dartmouth vs. VMI,2007-11-10,11
121,Centenary vs. Iowa St.,2007-11-10,-10
122,Bradley vs. Illinois-Chicago,2007-11-10,-9
123,UAB vs. Georgia St,2007-11-10,-23
124,Presbyterian vs. Nebraska,2007-11-10,15
125,Liberty vs. Fresno St.,2007-11-10,9
126,Indiana - Purdue vs. Marquette,2007-11-10,-8
127,Cal Poly SLO vs. Northern Iowa,2007-11-10,-7
128,Northern Colorado vs. Air Force,2007-11-10,9
129,Drake vs. St. Mary's,2007-11-10,-6
130,Brown vs. Michigan,2007-11-11,-15
131,North Dakota State vs. Rutgers,2007-11-11,-12
132,South Carolina State vs. Old Dominion,2007-11-11,10
133,Northeastern vs. Illinois,2007-11-11,8
134,Vermont vs. Virginia,2007-11-11,-18
135,Cal Poly SLO vs. Northern Illinois,2007-11-11,10
136,Samford vs. Evansville,2007-11-11,-1
137,Radford vs. Eastern Michigan,2007-11-11,17
138,Delaware vs. Marist,2007-11-11,-11
139,Montana vs. Gonzaga,2007-11-11,23
140,Savannah State vs. Jacksonville,2007-11-11,16
141,Belmont vs. Western Carolina,2007-11-11,9
142,Alabama St. vs. Southern Methodist,2007-11-11,10
143,IUPU - Ft. Wayne vs. Wisconsin,2007-11-11,-28
144,Georgia Tech vs. Tennessee St.,2007-11-11,14
145,Jackson State vs. Baylor,2007-11-11,24
146,UMKC vs. Kansas,2007-11-11,23
147,Pacific vs. Oregon,2007-11-11,16
148,Pennsylvania vs. Loyola-Maryland,2007-11-11,21
149,Monmouth-NJ vs. Seton Hall,2007-11-11,-8
150,Central Conn. St. vs. Princeton,2007-11-11,-2
151,Nevada vs. Central Florida,2007-11-11,3
152,Tennessee Tech vs. Florida,2007-11-11,28
153,Northwestern St. vs. Harvard,2007-11-11,30
154,Navy vs. Drexel,2007-11-11,16
155,Hartford vs. Quinnipiac,2007-11-11,-6
156,Liberty vs. Portland,2007-11-11,-11
157,Hampton vs. Tulsa,2007-11-11,17
158,UC Santa Barbara vs. Stanford,2007-11-11,19
159,Saint Louis vs. Pittsburgh,2007-11-11,11
160,Massachusetts vs. Northern Iowa,2007-11-11,-7
161,Western Michigan vs. Pepperdine,2007-11-11,-5
162,San Diego St. vs. Fresno St.,2007-11-11,-17
163,Bowling Green vs. Cincinnati,2007-11-11,2
164,North Florida vs. Maryland,2007-11-11,29
165,North Florida vs. Tulsa,2007-11-12,-17
166,New Mexico St. vs. Duke,2007-11-12,25
167,Florida Atlantic vs. Boston College,2007-11-12,6
168,Chattanooga vs. Indiana,2007-11-12,-20
169,Army vs. Sacred Heart,2007-11-12,15
170,Florida Gulf Coast vs. Bethune-Cookman,2007-11-12,-3
171,Citadel vs. South Carolina,2007-11-12,-61
172,Appalachian St. vs. Charlotte,2007-11-12,-6
173,Pacific vs. Pepperdine,2007-11-12,8
174,Utah Valley vs. Marquette,2007-11-12,11
175,Texas-San Antonio vs. Texas,2007-11-12,21
176,Georgia Southern vs. Florida St.,2007-11-12,25
177,Eastern Washington vs. New Mexico,2007-11-12,-35
178,Fairleigh Dickinson vs. St. Joseph's,2007-11-12,-20
179,Arkansas-Little Rock vs. Loyola Marymount,2007-11-12,31
180,Western Michigan vs. Oregon,2007-11-12,9
181,Delaware State vs. Columbia,2007-11-12,6
182,Binghamton vs. St. Bonaventure,2007-11-12,-17
183,Lafayette vs. Stony Brook,2007-11-12,8
184,Winston-Salem vs. Duquesne,2007-11-12,30
185,St. Francis (PA) vs. Penn St.,2007-11-12,10
186,Siena vs. Syracuse,2007-11-12,-8
187,Furman vs. Clemson,2007-11-12,45
188,LIU Brooklyn vs. Notre Dame,2007-11-12,-32
189,Tulane vs. Charleston Southern,2007-11-12,-6
190,North Carolina Central vs. Rutgers,2007-11-12,-25
191,Central Michigan vs. Missouri,2007-11-12,-11
