,PLAYER,TEAM,YEAR,PER
0,A.C. Reid,Liberty,2015-2016,13.478158730506797
1,A.J. Avery,Western Michigan,2015-2016,21.62839045516974
2,A.J. Cockrell,Texas-San Antonio,2015-2016,9.358092750852421
3,A.J. Davis,Central Florida,2015-2016,20.84581367548419
4,A.J. English,Iona,2015-2016,35.58759698104855
5,A.J. Hammons,Purdue,2015-2016,22.956426650223513
6,A.J. Harris,Ohio St.,2015-2016,9.102355814329233
7,A.J. Jacobson,North Dakota State,2015-2016,20.056446267935108
8,A.J. John,Pepperdine,2015-2016,6.361285401758581
9,A.J. Merriweather,East Tennessee St.,2015-2016,20.359127051954175
10,A.J. Riley,Eastern Illinois,2015-2016,23.069593363424328
11,A.J. Spencer,Long Beach St.,2015-2016,12.653471650119432
12,A.J. Turner,Boston College,2015-2016,13.361625975271803
13,Aakim Saintil,LIU Brooklyn,2015-2016,20.618233868736837
14,Aaren Edmead,Wagner,2015-2016,12.962884133015466
15,Aaric Armstead,Northern Illinois,2015-2016,17.7956652431154
16,Aaron Anderson,Oral Roberts,2015-2016,10.28877477950431
17,Aaron Ariri,Troy,2015-2016,17.70760934433901
18,Aaron Bacote,Old Dominion,2015-2016,28.99495444423487
19,Aaron Bodager,North Florida,2015-2016,20.02981852388609
20,Aaron Brennan,Indiana - Purdue,2015-2016,13.555556193556843
21,Aaron Brown,St. Joseph's,2015-2016,18.3914376074747
22,Aaron Calixte,Maine,2015-2016,14.9457265814609
23,Aaron Cosby,Western Kentucky,2015-2016,18.680570186711236
24,Aaron Epps,Louisiana State,2015-2016,22.415244846040295
25,Aaron Falzon,Northwestern,2015-2016,10.488307154617754
26,Aaron Foster-Smith,Detroit,2015-2016,15.949525092360014
27,Aaron Hines,Saint Louis,2015-2016,7.7611865088517265
28,Aaron Holiday,UCLA,2015-2016,16.538442132020396
29,Aaron Jackson,Akron,2015-2016,10.50597061535949
30,Aaron Jordan,Illinois,2015-2016,2.3495028160896556
31,Aaron Korn,Lipscomb,2015-2016,10.599601630555647
32,Aaron Menzies,Seattle,2015-2016,12.265901460614355
33,Aaron Parks,CSU Northridge,2015-2016,20.665123688468544
34,Aaron Ross,Texas Tech,2015-2016,28.554329551181663
35,Aaron Rountree III,Iona,2015-2016,21.592077934301294
36,Aaron Scales,Cleveland St.,2015-2016,6.165380195697687
37,Aaron Simpson,DePaul,2015-2016,13.60999926028907
38,Aaron Valdes,Hawaii,2015-2016,27.345492029688067
39,Aaron Wheeler,Charleston Southern,2015-2016,27.167677718279435
40,Aaron Wright,UC Irvine,2015-2016,12.202669491347976
41,Aaron Young,Oral Roberts,2015-2016,17.840109201042342
42,Abdel Nader,Iowa St.,2015-2016,22.150037235766526
43,Abdoulaye Harouna,Miami (OH),2015-2016,24.148428709163262
44,Abdul-Malik Abu,N.C. State,2015-2016,30.446065371535
45,Abdulai Bundu,Quinnipiac,2015-2016,21.99309536818805
46,Abednego Lufile,East Tennessee St.,2015-2016,17.911641271393023
47,Adam McDermott,North Dakota,2015-2016,8.418943583119496
48,Adam Roe,Army,2015-2016,14.594040554008
49,Adam Smith,Georgia Tech,2015-2016,23.75423667897786
50,Adam Ward,Nicholls State,2015-2016,25.503976266458245
51,Adam Weary,High Point,2015-2016,31.01000121045131
52,Adam Wing,Evansville,2015-2016,18.861118330637396
53,Adam Woodbury,Iowa,2015-2016,8.099756075304144
54,Admassu Williams,Prairie View A&M,2015-2016,21.259653096935104
55,Admiral Schofield,Tennessee,2015-2016,5.3414645627202635
56,Admon Gilder,Texas A&M,2015-2016,11.273474837886736
57,Adom Jacko,Loyola Marymount,2015-2016,35.33155665395716
58,Adonis Burbage,Gardner-Webb,2015-2016,18.21333780176023
59,Adonis Filer,Florida Atlantic,2015-2016,19.0431161168391
60,Adonis Rwabigwi,Texas Rio Grande Valley,2015-2016,11.66451427197561
61,Adonys Henriquez,Central Florida,2015-2016,17.697044095952464
62,Adrian Brown,McNeese St.,2015-2016,10.021403744746712
63,Adrian Diaz,Florida International,2015-2016,41.10335655433929
64,Adrian Edwards,Alabama A&M,2015-2016,10.6780272512595
65,Adrian Rich,VMI,2015-2016,6.9447771124303275
66,Adrian Rodgers,Southern,2015-2016,3.0845533742338516
67,Agunwa Okolie,Harvard,2015-2016,23.17891794204934
68,Ahmad Abdullah,No.Carolina A&T,2015-2016,15.480344129022575
69,Ahmad Caver,Old Dominion,2015-2016,12.14012633414884
70,Ahmad Frost,Maryland - E. Shore,2015-2016,10.795787828147176
71,Ahmad Gilbert,Minnesota,2015-2016,10.001063203591634
72,Ahmad Thomas,N.C. Asheville,2015-2016,25.793842335109012
73,Ahmad Wagner,Iowa,2015-2016,7.653132575873149
74,Ahmad Walker,Stony Brook,2015-2016,19.997613364441957
75,Ahmed Hamdy Mohamed,VCU,2015-2016,24.429409182994217
76,Akeem Springs,Wis.-Milwaukee,2015-2016,22.62800272558625
77,Akim Mitchell,Hampton,2015-2016,10.625240003610346
78,Ako Kaluna,Northern Arizona,2015-2016,17.921470744103864
79,Akolda Manyang,Oklahoma,2015-2016,13.316859794260113
80,Al Freeman,Baylor,2015-2016,20.42020069765754
81,Alan Herndon,Wyoming,2015-2016,18.092167254177966
82,Alan Vest,Wright St.,2015-2016,4.741943992872967
83,Albert Almanza,Sam Houston St.,2015-2016,17.179450471859933
84,Albert Christensson,Central Arkansas,2015-2016,9.305956844287026
85,Albert Owens,Oral Roberts,2015-2016,23.800805454509533
86,Aldonis Foote,Middle Tennessee St.,2015-2016,19.476394641888394
87,Alec Brennan,Princeton,2015-2016,20.87011363755007
88,Alec Kobre,Pacific,2015-2016,23.966900155424366
89,Alec Peters,Valparaiso,2015-2016,36.4715245715676
90,Alec Wintering,Portland,2015-2016,16.483745028017477
91,Aleer Leek,UMKC,2015-2016,7.580058654167827
92,Aleksa Jugovic,Tennessee Tech,2015-2016,20.60097227332395
93,Aleksandar Dozic,Marshall,2015-2016,8.770209267953943
94,Aleksej Rostov,Western Kentucky,2015-2016,19.98174150538916
95,Alex Anderson,Tenn-Martin,2015-2016,18.405762151692972
96,Alex Austin,Illinois,2015-2016,1.86815855394126
