,PLAYER,TEAM,YEAR,PER
97,Alex Carr,Utah Valley,2015-2016,2.948441342396907
98,Alex Caruso,Texas A&M,2015-2016,14.119583670078011
99,Alex Floresca,San Diego,2015-2016,5.624944361846266
100,Alex Fountain,Houston Baptist,2015-2016,17.353674889375355
101,Alex Hamilton,Louisiana Tech,2015-2016,36.430250743600794
102,Alex Hart,UC Santa Barbara,2015-2016,20.72818886720167
103,Alex Illikainen,Wisconsin,2015-2016,14.126961884330118
104,Alex Larsson,UC Riverside,2015-2016,11.243516751819774
105,Alex Long,Norfolk State,2015-2016,18.518756193663492
106,Alex Mitola,George Washington,2015-2016,19.682905213021154
107,Alex Olah,Northwestern,2015-2016,17.4470044733364
108,Alex Peters,Samford,2015-2016,5.678547538096271
109,Alex Poythress,Kentucky,2015-2016,8.536855456510137
110,Alex Ramon,Colgate,2015-2016,17.131724394245573
111,Alex Rosenberg,Columbia,2015-2016,26.508199994036314
112,Alex Young,UC Irvine,2015-2016,24.96429488935836
113,Alexander Aka Gorski,Wyoming,2015-2016,14.88239848271869
114,Ali Faruq-Bey,Idaho State,2015-2016,19.562295297125647
115,Allante Holston,North Texas,2015-2016,9.584469151664104
116,Allonzo Trier,Arizona,2015-2016,9.716930861583721
117,Alonzo Nelson-Ododa,Pittsburgh,2015-2016,10.712437497328724
118,Alvin Ellis III,Michigan St,2015-2016,26.693210659837515
119,Aly Ahmed,Cal. State - Bakersfield,2015-2016,23.109208972001145
120,Amadi Udenyi,Pepperdine,2015-2016,15.431507465854777
121,Amanze Egekeze,Belmont,2015-2016,23.06334554336465
122,Amar Alibegovic,St. John's,2015-2016,8.326264091711085
123,Amar Stukes,La Salle,2015-2016,10.524176262316637
124,Amdy Fall,St. Francis (NY),2015-2016,47.15685154119318
125,Ameen Tanksley,Hofstra,2015-2016,23.508965777122587
126,Amida Brimah,Connecticut,2015-2016,31.306493546306907
127,Amir Bell,Princeton,2015-2016,18.382820767743326
128,Anas Mahmoud,Louisville,2015-2016,22.112486903820884
129,Andre Chatfield,Harvard,2015-2016,11.39974603726192
130,Andre Fox,High Point,2015-2016,14.546688533130556
131,Andre Frederick,Robert Morris,2015-2016,12.025699561346268
132,Andre Horne Jr.,Morgan St.,2015-2016,18.8280689917886
133,Andre Sands,Sam Houston St.,2015-2016,19.52031341408777
134,Andre Spight,Arizona State,2015-2016,13.122296662993442
135,Andre Statam,Jacksonville St.,2015-2016,10.378403490379254
136,Andre Walker,Loyola-Maryland,2015-2016,22.58957850215446
137,Andre Yates,Cleveland St.,2015-2016,11.999576500088358
138,Andrew Andrews,Washington,2015-2016,9.323753225125131
139,Andrew Bastien,Utah Valley,2015-2016,17.096863078606347
140,Andrew Brown,Furman,2015-2016,10.951520490052603
141,Andrew Chrabascz,Butler,2015-2016,24.444126490341247
142,Andrew Drone,Rice,2015-2016,24.42741757154448
143,Andrew Fishler,Mercer,2015-2016,20.688993198585518
144,Andrew McAuliffe,Davidson,2015-2016,15.513609391713793
145,Andrew Robinson,Quinnipiac,2015-2016,7.804671257642595
146,Andrew White III,Nebraska,2015-2016,17.093422432990057
147,Andrien White,Charlotte,2015-2016,20.762656895559992
148,Andrija Matic,American U.,2015-2016,11.18083314913743
149,Angel Delgado,Seton Hall,2015-2016,23.888980771198852
150,Angel Nunez,South Florida,2015-2016,16.324429450615494
151,Angel Rivera,Stetson,2015-2016,22.03801051884462
152,Angel Rodriguez,Miami-Florida,2015-2016,27.818486298595996
153,Angelo Chol,San Diego St.,2015-2016,19.537234941778834
154,Anthlon Bell,Arkansas,2015-2016,5.797310296042258
155,Anthony Allen Jr.,Oklahoma St.,2015-2016,17.175693346063998
156,Anthony Barber,N.C. State,2015-2016,33.22767426694695
157,Anthony Beane Jr.,Southern Illinois,2015-2016,25.789400368132625
158,Anthony Brown,Green Bay,2015-2016,10.47166252497857
159,Anthony Clemmons,Iowa,2015-2016,6.092568115332716
160,Anthony Collins,Texas A&M,2015-2016,7.717030690233
161,Anthony Dallier,Yale,2015-2016,16.011493582551008
162,Anthony Drmic,Boise St.,2015-2016,23.627710757754794
163,Anthony Eaves,Chicago St.,2015-2016,15.42650429082697
164,Anthony Elechi,Morehead St.,2015-2016,27.90287442318503
165,Anthony Fields,Liberty,2015-2016,10.841489813406833
166,Anthony Gill,Virginia,2015-2016,11.937789467165238
167,Anthony Johnson,Northern Colorado,2015-2016,24.6538742487714
168,Anthony Lawrence Jr.,Miami-Florida,2015-2016,29.052898001495926
169,Anthony Lindauer,High Point,2015-2016,20.113815805750402
170,Anthony Livingston,Arkansas St.,2015-2016,27.647286572002905
171,Anthony Morse,Tennessee Tech,2015-2016,24.582840496521595
172,Anthony Mosley,Delaware,2015-2016,8.758799111868932
173,Anthony Odunsi,Houston Baptist,2015-2016,32.572826531978144
174,Anthony Perez,Mississippi,2015-2016,5.663786349282927
175,Anthony Pratt,Eastern Kentucky,2015-2016,15.277370632248052
176,Anthony Roberson,Texas State,2015-2016,19.26116137422116
177,Anthony Thompson,Holy Cross,2015-2016,11.731751426516388
178,Anthony Townes,Pacific,2015-2016,11.19944808470991
179,Anthony Vanhook,Charlotte,2015-2016,21.09759773985692
180,Antino Jackson,Akron,2015-2016,21.109400118341902
181,Antoine Pittman,Bradley,2015-2016,9.907798123572572
182,Anton Beard,Arkansas,2015-2016,3.5238181394315364
183,Anton Grady,Wichita St.,2015-2016,25.526646798909844
184,Anton Waters,Western Kentucky,2015-2016,19.75079913362655
185,Anton Wilson,Detroit,2015-2016,25.671754216518533
186,Antonio Blakeney,Louisiana State,2015-2016,20.742474135255843
187,Antonio Campbell,Ohio,2015-2016,20.61549785868882
188,Antonio Gillespie,Morgan St.,2015-2016,6.0355968838877505
189,Antonio Green,Texas Rio Grande Valley,2015-2016,14.645850858262655
190,Antonio Jenifer,St. Francis (NY),2015-2016,43.74597251665352
191,Antonius Cleveland,SE Missouri St.,2015-2016,25.62321140292805
192,Antravious Simmons,Florida Gulf Coast,2015-2016,29.517526574385748
193,Antwan Scott,Colorado St.,2015-2016,26.189219262291854
194,Antwan Space,Massachusetts,2015-2016,6.305353758178491
195,Antwoine Anderson,Fordham,2015-2016,18.56091438702492
196,Antwon Clayton,Jacksonville,2015-2016,9.420735841500486
197,Antwon Lillard,Bowling Green,2015-2016,21.16489404398968
198,Antwon Portley,St. Peter's,2015-2016,19.520966171039312
199,Aric Dickerson,Delaware State,2015-2016,11.154760016695109
200,Aric Holman,Mississippi St.,2015-2016,7.793087249465208
201,Arkadiy Mkrtychyan,Idaho,2015-2016,9.61989354135168
202,Armani Chaney,Tennessee St.,2015-2016,5.011178411260791
203,Armani Moore,Tennessee,2015-2016,5.515958158445809
204,Armel Potter,Charleston Southern,2015-2016,20.291518794564965
205,Armon Fletcher,Southern Illinois,2015-2016,20.000322041655703
206,Arnaud William Adala Moto,Towson,2015-2016,29.293094721950098
207,Arnold Richmond,Grambling State,2015-2016,6.31913603613201
208,Artem Tavakalyan,Delaware State,2015-2016,6.6313768435889555
209,Arthur Edwards,Alabama,2015-2016,4.655333885126065
210,Arthur Wade,Alabama A&M,2015-2016,9.919685780137932
211,Asa Cantwell,Houston Baptist,2015-2016,15.749716336139546
212,Asad Lamot,NC-Greensboro,2015-2016,10.730529200891239
213,Ash Yacoubou,Saint Louis,2015-2016,17.06882837533624
214,Aubrey Dawkins,Michigan,2015-2016,5.621664886837012
215,Aubrey Williams,Kennesaw St.,2015-2016,27.823113550547085
216,Aurimas Majauskas,Sam Houston St.,2015-2016,33.295569816430444
217,Austin Arians,Wis.-Milwaukee,2015-2016,20.270560235454763
218,Austin Budke,Kansas St.,2015-2016,9.111080737814676
219,Austin Cooke,Abilene Christian,2015-2016,18.251641441622112
220,Austin Cox,Arkansas-Pine Bluff,2015-2016,15.984625256199337
221,Austin Donaldson,Georgia St,2015-2016,17.204372064544117
222,Austin Etherington,Butler,2015-2016,19.35472656020692
223,Austin Gillmann,Saint Louis,2015-2016,11.401318335664376
224,Austin Karrer,Texas-San Antonio,2015-2016,6.608718852054943
225,Austin Lewis,McNeese St.,2015-2016,24.545240291423173
226,Austin Loop,Marshall,2015-2016,17.29438823879122
227,Austin Luke,Belmont,2015-2016,13.65410328200806
228,Austin McBroom,Eastern Washington,2015-2016,29.086127795211304
229,Austin Nehls,Central Conn. St.,2015-2016,16.17068199264649
230,Austin Pauga,Northern Illinois,2015-2016,16.68974109035105
231,Austin Price,Lehigh,2015-2016,23.131622169852452
232,Austin Sparks,South Dakota,2015-2016,4.951215475498153
233,Austin Stewart,Central Michigan,2015-2016,15.34980848211175
234,Austin Tilghman,Monmouth-NJ,2015-2016,18.205650865010323
235,Austin Tillotson,Colgate,2015-2016,29.558375344293154
236,Austin Venable,Presbyterian,2015-2016,10.404101196334944
237,Austin Vereen,VMI,2015-2016,7.517174752815455
238,Austin Weiher,Southern Illinois,2015-2016,14.383571800045056
239,Austin White,High Point,2015-2016,17.37979762847328
240,Austin Williams,Drexel,2015-2016,6.8940196703125425
241,Austin Williams,No.Carolina A&T,2015-2016,6.978886492555163
242,Auston Evans,Lafayette,2015-2016,6.050863313952224
243,Avery Lomax,Prairie View A&M,2015-2016,4.724579868762768
244,Avery Woodson,Memphis,2015-2016,19.627012250121822
245,Avry Holmes,Clemson,2015-2016,20.140830023900932
246,Ayron Hutton,Quinnipiac,2015-2016,9.687761435161917
247,B.J. Miller,Troy,2015-2016,13.434350704112248
248,B.J. Tyson,East Carolina,2015-2016,20.83959245391149
249,Badou Diagne,Coastal Carolina,2015-2016,22.45784154500501
250,Bailey Walker,Northwestern St.,2015-2016,4.462729806886299
251,Bakari Copeland,Maryland - E. Shore,2015-2016,18.86420312382883
252,Bakary Konate,Minnesota,2015-2016,16.226735320832198
253,Barnett Harris,Delaware,2015-2016,6.773263468778037
254,Barrington Stevens,South Alabama,2015-2016,8.512248072067479
255,Barry Brown,Kansas St.,2015-2016,14.456196426825917
256,Basil Thompson,St. Francis (PA),2015-2016,35.06080401249629
257,Beau Beech,North Florida,2015-2016,29.54706999359671
258,Beejay Anya,N.C. State,2015-2016,19.921907603413562
259,Ben Bentil,Providence,2015-2016,34.41683338584618
260,Ben Carter,UNLV,2015-2016,25.93477356648243
261,Ben Freeland,Lafayette,2015-2016,6.8938863049359655
262,Ben Grace,MD Baltimore Cty,2015-2016,15.723229637734066
263,Ben Lammers,Georgia Tech,2015-2016,27.655028232527393
264,Ben Lawson,Western Kentucky,2015-2016,24.10873505412433
265,Ben Millaud-Meunier,St. Francis (PA),2015-2016,46.97467218648279
266,Ben Moore,Southern Methodist,2015-2016,32.58427146552421
267,Ben Perez,San Diego St.,2015-2016,13.596506587748747
268,Ben Richardson,Loyola-Chicago,2015-2016,14.126029221190926
269,Ben Simmons,Louisiana State,2015-2016,40.67207308686557
270,Ben Wilson,Idaho State,2015-2016,14.700920338731475
271,Benas Griciunas,Charlotte,2015-2016,23.051958672847707
272,Benji Bell,Florida St.,2015-2016,17.17017103849971
273,Bennett Holley,Appalachian St.,2015-2016,14.57321860155904
274,Bennett Koch,Northern Iowa,2015-2016,21.200802883965267
275,Bennie Boatwright,Southern California,2015-2016,23.480250672028003
276,Benny Parker,Nebraska,2015-2016,6.556781230656087
277,Bernard Morena,Kennesaw St.,2015-2016,17.825061088043846
278,Bertrand Nkali,Houston,2015-2016,6.925436956760249
279,Biggie Minnis,Wright St.,2015-2016,19.08169038629775
280,Billy Garrett Jr.,DePaul,2015-2016,22.2041770513835
281,Billy Giles,Robert Morris,2015-2016,23.379662536127938
282,Billy Wampler,Drake,2015-2016,15.933294024164216
283,Bishop Daniels,Rutgers,2015-2016,15.599904129577675
284,Bishop Mency,Rice,2015-2016,6.8462217581709846
285,Bjorn Broman,Winthrop,2015-2016,9.969268013483063
286,Blaise Mbargorba,Boston U,2015-2016,19.234522804559575
287,Blake Hamilton,Buffalo,2015-2016,27.39270288953012
288,Blake Paul,Tulane,2015-2016,16.37066015771006
289,Blake Simmons,Evansville,2015-2016,12.602609922796216
290,Blake Simpson,Coppin St.,2015-2016,8.08698569141727
291,Bo Calhoun,Ball St.,2015-2016,28.091498376050808
292,Bo Zeigler,South Florida,2015-2016,13.684114955075788
293,Bobby Ahearn,Binghamton,2015-2016,16.02312174808753
294,Bobby Brown,Alabama St.,2015-2016,14.081757055036716
295,Bobby Conley,Texas State,2015-2016,11.406478926759263
296,Bobby Moorehead,Montana,2015-2016,7.635653829249445
297,Bogdan Bliznyuk,Eastern Washington,2015-2016,23.86836911492389
298,Bola Olaniyan,Southern Illinois,2015-2016,26.526883823999732
299,Bonzie Colson,Notre Dame,2015-2016,35.925101167056305
300,Boo Milligan,Central Arkansas,2015-2016,11.855253568193909
301,Boris Bojanovsky,Florida St.,2015-2016,28.004981042946415
302,Bosko Kostur,Bryant,2015-2016,4.61879477698005
303,Brad Brechting,Oakland,2015-2016,18.600861135574178
304,Bradley Hayes,Georgetown,2015-2016,25.802329048443667
305,Brady Ellingson,Iowa,2015-2016,4.631358780873708
306,Brady Twombly,Northern Arizona,2015-2016,12.912152311460801
307,Brandan Stith,Old Dominion,2015-2016,34.958451600571124
308,Branden Sheppard,Louisiana Tech,2015-2016,11.838425293936929
309,Brandon Austin,Alabama,2015-2016,1.4946132316180505
310,Brandon Brown,Loyola Marymount,2015-2016,21.019583979645535
311,Brandon Burnett,Indiana St.,2015-2016,2.3058294262802215
312,Brandon Clarke,San Jose St.,2015-2016,30.828965648985506
313,Brandon Conley,Oral Roberts,2015-2016,22.295959128724405
314,Brandon Gfeller,Montana,2015-2016,8.370952140467566
315,Brandon Gilbeck,Western Illinois,2015-2016,13.66492750439745
316,Brandon Holcomb,Radford,2015-2016,21.109670139533748
317,Brandon Ingram,Duke,2015-2016,31.40352601056737
318,Brandon Jordan,Savannah State,2015-2016,9.156061293012375
319,Brandon McDonnell,Dartmouth,2015-2016,22.950916144169405
320,Brandon Miller,Gardner-Webb,2015-2016,13.622901799254876
321,Brandon Murphy,Indiana St.,2015-2016,15.49462094899173
322,Brandon Nazione,Eastern Michigan,2015-2016,24.001614409643548
323,Brandon Parrish,Texas Christian,2015-2016,13.084686296238734
324,Brandon Peel,Central Conn. St.,2015-2016,28.230173203029793
325,Brandon Pye,Texas A&M CC,2015-2016,15.315857182547086
326,Brandon Sampson,Louisiana State,2015-2016,12.513648808446455
327,Brandon Sherrod,Yale,2015-2016,33.07979424724455
328,Brandon Smith,UC Irvine,2015-2016,8.954850376393447
329,Brandon Swannegan,Tulsa,2015-2016,24.027967964822064
330,Brandon Taylor,Penn St.,2015-2016,22.385134293878636
331,Brandon Taylor,Utah,2015-2016,6.201898986316214
332,Brandone Francis-Ramirez,Florida,2015-2016,-0.08707795801264463
333,Branford Jones,Long Beach St.,2015-2016,11.67282642512032
334,Brannen Greene,Kansas,2015-2016,14.716033012054488
335,Braxton Huggins,New Mexico St.,2015-2016,18.303201631813792
336,Braxton Ogbueze,Charlotte,2015-2016,21.532285981951787
337,Braylon Rayson,Central Michigan,2015-2016,24.5755343651549
338,Brekkott Chapman,Utah,2015-2016,6.323771703222858
339,Brendan Westendorf,Seattle,2015-2016,23.31873375644167
340,Brendyn Taylor,Santa Clara,2015-2016,11.856730183729281
341,Brennan Gillis,Northern Kentucky,2015-2016,7.366570663623842
342,Brent Arrington,Morehead St.,2015-2016,18.50258603071114
343,Brent Calhoun,IUPU - Ft. Wayne,2015-2016,12.729201785072503
344,Brent Wrapp,Cal. State - Bakersfield,2015-2016,17.33811314280163
345,Brenton Scott,Indiana St.,2015-2016,23.591054613366243
346,Brett Bailey,San Diego,2015-2016,6.705519117068797
347,Brett Bisping,Siena,2015-2016,28.849275592960186
348,Brett Boese,Washington St.,2015-2016,9.780208516421448
349,Brett Frantz,Youngstown St.,2015-2016,8.869370328581667
350,Brett Jolly,Saint Louis,2015-2016,5.055548413772634
351,Brett Wishon,Lipscomb,2015-2016,16.92499198026812
352,Brian Bennett,Cal Poly SLO,2015-2016,24.78462559269259
353,Brian Bernardi,Hofstra,2015-2016,15.551600381223485
354,Brian Bridgewater,Louisiana State,2015-2016,15.639938571537408
355,Brian Carey,Texas Southern,2015-2016,5.016021873874805
356,Brian Darden,Hampton,2015-2016,17.25815982601979
357,Brian Dawkins,Elon University,2015-2016,17.175168708622174
358,Brian Kelley,Norfolk State,2015-2016,4.590405593433216
359,Brian Parker,Marist,2015-2016,27.809438908615604
360,Brian Pearson,Savannah State,2015-2016,10.009346091731466
361,Brian Pegg,Stetson,2015-2016,27.618286128910643
362,Brian Sullivan,Davidson,2015-2016,20.76868505400653
363,Brian White,The Citadel,2015-2016,20.39060045761812
364,Brice Johnson,North Carolina,2015-2016,27.153772624867315
365,Brion Sanchious,Murray St.,2015-2016,11.874556400385549
366,Brock Stull,Wis.-Milwaukee,2015-2016,12.765563627004964
367,Broderick Newbill,UMKC,2015-2016,26.013266648834826
368,Bronson Koenig,Wisconsin,2015-2016,18.83472051008375
369,Bruce Beckford,No.Carolina A&T,2015-2016,18.420702698573407
370,Bryan Alberts,Gonzaga,2015-2016,10.950413167577738
371,Bryan Gee,Longwood,2015-2016,1.1307540606532271
372,Bryan Sekunda,Stony Brook,2015-2016,20.298294773914737
373,Bryant Crawford,Wake Forest,2015-2016,19.737667894572173
374,Bryant McIntosh,Northwestern,2015-2016,13.584224605133214
375,Bryant Rucker,Denver,2015-2016,21.127866071965684
376,Bryce Alford,UCLA,2015-2016,24.565324542541415
377,Bryce Brown,Auburn,2015-2016,13.924399105761804
378,Bryce Douvier,Texas A&M CC,2015-2016,31.23868106157507
379,Bryce Dulin,Navy,2015-2016,7.142650736719958
380,Bryce Jones,Murray St.,2015-2016,23.38159538290055
381,Bryce Moore,Western Michigan,2015-2016,10.312294667054315
382,Bryce Nickels,Youngstown St.,2015-2016,13.860435946068476
383,Bryce Pressley,Portland,2015-2016,15.082062039665363
384,Bryce Scott,Lafayette,2015-2016,11.489137532158516
385,Bryce Washington,Louisiana-Lafayette,2015-2016,26.29901122527455
386,Bryn Forbes,Michigan St,2015-2016,28.223617348041437
387,Brynton Lemar,UC Davis,2015-2016,15.85944942412356
388,Buay Tuach,Loyola Marymount,2015-2016,17.293984952557327
389,Buddy Hield,Oklahoma,2015-2016,22.615047315455506
390,Burak Eslik,SIU - Edwardsville,2015-2016,20.296384208525655
391,Byron Ashe,Mount St. Mary's,2015-2016,22.417612251505247
392,Byron Hawkins,Towson,2015-2016,23.736027387883016
393,C.J. Anderson,Massachusetts,2015-2016,6.17833572385415
394,C.J. Bobbitt,Denver,2015-2016,17.876685957079783
395,C.J. Bryce,NC-Wilmington,2015-2016,23.563469492382804
396,C.J. Burks,Marshall,2015-2016,21.305638099034695
397,C.J. Carr,SIU - Edwardsville,2015-2016,13.03398726555413
398,C.J. Gettys,NC-Wilmington,2015-2016,26.52998881800074
399,C.J. Massinburg,Buffalo,2015-2016,26.75715606716233
400,C.J. Neumann,Wofford,2015-2016,16.461473226211606
401,C.J. Rivers,Drake,2015-2016,12.728633445185359
402,C.J. Wiggins,North Carolina Central,2015-2016,9.981153488289495
403,C.J. Williams,Stephen F. Austin,2015-2016,11.938900632935288
404,CJ Davis,Columbia,2015-2016,8.639056520030731
405,CJ Siples,Air Force,2015-2016,21.102835589164375
406,Cahli Thomas,Delaware State,2015-2016,6.481682994474529
407,Calaen Robinson,Portland St.,2015-2016,18.32674960616644
408,Caleb Crayton,Houston Baptist,2015-2016,11.417659705288296
409,Caleb Donnelly,Northeastern,2015-2016,12.428123654012888
410,Caleb Homesley,Liberty,2015-2016,23.39338493572739
411,Caleb Martin,N.C. State,2015-2016,20.743145924389054
412,Caleb Swanigan,Purdue,2015-2016,11.326589963301787
413,Caleb White,East Carolina,2015-2016,20.26467122812222
414,Callum Barker,Bradley,2015-2016,9.192643926432337
415,Calvin Crawford,Manhattan,2015-2016,24.47188746095178
416,Calvin Hermanson,St. Mary's,2015-2016,10.742250158020127
417,Cam Gregory,Loyola-Maryland,2015-2016,22.020722078423915
418,Cam Miller,Lipscomb,2015-2016,19.191448981186664
419,Cam Ward,Vermont,2015-2016,20.693698251422877
420,Cameron Forte,Portland St.,2015-2016,36.75276669716046
421,Cameron Fowler,Niagara,2015-2016,7.7161671866702575
422,Cameron Harvey,Stetson,2015-2016,8.848452489468142
423,Cameron Johnson,Charleston,2015-2016,10.046337275358535
424,Cameron Johnson,Pittsburgh,2015-2016,18.794952774375226
425,Cameron Jones,Radford,2015-2016,21.348464712073415
426,Cameron Jones,St. Peter's,2015-2016,21.35585210691326
427,Cameron Lewis,Howard,2015-2016,8.383036643481905
428,Cameron Morse,Youngstown St.,2015-2016,32.2802348423044
429,Cameron Naylor,Texas State,2015-2016,20.224877285868406
430,Cameron Neubauer,San Diego,2015-2016,7.15806640607777
431,Cameron Oliver,Nevada,2015-2016,30.201664287942837
432,Cameron Reed,New Orleans,2015-2016,9.454240712308403
433,Cameron Reynolds,Tulane,2015-2016,12.803352711637652
434,Cameron Smith,Dartmouth,2015-2016,14.533603044104412
435,Cameron Smith,Florida International,2015-2016,15.230651986751853
436,Cameron Walker,Stanford,2015-2016,5.0594162981279664
437,Camron Justice,Vanderbilt,2015-2016,13.448780326612562
438,Camyn Boone,Missouri St.,2015-2016,15.384940815030998
439,Cane Broome,Sacred Heart,2015-2016,28.939468445759022
440,Carlbe Ervin II,Kansas St.,2015-2016,13.256461945764125
441,Carlin Dupree,North Dakota State,2015-2016,18.50723494229954
442,Carlos Anderson,SIU - Edwardsville,2015-2016,17.035509213370624
443,Carlos Morris,Minnesota,2015-2016,16.716869603361438
444,Carlton Bragg Jr.,Kansas,2015-2016,14.071158971642852
