,PLAYER,TEAM,YEAR,PER
0,A'uston Calhoun,Bowling Green,2011-2012,28.163358021283496
1,A.J. Davis,James Madison,2011-2012,30.75459160260744
2,A.J. Hardeman,New Mexico,2011-2012,5.745968419255817
3,A.J. Pacher,Wright St.,2011-2012,18.63511655728105
4,A.J. Rogers,Norfolk State,2011-2012,13.705933016922879
5,A.J. Rompza,Central Florida,2011-2012,23.88941403326351
6,A.J. Walton,Baylor,2011-2012,13.412542208313312
7,Aaron Adeoya,Ball St.,2011-2012,16.467541784306615
8,Aaron Anderson,Kennesaw St.,2011-2012,27.4182586244879
9,Aaron Anderson,North Dakota,2011-2012,12.795243097955373
10,Aaron Armstead,Green Bay,2011-2012,6.853057861492583
11,Aaron Austin,Hampton,2011-2012,5.6606164109838515
12,Aaron Brackett,NC-Greensboro,2011-2012,18.45975829535014
13,Aaron Bright,Stanford,2011-2012,25.573716535567854
14,Aaron Broussard,Seattle,2011-2012,38.18181934044337
15,Aaron Brown,Temple,2011-2012,21.130344321628602
16,Aaron Brown,West Virginia,2011-2012,21.89129677389171
17,Aaron Clayborn,Texas Southern,2011-2012,11.557394814980979
18,Aaron Cosby,Seton Hall,2011-2012,14.431009118406946
19,Aaron Craft,Ohio St.,2011-2012,27.854371638583057
20,Aaron Fuller,Southern California,2011-2012,29.921102351542626
21,Aaron Geramipoor,Seton Hall,2011-2012,7.816712101756765
22,Aaron Graham,Stetson,2011-2012,24.323528087473154
23,Aaron Harwell,Sam Houston St.,2011-2012,8.301937903769584
24,Aaron Hawk-Harris,Northern Colorado,2011-2012,4.135982700712514
25,Aaron Hawley,Drake,2011-2012,14.434836916117167
26,Aaron Jones,Mississippi,2011-2012,5.919111907837846
27,Aaron Martin,South Carolina State,2011-2012,13.527623202011382
28,Aaron Pogue,Cleveland St.,2011-2012,17.59328938989313
29,Aaron Urbanus,Texas-Pan American,2011-2012,14.005459779407802
30,Aaron Ware,George Washington,2011-2012,14.827085149299366
31,Aaron White,Iowa,2011-2012,12.7480398922491
32,Aaron Williams,Chicago St.,2011-2012,8.395177236765283
33,Abdel Nader,Northern Illinois,2011-2012,14.264382974782748
34,Abdul Gaddy,Washington,2011-2012,4.82123460079299
35,Abe Lodwick,Washington St.,2011-2012,23.784827230824632
36,Abner Moreira,Idaho State,2011-2012,14.480676400189147
37,Achraf Yacoubou,Villanova,2011-2012,10.21715018476733
38,Adam Barnes,Belmont,2011-2012,21.67842783213735
39,Adam Folker,UC Irvine,2011-2012,24.02600605980607
40,Adam Jones,Fairfield,2011-2012,12.168094489959614
41,Adam Kemp,Marist,2011-2012,23.67725905213487
42,Adam Malik,UC Davis,2011-2012,18.475944988839185
43,Adam Pegg,Stetson,2011-2012,29.754933056582722
44,Adam Smith,NC-Wilmington,2011-2012,22.384223536454638
45,Adam Sollazzo,East Tennessee St.,2011-2012,29.91676292601893
46,Adam Sterrenberg,Arkansas St.,2011-2012,15.66696323106797
47,Adam Thomas,Miami (OH),2011-2012,40.136359899482734
48,Adam Thoseby,Utah St.,2011-2012,3.8409446238721823
49,Adam Waddell,Wyoming,2011-2012,25.60294983493774
