,PLAYER,TEAM,YEAR,PER
0,A'Torey Everett,Tennessee St.,2016-2017,2.136178094075521
1,A.C. Reid,Liberty,2016-2017,11.488939105823993
2,A.J. Astroth,Hampton,2016-2017,25.653611878385515
3,A.J. Davis,Central Florida,2016-2017,14.313029563849184
4,A.J. Hess,South Dakota State,2016-2017,21.420115186714447
5,A.J. Jacobson,North Dakota State,2016-2017,21.899125517615413
6,A.J. Lawson,North Texas,2016-2017,24.51846098796307
7,A.J. Merriweather,East Tennessee St.,2016-2017,23.28245767395453
8,A.J. Mosby,Alcorn St.,2016-2017,19.203155966529618
9,A.J. Turner,Boston College,2016-2017,18.166982264293175
10,AJ Brodeur,Pennsylvania,2016-2017,31.151165972368698
11,AJ Sumbry,Wagner,2016-2017,21.380268266734962
12,Aaric Armstead,Northern Illinois,2016-2017,17.49283532342944
13,Aaron Anderson,Oral Roberts,2016-2017,22.065871341129306
14,Aaron Augustin,Stephen F. Austin,2016-2017,5.269740285713536
15,Aaron Bodager,North Florida,2016-2017,11.684170429459577
16,Aaron Brennan,Indiana - Purdue,2016-2017,22.807401742365517
17,Aaron Carver,Old Dominion,2016-2017,11.326468166816381
18,Aaron Cook,Southern Illinois,2016-2017,20.82913500233112
19,Aaron Epps,Louisiana State,2016-2017,17.894612271477033
20,Aaron Hines,Saint Louis,2016-2017,11.811279470077976
21,Aaron Holiday,UCLA,2016-2017,27.93169663672432
22,Aaron Horne,North Florida,2016-2017,12.887604274284284
23,Aaron Jackson,Akron,2016-2017,19.83152690162075
24,Aaron Korn,Lipscomb,2016-2017,16.299572581144563
25,Aaron Parks,CSU Northridge,2016-2017,19.836147440243984
26,Aaron Ross,Texas Tech,2016-2017,25.442744225039426
27,Aaron Scales,No.Carolina A&T,2016-2017,18.15363516869124
28,Aaron Tate,Robert Morris,2016-2017,19.8561558974484
29,Aaron Walker Jr.,Manhattan,2016-2017,23.803039681634857
30,Aaron Weidenaar,Central Arkansas,2016-2017,6.091290432625992
31,Aaron Young,Oral Roberts,2016-2017,13.651266942466153
32,Abdoulaye Gueye,Georgia Tech,2016-2017,4.632493365537869
33,Abdoulaye Harouna,Miami (OH),2016-2017,21.278163342011442
34,Abdul Lewis,New Jersey Tech,2016-2017,21.518986648189525
35,Abdul-Malik Abu,N.C. State,2016-2017,25.3993876179882
36,Abdulai Bundu,Quinnipiac,2016-2017,14.21738704820534
37,Adam Grant,Bryant,2016-2017,18.771392012393996
38,Adam Pickett,Winthrop,2016-2017,21.61454763672123
39,Adam Sledd,Western Carolina,2016-2017,16.717972504870772
40,Adam Ward,Nicholls State,2016-2017,9.895473241129205
41,Ade Murkey,Denver,2016-2017,26.162510409216843
42,Admiral Schofield,Tennessee,2016-2017,4.897605268447071
43,Admon Gilder,Texas A&M,2016-2017,13.42445107561871
44,Adonis De La Rosa,Kent St.,2016-2017,14.294161753920472
45,Adonis Filer,Florida Atlantic,2016-2017,25.12238626651054
46,Adonis Rwabigwi,Texas Rio Grande Valley,2016-2017,10.644639095552288
47,Adrian Brown,McNeese St.,2016-2017,6.516135351549532
48,Adrian Edwards,Alabama A&M,2016-2017,24.04724000718463
49,Adrian Rich,VMI,2016-2017,10.82920306534995
50,Adrio Bailey,Arkansas,2016-2017,4.552877626304574
51,Aher Uguak,New Mexico,2016-2017,3.04090267478743
52,Ahmaad Rorie,Montana,2016-2017,16.208033833787702
53,Ahmad Caver,Old Dominion,2016-2017,23.45813126399389
54,Ahmad Thomas,N.C. Asheville,2016-2017,35.90345029997386
55,Ahmad Wagner,Iowa,2016-2017,8.574886380676613
56,Ahmed Hamdy-Mohamed,VCU,2016-2017,19.967237093552264
57,Ahmed Hill,Virginia Tech,2016-2017,20.69467102038464
58,Ahmed Ismail,Manhattan,2016-2017,14.882657028399318
59,Ahsante Shivers,Siena,2016-2017,12.061648599339106
60,Ajdin Penava,Marshall,2016-2017,22.15022166893593
61,Ak Ojo,Manhattan,2016-2017,6.730529075690553
62,Akeem Springs,Minnesota,2016-2017,20.836383873231544
63,Akim Mitchell,Hampton,2016-2017,14.388050157991241
64,Ako Adams,Rice,2016-2017,4.73768389815198
65,Ako Kaluna,Northern Arizona,2016-2017,24.276827679524008
66,Akoy Agau,Georgetown,2016-2017,21.13937158219713
67,Akwasi Yeboah,Stony Brook,2016-2017,24.034463449760292
68,Al Eichelberger,DePaul,2016-2017,14.674881529479299
69,Al Freeman,Baylor,2016-2017,18.88540174733896
70,Al-Wajid Aminu,North Florida,2016-2017,16.914521712152283
71,Alain Chigha,Quinnipiac,2016-2017,14.07912125192831
72,Alan Herndon,Wyoming,2016-2017,21.624844416892063
73,Alani Moore II,Temple,2016-2017,14.902891457872522
74,Albert Almanza,Sam Houston St.,2016-2017,16.725062886950266
75,Albert Christensson,Central Arkansas,2016-2017,2.110512807411268
76,Albert Owens,Oral Roberts,2016-2017,29.31931846780817
77,Aldonis Foote,Middle Tennessee St.,2016-2017,12.249402887749564
78,Alec Brennan,Princeton,2016-2017,23.468493793114447
79,Alec Peters,Valparaiso,2016-2017,39.80756582270104
80,Alec Wintering,Portland,2016-2017,14.960275583559358
81,Alec Wnuk,N.C. Asheville,2016-2017,20.132880673351874
82,Aleer Leek,UMKC,2016-2017,5.944120516906061
83,Aleks Abrams,Cal Poly SLO,2016-2017,23.781409662683874
84,Aleksa Jugovic,Tennessee Tech,2016-2017,21.068045181605495
85,Aleksa Nikolic,Marshall,2016-2017,12.602559149951137
86,Alex Brown,Norfolk State,2016-2017,3.62502601783369
87,Alex Copeland,Yale,2016-2017,26.91683826809078
88,Alex Dubovitskiy,Chicago St.,2016-2017,-0.8951373628165977
89,Alex Ennis,Morgan St.,2016-2017,13.65662462273819
90,Alex Fountain,Houston Baptist,2016-2017,20.143770138994515
91,Alex Hart,UC Santa Barbara,2016-2017,20.863489844875918
92,Alex Hicks,Troy,2016-2017,20.087465877315807
93,Alex Hobbs,Boise St.,2016-2017,15.59709802566138
94,Alex Illikainen,Wisconsin,2016-2017,11.60080442741342
95,Alex Larsson,UC Riverside,2016-2017,15.529736778309923
96,Alex Long,Norfolk State,2016-2017,18.19875610815166
97,Alex Murphy,Northeastern,2016-2017,25.619268336124982
98,Alex Paquin,American U.,2016-2017,14.539452246048583
99,Alex Peters,Samford,2016-2017,17.282980724829073
100,Alex Robinson,Texas Christian,2016-2017,21.316414918992265
101,Alex Thomas,Towson,2016-2017,18.36728208812464
102,Alex Thompson,Samford,2016-2017,23.72565175063701
103,Alexander Aka Gorski,Wyoming,2016-2017,15.696171720944129
104,Alexis Dargenton,Utah St.,2016-2017,18.749852984705154
105,Alioune Tew,Niagara,2016-2017,7.48680389419343
106,Alize Johnson,Missouri St.,2016-2017,17.805500888021374
107,Allante Holston,North Texas,2016-2017,9.657271141512306
108,Alonzo Walker,Kent St.,2016-2017,11.72533001558409
109,Alpha Diallo,Providence,2016-2017,15.490893493356214
110,Alvin Ellis III,Michigan St,2016-2017,20.88540167351269
111,Amadi Ikpeze,St. Bonaventure,2016-2017,12.4947363408342
112,Amadou Sidibe,Fairfield,2016-2017,28.417054044435208
113,Amanze Egekeze,Belmont,2016-2017,25.254904079800326
114,Amar Alibegovic,St. John's,2016-2017,9.694311112083552
115,Amar Stukes,La Salle,2016-2017,21.138664991240926
116,Amari Hamilton,No.Carolina A&T,2016-2017,15.076683655494614
117,Ambrose Mosley,NC-Wilmington,2016-2017,19.7896265772775
118,Amel TeTe,Presbyterian,2016-2017,7.418686734132367
