,MATCH,DATE,PT_DIFF
0,William & Mary vs. St. John's,2011-11-07,15
1,Valparaiso vs. Arizona,2011-11-07,9
2,Eastern Kentucky vs. Mississippi St.,2011-11-07,-10
3,Akron vs. Mississippi St.,2011-11-09,10
4,Liberty vs. Texas A&M,2011-11-09,-22
5,Lehigh vs. St. John's,2011-11-09,-5
6,Duquesne vs. Arizona,2011-11-09,8
7,Montana St. vs. Arizona St.,2011-11-11,6
8,Northeastern vs. Boston U,2011-11-11,-8
9,Fairfield vs. Quinnipiac,2011-11-11,12
10,NC-Greensboro vs. Tennessee,2011-11-11,-29
11,Maryland - E. Shore vs. George Washington,2011-11-11,16
12,Marist vs. Kentucky,2011-11-11,50
13,Rider vs. Robert Morris,2011-11-11,-26
14,Howard vs. Bowling Green,2011-11-11,15
15,Monmouth-NJ vs. Villanova,2011-11-11,-36
16,Jacksonville vs. Florida St.,2011-11-11,12
17,N.C. Asheville vs. N.C. State,2011-11-11,-9
18,Lafayette vs. La Salle,2011-11-11,26
19,St. Peter's vs. Buffalo,2011-11-11,7
20,Loyola-Maryland vs. Wake Forest,2011-11-11,-12
21,Cornell vs. St. Bonaventure,2011-11-11,-21
22,Navy vs. Longwood,2011-11-11,-8
23,Delaware vs. Radford,2011-11-11,-4
24,Bethune-Cookman vs. Stetson,2011-11-11,-5
25,Houston Baptist vs. Campbell,2011-11-11,14
26,American U. vs. Richmond,2011-11-11,-10
27,Dartmouth vs. Rutgers,2011-11-11,-6
28,St. Francis (PA) vs. VCU,2011-11-11,-6
29,North Carolina Central vs. Charlotte,2011-11-11,16
30,Rhode Island vs. George Mason,2011-11-11,2
31,Charleston Southern vs. Kansas St.,2011-11-11,-5
32,Towson vs. Kansas,2011-11-11,46
33,Idaho State vs. Oklahoma,2011-11-11,-4
34,SE Missouri St. vs. Missouri,2011-11-11,15
35,Wofford vs. Georgia,2011-11-11,13
36,Texas A&M CC vs. Oklahoma St.,2011-11-11,32
37,Gardner-Webb vs. Clemson,2011-11-11,21
38,South Carolina Upstate vs. Arkansas,2011-11-11,20
39,McNeese St. vs. Auburn,2011-11-11,22
40,Florida Gulf Coast vs. Texas Christian,2011-11-11,-1
41,Arkansas St. vs. Lamar,2011-11-11,-3
42,Tennessee St. vs. Saint Louis,2011-11-11,34
43,Mount St. Mary's vs. Marquette,2011-11-11,54
44,Texas-San Antonio vs. Texas-El Paso,2011-11-11,-9
45,Loyola-Chicago vs. Illinois,2011-11-11,18
46,Alabama A&M vs. Tulane,2011-11-11,-9
47,Montana vs. Colorado St.,2011-11-11,6
48,North Dakota State vs. San Francisco,2011-11-11,8
49,Brigham Young vs. Utah St.,2011-11-11,-7
50,Portland St. vs. Denver,2011-11-11,8
51,Army vs. Air Force,2011-11-11,16
52,Missouri St. vs. Nevada,2011-11-11,22
53,Illinois St. vs. Fresno St.,2011-11-11,8
54,Texas Southern vs. Baylor,2011-11-11,20
55,Bryant vs. San Diego St.,2011-11-11,-12
56,CSU Northridge vs. Southern California,2011-11-11,-7
57,Citadel vs. VMI,2011-11-11,-3
58,Sacred Heart vs. Hartford,2011-11-11,-20
59,Eastern Illinois vs. Indiana St.,2011-11-11,-7
60,Tennessee Tech vs. Miami - Florida,2011-11-11,11
61,LIU Brooklyn vs. Hofstra,2011-11-11,18
62,Illinois-Chicago vs. Eastern Michigan,2011-11-11,11
63,Jackson State vs. Florida,2011-11-11,40
64,Michigan St vs. North Carolina,2011-11-11,-12
65,Morgan St. vs. Xavier,2011-11-11,-11
66,Stony Brook vs. Indiana,2011-11-11,30
67,Albany vs. Pittsburgh,2011-11-11,-33
68,Western Carolina vs. South Carolina,2011-11-11,25
69,Northern Illinois vs. Purdue,2011-11-11,-62
70,Tenn-Martin vs. Louisville,2011-11-11,35
71,Columbia vs. Connecticut,2011-11-11,-13
72,Valparaiso vs. Georgia Southern,2011-11-11,-9
73,Louisiana-Monroe vs. Mississippi,2011-11-11,-22
74,Pennsylvania vs. MD Baltimore Cty,2011-11-11,-14
75,Southern Utah vs. UC Davis,2011-11-11,1
76,Holy Cross vs. Charleston,2011-11-11,9
77,Alabama St. vs. Marshall,2011-11-11,-18
78,North Florida vs. Alabama,2011-11-11,20
79,Bucknell vs. Minnesota,2011-11-11,-12
80,St. Joseph's vs. Western Kentucky,2011-11-11,11
81,Yale vs. Central Conn. St.,2011-11-11,-4
82,Florida A&M vs. Georgia Tech,2011-11-11,-33
83,Arkansas-Little Rock vs. Tulsa,2011-11-11,-16
84,Chicago St. vs. Iowa,2011-11-11,-43
85,South Dakota vs. Nebraska,2011-11-11,17
86,Austin Peay vs. Middle Tennessee St.,2011-11-11,-9
87,No.Carolina A&T vs. Creighton,2011-11-11,32
88,Oral Roberts vs. West Virginia,2011-11-11,-7
89,Wright St. vs. Ohio St.,2011-11-11,31
90,Elon University vs. Massachusetts,2011-11-11,-18
91,Texas-Pan American vs. DePaul,2011-11-11,19
92,Belmont vs. Duke,2011-11-11,-1
93,Troy vs. Texas Tech,2011-11-11,5
94,Oregon vs. Vanderbilt,2011-11-11,-14
95,Central Arkansas vs. Stanford,2011-11-11,-39
96,Loyola Marymount vs. UCLA,2011-11-11,11
97,UC Irvine vs. California,2011-11-11,21
98,Eastern Washington vs. Gonzaga,2011-11-11,-8
99,Northern Arizona vs. Louisiana-Lafayette,2011-11-11,17
100,Savannah State vs. Georgetown,2011-11-12,29
101,Kennesaw St. vs. Wisconsin,2011-11-12,-54
102,Nebraska Omaha vs. IUPU - Ft. Wayne,2011-11-12,11
103,Mississippi Valley State vs. Notre Dame,2011-11-12,-13
104,Lehigh vs. Iowa St.,2011-11-12,9
105,Western Michigan vs. South Dakota State,2011-11-12,6
106,East Tennessee St. vs. Virginia Tech,2011-11-12,-11
107,Florida Atlantic vs. Portland,2011-11-12,-5
108,Butler vs. Evansville,2011-11-12,-3
109,Eastern Kentucky vs. Winthrop,2011-11-12,12
110,Fordham vs. Syracuse,2011-11-12,-25
111,Presbyterian vs. Duke,2011-11-12,41
112,Georgia St vs. Washington,2011-11-12,-17
113,San Jose St. vs. Cal Poly SLO,2011-11-12,27
