,MATCH,DATE,PT_DIFF,HOME,AWAY,TEAM_x,A_x,BLK_x,DEF_x,OFF_x,PF_x,PTS_x,STL_x,TO_x,TOT_x,3P_x,3PA_x,FG_x,FGA_x,FT_x,FTA_x,PER_x,TEAM_y,A_y,BLK_y,DEF_y,OFF_y,PF_y,PTS_y,STL_y,TO_y,TOT_y,3P_y,3PA_y,FG_y,FGA_y,FT_y,FTA_y,PER_y
0,Vermont vs. Eastern Michigan,2015-11-13,20,Vermont,Eastern Michigan,Vermont,14.15625,4.84375,26.03125,7.875,20.09375,80.5625,6.09375,13.6875,33.90625,7.0,18.125,28.65625,59.125,16.25,23.0,22.439191332502194,Eastern Michigan,11.222222222222221,3.6296296296296298,22.185185185185187,10.222222222222221,21.185185185185187,78.96296296296296,9.037037037037036,12.518518518518519,32.407407407407405,6.222222222222222,19.074074074074073,26.74074074074074,60.370370370370374,19.25925925925926,26.14814814814815,21.472000161069158
1,Colorado vs. Iowa St.,2015-11-13,-6,Colorado,Iowa St.,Colorado,13.451612903225806,5.129032258064516,27.193548387096776,11.580645161290322,19.161290322580644,76.61290322580645,5.354838709677419,13.290322580645162,38.774193548387096,7.290322580645161,19.193548387096776,25.64516129032258,60.96774193548387,18.032258064516128,24.580645161290324,7.2657204244044635,Iowa St.,16.529411764705884,4.029411764705882,25.264705882352942,7.588235294117647,15.264705882352942,80.94117647058823,6.264705882352941,10.911764705882353,32.85294117647059,8.147058823529411,20.676470588235293,30.676470588235293,60.5,11.441176470588236,16.176470588235293,23.278218570309335
2,Northwestern St. vs. Mississippi,2015-11-13,14,Northwestern St.,Mississippi,Northwestern St.,14.541666666666666,3.0416666666666665,19.916666666666668,8.291666666666666,19.875,75.625,6.291666666666667,14.375,28.208333333333332,6.875,20.375,26.25,59.541666666666664,16.25,20.958333333333332,14.088919660952952,Mississippi,12.9,3.2333333333333334,23.333333333333332,11.4,19.166666666666668,75.73333333333333,7.533333333333333,11.733333333333333,34.733333333333334,7.966666666666667,23.466666666666665,25.033333333333335,60.333333333333336,17.7,24.766666666666666,6.947763438467486
3,South Dakota vs. Wright St.,2015-11-13,-8,South Dakota,Wright St.,South Dakota,15.172413793103448,3.5172413793103448,22.344827586206897,7.310344827586207,20.96551724137931,77.06896551724138,6.689655172413793,11.724137931034482,29.655172413793103,6.413793103448276,17.620689655172413,28.689655172413794,61.44827586206897,13.275862068965518,18.724137931034484,11.12225991990238,Wright St.,14.931034482758621,2.0344827586206895,25.413793103448278,5.689655172413793,23.862068965517242,74.20689655172414,6.103448275862069,12.10344827586207,31.103448275862068,7.724137931034483,20.586206896551722,26.275862068965516,58.86206896551724,13.931034482758621,20.06896551724138,17.063642324212985
4,Wagner vs. St. John's,2015-11-13,9,Wagner,St. John's,Wagner,14.566666666666666,4.266666666666667,25.833333333333332,12.966666666666667,23.433333333333334,75.83333333333333,7.5,13.8,38.8,6.6,19.566666666666666,27.3,63.93333333333333,14.633333333333333,20.566666666666666,18.887308276139127,St. John's,12.966666666666667,5.6,23.333333333333332,8.966666666666667,21.7,68.43333333333334,6.466666666666667,15.4,32.3,6.433333333333334,20.033333333333335,23.866666666666667,59.43333333333333,14.266666666666667,22.633333333333333,15.602279907205173
5,Texas Rio Grande Valley vs. Miami-Florida,2015-11-13,27,Texas Rio Grande Valley,Miami-Florida,Texas Rio Grande Valley,15.23076923076923,3.0384615384615383,22.692307692307693,7.6923076923076925,18.46153846153846,66.88461538461539,4.8076923076923075,12.038461538461538,30.384615384615383,7.269230769230769,21.846153846153847,24.076923076923077,58.30769230769231,11.461538461538462,16.96153846153846,14.61549872129147,Miami-Florida,13.181818181818182,3.727272727272727,24.636363636363637,8.333333333333334,16.96969696969697,78.39393939393939,6.454545454545454,11.06060606060606,32.96969696969697,7.181818181818182,19.242424242424242,27.03030303030303,56.63636363636363,17.151515151515152,22.818181818181817,24.601062744242363
6,Presbyterian vs. Furman,2015-11-13,10,Presbyterian,Furman,Presbyterian,11.11111111111111,1.8518518518518519,22.22222222222222,7.37037037037037,19.666666666666668,67.22222222222223,6.37037037037037,14.518518518518519,29.59259259259259,5.0,16.22222222222222,24.11111111111111,56.111111111111114,14.0,19.51851851851852,14.089838300753092,Furman,11.709677419354838,3.5161290322580645,23.387096774193548,9.516129032258064,18.870967741935484,73.03225806451613,6.387096774193548,13.35483870967742,32.903225806451616,7.387096774193548,23.06451612903226,24.548387096774192,54.58064516129032,16.548387096774192,23.870967741935484,19.838412253988654
7,Niagara vs. Old Dominion,2015-11-13,-17,Niagara,Old Dominion,Niagara,10.8,3.066666666666667,23.033333333333335,10.2,19.0,65.16666666666667,5.1,13.633333333333333,33.233333333333334,5.3,18.933333333333334,23.133333333333333,57.7,13.6,19.233333333333334,15.551602906406199,Old Dominion,13.305555555555555,3.9166666666666665,24.13888888888889,11.25,16.666666666666668,69.61111111111111,5.888888888888889,8.527777777777779,35.388888888888886,4.222222222222222,13.694444444444445,26.36111111111111,59.0,12.666666666666666,18.583333333333332,23.356545535302686
8,North Carolina vs. Temple,2015-11-13,24,North Carolina,Temple,North Carolina,18.675675675675677,4.702702702702703,26.054054054054053,12.864864864864865,18.10810810810811,87.51351351351352,7.081081081081081,11.027027027027026,38.91891891891892,5.972972972972973,17.54054054054054,32.62162162162162,66.62162162162163,16.2972972972973,21.675675675675677,15.856731212255267,Temple,14.32258064516129,3.2580645161290325,25.322580645161292,10.03225806451613,16.93548387096774,72.93548387096774,5.548387096774194,9.35483870967742,35.354838709677416,8.225806451612904,24.419354838709676,26.451612903225808,65.0,11.806451612903226,17.258064516129032,19.42346887571296
9,Colgate vs. George Mason,2015-11-13,13,Colgate,George Mason,Colgate,13.321428571428571,2.2857142857142856,21.464285714285715,7.607142857142857,19.785714285714285,70.53571428571429,6.178571428571429,12.071428571428571,29.071428571428573,8.678571428571429,23.285714285714285,25.142857142857142,56.07142857142857,11.571428571428571,17.071428571428573,17.9328089871252,George Mason,10.366666666666667,3.7666666666666666,27.833333333333332,11.8,17.9,67.73333333333333,2.8333333333333335,12.033333333333333,39.63333333333333,5.4,18.433333333333334,24.366666666666667,59.86666666666667,13.6,20.5,16.919050968720487
