,MATCH,DATE,PT_DIFF
0,Georgia Southern vs. Houston,2008-11-10,2.0
1,Presbyterian vs. Duke,2008-11-10,31.0
2,Indiana - Purdue vs. Northeastern,2008-11-11,-13.0
3,Presbyterian vs. Houston,2008-11-11,19.0
4,Georgia Southern vs. Duke,2008-11-11,43.0
5,Northeastern vs. Michigan,2008-11-12,20.0
6,Prairie View A&M vs. UCLA,2008-11-12,-24.0
7,Weber St. vs. Miami (OH),2008-11-12,4.0
8,Massachusetts vs. Southern Illinois,2008-11-12,-7.0
9,Prairie View A&M vs. Weber St.,2008-11-13,-10.0
10,Miami (OH) vs. UCLA,2008-11-13,-5.0
11,Texas Christian vs. Western Michigan,2008-11-14,4.0
12,Maine vs. Northern Illinois,2008-11-14,13.0
13,Central Conn. St. vs. Boston College,2008-11-14,15.0
14,Navy vs. Towson,2008-11-14,-18.0
15,North Carolina Central vs. Wake Forest,2008-11-14,-46.0
16,Stanford vs. Yale,2008-11-14,8.0
17,Central Michigan vs. Princeton,2008-11-14,2.0
18,VMI vs. Kentucky,2008-11-14,-8.0
19,George Washington vs. Boston U,2008-11-14,-5.0
20,Southern Methodist vs. South Florida,2008-11-14,14.0
21,Sacred Heart vs. Holy Cross,2008-11-14,9.0
22,Jacksonville St. vs. South Carolina,2008-11-14,-13.0
23,Georgia St vs. Bowling Green,2008-11-14,1.0
24,Lafayette vs. Wagner,2008-11-14,6.0
25,South Carolina Upstate vs. Georgia,2008-11-14,24.0
26,Robert Morris vs. St. Bonaventure,2008-11-14,-10.0
27,Eastern Kentucky vs. Florida International,2008-11-14,-3.0
28,Albany vs. Villanova,2008-11-14,-18.0
29,Bucknell vs. Maryland,2008-11-14,-29.0
30,St. Francis (NY) vs. Seton Hall,2008-11-14,27.0
31,Samford vs. Belmont,2008-11-14,18.0
32,American U. vs. Oklahoma,2008-11-14,-29.0
33,Marist vs. Rutgers,2008-11-14,-2.0
34,Missouri St. vs. Auburn,2008-11-14,15.0
35,Morehead St. vs. Louisiana-Monroe,2008-11-14,2.0
36,Southeastern Louisiana vs. Arkansas,2008-11-14,4.0
37,Alcorn St. vs. South Alabama,2008-11-14,-8.0
38,Winston-Salem vs. Georgia Tech,2008-11-14,45.0
39,Houston Baptist vs. Marquette,2008-11-14,-31.0
40,Detroit vs. Purdue,2008-11-14,-32.0
41,St. Francis (PA) vs. Texas Tech,2008-11-14,-34.0
42,SE Missouri St. vs. New Mexico,2008-11-14,43.0
43,Cal. State - Bakersfield vs. Wyoming,2008-11-14,-26.0
44,Hofstra vs. Clemson,2008-11-14,29.0
45,Mississippi Valley State vs. Arizona St.,2008-11-14,16.0
46,Texas State vs. Cal St. Fullerton,2008-11-14,-10.0
47,Texas Southern vs. Texas-El Paso,2008-11-14,-6.0
48,Arkansas-Pine Bluff vs. Colorado,2008-11-14,-20.0
49,San Francisco vs. Hawaii,2008-11-14,-5.0
50,East Tennessee St. vs. Temple,2008-11-14,-14.0
51,Loyola Marymount vs. Wis.-Milwaukee,2008-11-14,-24.0
52,Toledo vs. Florida,2008-11-14,22.0
53,William & Mary vs. Penn St.,2008-11-14,14.0
54,Mount St. Mary's vs. Loyola-Maryland,2008-11-14,-8.0
55,Brown vs. Rhode Island,2008-11-14,-2.0
56,Appalachian St. vs. NC-Wilmington,2008-11-14,-7.0
57,Oregon St. vs. Howard,2008-11-14,2.0
58,Quinnipiac vs. Hartford,2008-11-14,-1.0
59,Fairleigh Dickinson vs. Pittsburgh,2008-11-14,-23.0
60,Monmouth-NJ vs. Florida Atlantic,2008-11-14,3.0
61,Maryland - E. Shore vs. Stony Brook,2008-11-14,-16.0
62,Rider vs. St. Joseph's,2008-11-14,-12.0
63,IUPU - Ft. Wayne vs. Xavier,2008-11-14,-28.0
64,Hampton vs. Iona,2008-11-14,-13.0
65,Western Carolina vs. Connecticut,2008-11-14,26.0
66,Western Illinois vs. Kennesaw St.,2008-11-14,22.0
67,San Jose St. vs. South Dakota State,2008-11-14,8.0
68,UC Davis vs. Iowa St.,2008-11-14,3.0
69,Texas-San Antonio vs. Oklahoma St.,2008-11-14,19.0
70,Columbia vs. Fordham,2008-11-14,3.0
71,NC-Greensboro vs. Charlotte,2008-11-14,18.0
72,Arkansas St. vs. Mississippi,2008-11-14,-13.0
73,Gardner-Webb vs. Virginia Tech,2008-11-14,-3.0
74,Florida A&M vs. Kansas St.,2008-11-14,-39.0
75,Stetson vs. Texas,2008-11-14,-30.0
76,Illinois-Chicago vs. Bradley,2008-11-14,6.0
77,Charleston Southern vs. Iowa,2008-11-14,-20.0
78,High Point vs. Duquesne,2008-11-14,29.0
79,LIU Brooklyn vs. St. John's,2008-11-14,-10.0
80,Northern Arizona vs. Utah Valley,2008-11-14,-6.0
81,Montana vs. Colorado St.,2008-11-14,30.0
82,Long Beach St. vs. Brigham Young,2008-11-14,10.0
83,Eastern Washington vs. Illinois,2008-11-14,-16.0
84,Sacramento State vs. Fresno St.,2008-11-14,12.0
85,Arkansas-Little Rock vs. Cal Poly SLO,2008-11-14,27.0
86,Northern Colorado vs. Oregon,2008-11-14,-2.0
87,George Mason vs. Vermont,2008-11-15,1.0
88,Loyola Marymount vs. Iowa St.,2008-11-15,12.0
89,Manhattan vs. New Jersey Tech,2008-11-15,24.0
90,Eastern Illinois vs. Ball St.,2008-11-15,13.0
91,UAB vs. Troy,2008-11-15,-21.0
92,UC Riverside vs. New Mexico St.,2008-11-15,27.0
93,Western Kentucky vs. Houston,2008-11-15,9.0
94,Pennsylvania vs. North Carolina,2008-11-15,15.0
95,Lehigh vs. St. Peter's,2008-11-15,17.0
96,UC Davis vs. Wis.-Milwaukee,2008-11-15,-6.0
97,Western Illinois vs. Northern Illinois,2008-11-15,11.0
98,San Diego vs. UNLV,2008-11-15,-5.0
99,Northeastern vs. Providence,2008-11-15,4.0
100,Illinois St. vs. Wright St.,2008-11-15,8.0
