,MATCH,DATE,PT_DIFF,HOME,AWAY,TEAM_x,A_x,BLK_x,DEF_x,OFF_x,PF_x,PTS_x,STL_x,TO_x,TOT_x,3P_x,3PA_x,FG_x,FGA_x,FT_x,FTA_x,PER_x,TEAM_y,A_y,BLK_y,DEF_y,OFF_y,PF_y,PTS_y,STL_y,TO_y,TOT_y,3P_y,3PA_y,FG_y,FGA_y,FT_y,FTA_y,PER_y
0,Louisiana Tech vs. South Carolina,2016-11-11,-9,Louisiana Tech,South Carolina,Louisiana Tech,16.107142857142858,5.5,24.5,8.5,15.285714285714286,75.39285714285714,6.392857142857143,11.857142857142858,33.0,7.785714285714286,20.785714285714285,26.821428571428573,56.964285714285715,13.964285714285714,19.642857142857142,22.902458151887195,Louisiana Tech,16.107142857142858,5.5,24.5,8.5,15.285714285714286,75.39285714285714,6.392857142857143,11.857142857142858,33.0,7.785714285714286,20.785714285714285,26.821428571428573,56.964285714285715,13.964285714285714,19.642857142857142,22.902458151887195
1,Georgia vs. Clemson,2016-11-11,10,Georgia,Clemson,Georgia,12.655172413793103,3.9310344827586206,24.93103448275862,7.931034482758621,17.413793103448278,69.72413793103448,5.517241379310345,12.586206896551724,32.86206896551724,4.689655172413793,14.241379310344827,24.06896551724138,53.10344827586207,16.896551724137932,22.379310344827587,4.824385974443045,Georgia,12.655172413793103,3.9310344827586206,24.93103448275862,7.931034482758621,17.413793103448278,69.72413793103448,5.517241379310345,12.586206896551724,32.86206896551724,4.689655172413793,14.241379310344827,24.06896551724138,53.10344827586207,16.896551724137932,22.379310344827587,4.824385974443045
2,Georgia Southern vs. N.C. State,2016-11-11,-2,Georgia Southern,N.C. State,Georgia Southern,10.071428571428571,3.0714285714285716,23.428571428571427,7.857142857142857,20.071428571428573,75.03571428571429,6.5,11.857142857142858,31.285714285714285,9.107142857142858,24.25,25.035714285714285,56.642857142857146,15.857142857142858,23.214285714285715,20.231279233519732,Georgia Southern,10.071428571428571,3.0714285714285716,23.428571428571427,7.857142857142857,20.071428571428573,75.03571428571429,6.5,11.857142857142858,31.285714285714285,9.107142857142858,24.25,25.035714285714285,56.642857142857146,15.857142857142858,23.214285714285715,20.231279233519732
3,Eastern Michigan vs. Pittsburgh,2016-11-11,-3,Eastern Michigan,Pittsburgh,Eastern Michigan,12.851851851851851,3.814814814814815,20.074074074074073,10.11111111111111,19.85185185185185,72.07407407407408,8.703703703703704,11.37037037037037,30.185185185185187,6.407407407407407,18.62962962962963,25.555555555555557,59.0,14.555555555555555,19.962962962962962,22.029442638661315,Eastern Michigan,12.851851851851851,3.814814814814815,20.074074074074073,10.11111111111111,19.85185185185185,72.07407407407408,8.703703703703704,11.37037037037037,30.185185185185187,6.407407407407407,18.62962962962963,25.555555555555557,59.0,14.555555555555555,19.962962962962962,22.029442638661315
4,Stephen F. Austin vs. Kentucky,2016-11-11,23,Stephen F. Austin,Kentucky,Stephen F. Austin,12.192307692307692,3.0,19.807692307692307,9.653846153846153,20.307692307692307,65.61538461538461,6.769230769230769,15.807692307692308,29.46153846153846,5.576923076923077,17.692307692307693,22.846153846153847,52.11538461538461,14.346153846153847,20.5,15.953617252174174,Stephen F. Austin,12.192307692307692,3.0,19.807692307692307,9.653846153846153,20.307692307692307,65.61538461538461,6.769230769230769,15.807692307692308,29.46153846153846,5.576923076923077,17.692307692307693,22.846153846153847,52.11538461538461,14.346153846153847,20.5,15.953617252174174
5,Bowling Green vs. Oakland,2016-11-11,-8,Bowling Green,Oakland,Bowling Green,11.266666666666667,2.3,20.9,8.833333333333334,17.866666666666667,67.03333333333333,6.6,11.333333333333334,29.733333333333334,6.066666666666666,18.066666666666666,23.566666666666666,56.233333333333334,13.833333333333334,20.733333333333334,18.85260905842963,Bowling Green,11.266666666666667,2.3,20.9,8.833333333333334,17.866666666666667,67.03333333333333,6.6,11.333333333333334,29.733333333333334,6.066666666666666,18.066666666666666,23.566666666666666,56.233333333333334,13.833333333333334,20.733333333333334,18.85260905842963
6,Sacred Heart vs. Fairfield,2016-11-11,22,Sacred Heart,Fairfield,Sacred Heart,14.516129032258064,2.5161290322580645,24.225806451612904,9.129032258064516,18.806451612903224,74.2258064516129,6.838709677419355,16.032258064516128,33.354838709677416,6.354838709677419,18.903225806451612,26.580645161290324,59.806451612903224,14.709677419354838,20.838709677419356,18.870844412020496,Sacred Heart,14.516129032258064,2.5161290322580645,24.225806451612904,9.129032258064516,18.806451612903224,74.2258064516129,6.838709677419355,16.032258064516128,33.354838709677416,6.354838709677419,18.903225806451612,26.580645161290324,59.806451612903224,14.709677419354838,20.838709677419356,18.870844412020496
7,Rider vs. Hampton,2016-11-11,-11,Rider,Hampton,Rider,14.733333333333333,3.6333333333333333,25.766666666666666,10.733333333333333,19.833333333333332,76.56666666666666,6.6,14.066666666666666,36.5,5.333333333333333,16.366666666666667,27.8,61.56666666666667,15.633333333333333,23.033333333333335,20.12577956011894,Rider,14.733333333333333,3.6333333333333333,25.766666666666666,10.733333333333333,19.833333333333332,76.56666666666666,6.6,14.066666666666666,36.5,5.333333333333333,16.366666666666667,27.8,61.56666666666667,15.633333333333333,23.033333333333335,20.12577956011894
8,Austin Peay vs. Dayton,2016-11-11,-28,Austin Peay,Dayton,Austin Peay,10.178571428571429,2.3214285714285716,20.392857142857142,6.714285714285714,17.821428571428573,75.75,5.035714285714286,11.75,27.107142857142858,7.392857142857143,21.071428571428573,25.892857142857142,56.392857142857146,16.571428571428573,22.964285714285715,17.07865840983971,Austin Peay,10.178571428571429,2.3214285714285716,20.392857142857142,6.714285714285714,17.821428571428573,75.75,5.035714285714286,11.75,27.107142857142858,7.392857142857143,21.071428571428573,25.892857142857142,56.392857142857146,16.571428571428573,22.964285714285715,17.07865840983971
9,Furman vs. Presbyterian,2016-11-11,-2,Furman,Presbyterian,Furman,13.793103448275861,1.9655172413793103,21.17241379310345,6.517241379310345,16.379310344827587,69.48275862068965,6.206896551724138,11.448275862068966,27.689655172413794,8.793103448275861,22.20689655172414,24.413793103448278,51.0,11.862068965517242,16.689655172413794,19.890776550332816,Furman,13.793103448275861,1.9655172413793103,21.17241379310345,6.517241379310345,16.379310344827587,69.48275862068965,6.206896551724138,11.448275862068966,27.689655172413794,8.793103448275861,22.20689655172414,24.413793103448278,51.0,11.862068965517242,16.689655172413794,19.890776550332816
10,Lehigh vs. Xavier,2016-11-11,-3,Lehigh,Xavier,Lehigh,15.178571428571429,3.0,25.142857142857142,6.107142857142857,17.25,76.78571428571429,6.785714285714286,13.821428571428571,31.25,8.678571428571429,21.642857142857142,27.142857142857142,56.107142857142854,13.821428571428571,17.821428571428573,21.6058767230552,Lehigh,15.178571428571429,3.0,25.142857142857142,6.107142857142857,17.25,76.78571428571429,6.785714285714286,13.821428571428571,31.25,8.678571428571429,21.642857142857142,27.142857142857142,56.107142857142854,13.821428571428571,17.821428571428573,21.6058767230552
11,Hartford vs. Central Conn. St.,2016-11-11,15,Hartford,Central Conn. St.,Hartford,11.548387096774194,3.6774193548387095,21.903225806451612,6.967741935483871,18.387096774193548,67.2258064516129,7.161290322580645,13.96774193548387,28.870967741935484,8.290322580645162,24.06451612903226,23.0,56.87096774193548,12.935483870967742,18.612903225806452,15.896841637984936,Hartford,11.548387096774194,3.6774193548387095,21.903225806451612,6.967741935483871,18.387096774193548,67.2258064516129,7.161290322580645,13.96774193548387,28.870967741935484,8.290322580645162,24.06451612903226,23.0,56.87096774193548,12.935483870967742,18.612903225806452,15.896841637984936
12,Pennsylvania vs. Robert Morris,2016-11-11,17,Pennsylvania,Robert Morris,Pennsylvania,14.538461538461538,3.5,23.192307692307693,7.538461538461538,17.576923076923077,68.42307692307692,6.615384615384615,12.538461538461538,30.73076923076923,8.384615384615385,24.653846153846153,25.153846153846153,56.80769230769231,9.73076923076923,15.0,18.335341987508063,Pennsylvania,14.538461538461538,3.5,23.192307692307693,7.538461538461538,17.576923076923077,68.42307692307692,6.615384615384615,12.538461538461538,30.73076923076923,8.384615384615385,24.653846153846153,25.153846153846153,56.80769230769231,9.73076923076923,15.0,18.335341987508063
13,Fairleigh Dickinson vs. Seton Hall,2016-11-11,-21,Fairleigh Dickinson,Seton Hall,Fairleigh Dickinson,11.321428571428571,2.2142857142857144,19.607142857142858,7.321428571428571,18.214285714285715,69.67857142857143,5.857142857142857,11.821428571428571,26.928571428571427,6.142857142857143,18.607142857142858,24.107142857142858,53.67857142857143,15.321428571428571,19.714285714285715,20.942796244904603,Fairleigh Dickinson,11.321428571428571,2.2142857142857144,19.607142857142858,7.321428571428571,18.214285714285715,69.67857142857143,5.857142857142857,11.821428571428571,26.928571428571427,6.142857142857143,18.607142857142858,24.107142857142858,53.67857142857143,15.321428571428571,19.714285714285715,20.942796244904603
14,Coppin St. vs. Hofstra,2016-11-11,-2,Coppin St.,Hofstra,Coppin St.,9.607142857142858,2.25,19.214285714285715,8.357142857142858,19.107142857142858,62.17857142857143,5.357142857142857,12.142857142857142,27.571428571428573,6.785714285714286,20.607142857142858,21.178571428571427,55.714285714285715,13.035714285714286,20.25,14.600601425350368,Coppin St.,9.607142857142858,2.25,19.214285714285715,8.357142857142858,19.107142857142858,62.17857142857143,5.357142857142857,12.142857142857142,27.571428571428573,6.785714285714286,20.607142857142858,21.178571428571427,55.714285714285715,13.035714285714286,20.25,14.600601425350368
15,Loyola-Maryland vs. Duquesne,2016-11-11,5,Loyola-Maryland,Duquesne,Loyola-Maryland,12.107142857142858,3.5,20.75,9.928571428571429,19.25,67.92857142857143,7.428571428571429,14.0,30.678571428571427,5.571428571428571,16.357142857142858,23.392857142857142,55.535714285714285,15.571428571428571,22.535714285714285,15.111613521971128,Loyola-Maryland,12.107142857142858,3.5,20.75,9.928571428571429,19.25,67.92857142857143,7.428571428571429,14.0,30.678571428571427,5.571428571428571,16.357142857142858,23.392857142857142,55.535714285714285,15.571428571428571,22.535714285714285,15.111613521971128
16,American U. vs. Maryland,2016-11-11,-6,American U.,Maryland,American U.,11.206896551724139,2.3448275862068964,19.82758620689655,5.344827586206897,17.724137931034484,61.48275862068966,7.068965517241379,12.413793103448276,25.17241379310345,5.517241379310345,17.06896551724138,23.137931034482758,51.13793103448276,9.689655172413794,15.620689655172415,16.796466326719322,American U.,11.206896551724139,2.3448275862068964,19.82758620689655,5.344827586206897,17.724137931034484,61.48275862068966,7.068965517241379,12.413793103448276,25.17241379310345,5.517241379310345,17.06896551724138,23.137931034482758,51.13793103448276,9.689655172413794,15.620689655172415,16.796466326719322
17,Albany vs. Penn St.,2016-11-11,6,Albany,Penn St.,Albany,13.133333333333333,1.6666666666666667,23.2,8.8,17.7,73.13333333333334,5.266666666666667,11.4,32.0,5.6,14.9,26.566666666666666,56.1,14.4,18.666666666666668,22.238328277832963,Albany,13.133333333333333,1.6666666666666667,23.2,8.8,17.7,73.13333333333334,5.266666666666667,11.4,32.0,5.6,14.9,26.566666666666666,56.1,14.4,18.666666666666668,22.238328277832963
18,Marist vs. Duke,2016-11-11,45,Marist,Duke,Marist,11.03225806451613,2.4516129032258065,21.258064516129032,5.387096774193548,18.387096774193548,68.87096774193549,4.580645161290323,12.451612903225806,26.64516129032258,7.838709677419355,23.387096774193548,23.129032258064516,53.935483870967744,14.774193548387096,20.258064516129032,16.571144021640617,Marist,11.03225806451613,2.4516129032258065,21.258064516129032,5.387096774193548,18.387096774193548,68.87096774193549,4.580645161290323,12.451612903225806,26.64516129032258,7.838709677419355,23.387096774193548,23.129032258064516,53.935483870967744,14.774193548387096,20.258064516129032,16.571144021640617
19,Virginia vs. NC-Greensboro,2016-11-11,-25,Virginia,NC-Greensboro,Virginia,14.206896551724139,4.310344827586207,22.0,7.172413793103448,15.655172413793103,65.6896551724138,5.724137931034483,9.172413793103448,29.17241379310345,6.620689655172414,16.93103448275862,24.620689655172413,52.37931034482759,9.827586206896552,13.89655172413793,7.34395092457152,Virginia,14.206896551724139,4.310344827586207,22.0,7.172413793103448,15.655172413793103,65.6896551724138,5.724137931034483,9.172413793103448,29.17241379310345,6.620689655172414,16.93103448275862,24.620689655172413,52.37931034482759,9.827586206896552,13.89655172413793,7.34395092457152
20,Wagner vs. Connecticut,2016-11-11,-9,Wagner,Connecticut,Wagner,10.814814814814815,3.5925925925925926,23.85185185185185,11.851851851851851,21.185185185185187,68.88888888888889,4.925925925925926,14.0,35.7037037037037,5.851851851851852,18.51851851851852,24.444444444444443,57.48148148148148,14.148148148148149,20.62962962962963,16.921938810942404,Wagner,10.814814814814815,3.5925925925925926,23.85185185185185,11.851851851851851,21.185185185185187,68.88888888888889,4.925925925925926,14.0,35.7037037037037,5.851851851851852,18.51851851851852,24.444444444444443,57.48148148148148,14.148148148148149,20.62962962962963,16.921938810942404
21,La Salle vs. Temple,2016-11-11,-5,La Salle,Temple,La Salle,13.857142857142858,2.107142857142857,21.642857142857142,6.75,17.75,73.71428571428571,6.25,12.25,28.392857142857142,8.25,22.5,24.678571428571427,53.75,16.107142857142858,20.642857142857142,20.673482470162007,La Salle,13.857142857142858,2.107142857142857,21.642857142857142,6.75,17.75,73.71428571428571,6.25,12.25,28.392857142857142,8.25,22.5,24.678571428571427,53.75,16.107142857142858,20.642857142857142,20.673482470162007
22,Fordham vs. East Tennessee St.,2016-11-11,37,Fordham,East Tennessee St.,Fordham,12.172413793103448,2.7241379310344827,18.17241379310345,6.896551724137931,17.448275862068964,61.6551724137931,9.241379310344827,12.206896551724139,25.06896551724138,7.448275862068965,22.103448275862068,21.93103448275862,52.03448275862069,10.344827586206897,14.172413793103448,18.264965777367685,Fordham,12.172413793103448,2.7241379310344827,18.17241379310345,6.896551724137931,17.448275862068964,61.6551724137931,9.241379310344827,12.206896551724139,25.06896551724138,7.448275862068965,22.103448275862068,21.93103448275862,52.03448275862069,10.344827586206897,14.172413793103448,18.264965777367685
23,VMI vs. Richmond,2016-11-11,3,VMI,Richmond,VMI,11.814814814814815,3.814814814814815,21.037037037037038,8.518518518518519,19.62962962962963,69.77777777777777,6.222222222222222,12.925925925925926,29.555555555555557,8.62962962962963,26.85185185185185,24.48148148148148,59.48148148148148,12.185185185185185,17.51851851851852,15.668824622267067,VMI,11.814814814814815,3.814814814814815,21.037037037037038,8.518518518518519,19.62962962962963,69.77777777777777,6.222222222222222,12.925925925925926,29.555555555555557,8.62962962962963,26.85185185185185,24.48148148148148,59.48148148148148,12.185185185185185,17.51851851851852,15.668824622267067
24,The Citadel vs. Charleston,2016-11-11,13,The Citadel,Charleston,The Citadel,16.25,2.392857142857143,21.642857142857142,10.25,22.964285714285715,87.0,8.642857142857142,14.321428571428571,31.892857142857142,11.285714285714286,33.892857142857146,28.928571428571427,70.25,17.857142857142858,23.785714285714285,19.65602765118152,The Citadel,16.25,2.392857142857143,21.642857142857142,10.25,22.964285714285715,87.0,8.642857142857142,14.321428571428571,31.892857142857142,11.285714285714286,33.892857142857146,28.928571428571427,70.25,17.857142857142858,23.785714285714285,19.65602765118152
25,Nicholls State vs. Boston College,2016-11-11,-6,Nicholls State,Boston College,Nicholls State,12.884615384615385,5.846153846153846,18.53846153846154,7.269230769230769,16.923076923076923,65.84615384615384,6.230769230769231,12.576923076923077,25.807692307692307,8.23076923076923,23.76923076923077,22.53846153846154,52.19230769230769,12.538461538461538,17.153846153846153,17.580173446107892,Nicholls State,12.884615384615385,5.846153846153846,18.53846153846154,7.269230769230769,16.923076923076923,65.84615384615384,6.230769230769231,12.576923076923077,25.807692307692307,8.23076923076923,23.76923076923077,22.53846153846154,52.19230769230769,12.538461538461538,17.153846153846153,17.580173446107892
26,Radford vs. Wake Forest,2016-11-11,-21,Radford,Wake Forest,Radford,12.321428571428571,3.9285714285714284,25.357142857142858,11.142857142857142,18.214285714285715,68.0,4.857142857142857,14.928571428571429,36.5,8.142857142857142,23.464285714285715,24.178571428571427,59.17857142857143,11.5,17.5,17.631431187997162,Radford,12.321428571428571,3.9285714285714284,25.357142857142858,11.142857142857142,18.214285714285715,68.0,4.857142857142857,14.928571428571429,36.5,8.142857142857142,23.464285714285715,24.178571428571427,59.17857142857143,11.5,17.5,17.631431187997162
27,Houston Baptist vs. Texas Tech,2016-11-11,-26,Houston Baptist,Texas Tech,Houston Baptist,13.791666666666666,2.2916666666666665,22.25,11.083333333333334,20.375,75.45833333333333,6.208333333333333,14.166666666666666,33.333333333333336,5.875,17.791666666666668,26.375,59.666666666666664,16.833333333333332,23.208333333333332,18.008269992414494,Houston Baptist,13.791666666666666,2.2916666666666665,22.25,11.083333333333334,20.375,75.45833333333333,6.208333333333333,14.166666666666666,33.333333333333336,5.875,17.791666666666668,26.375,59.666666666666664,16.833333333333332,23.208333333333332,18.008269992414494
28,Florida Gulf Coast vs. Florida,2016-11-11,21,Florida Gulf Coast,Florida,Florida Gulf Coast,14.74074074074074,3.5555555555555554,25.666666666666668,10.37037037037037,19.925925925925927,81.29629629629629,5.37037037037037,13.185185185185185,36.03703703703704,6.666666666666667,19.703703703703702,30.11111111111111,61.592592592592595,14.407407407407407,20.62962962962963,21.297168775873597,Florida Gulf Coast,14.74074074074074,3.5555555555555554,25.666666666666668,10.37037037037037,19.925925925925927,81.29629629629629,5.37037037037037,13.185185185185185,36.03703703703704,6.666666666666667,19.703703703703702,30.11111111111111,61.592592592592595,14.407407407407407,20.62962962962963,21.297168775873597
29,Louisiana-Lafayette vs. Minnesota,2016-11-11,-12,Louisiana-Lafayette,Minnesota,Louisiana-Lafayette,13.25,2.2142857142857144,21.571428571428573,10.928571428571429,16.892857142857142,77.25,6.321428571428571,12.392857142857142,32.5,6.714285714285714,19.107142857142858,27.0,57.964285714285715,16.535714285714285,24.214285714285715,22.221120090356358,Louisiana-Lafayette,13.25,2.2142857142857144,21.571428571428573,10.928571428571429,16.892857142857142,77.25,6.321428571428571,12.392857142857142,32.5,6.714285714285714,19.107142857142858,27.0,57.964285714285715,16.535714285714285,24.214285714285715,22.221120090356358
30,Arkansas St. vs. North Dakota State,2016-11-11,-10,Arkansas St.,North Dakota State,Arkansas St.,12.241379310344827,2.5517241379310347,23.310344827586206,7.827586206896552,19.379310344827587,71.20689655172414,5.0344827586206895,11.655172413793103,31.137931034482758,6.827586206896552,18.103448275862068,24.93103448275862,54.793103448275865,14.517241379310345,22.551724137931036,21.14233301799664,Arkansas St.,12.241379310344827,2.5517241379310347,23.310344827586206,7.827586206896552,19.379310344827587,71.20689655172414,5.0344827586206895,11.655172413793103,31.137931034482758,6.827586206896552,18.103448275862068,24.93103448275862,54.793103448275865,14.517241379310345,22.551724137931036,21.14233301799664
31,Southern Utah vs. Valparaiso,2016-11-11,-14,Southern Utah,Valparaiso,Southern Utah,11.035714285714286,3.25,21.142857142857142,9.25,23.214285714285715,71.17857142857143,5.214285714285714,12.964285714285714,30.392857142857142,8.214285714285714,22.642857142857142,23.071428571428573,57.142857142857146,16.821428571428573,22.928571428571427,15.945035144258316,Southern Utah,11.035714285714286,3.25,21.142857142857142,9.25,23.214285714285715,71.17857142857143,5.214285714285714,12.964285714285714,30.392857142857142,8.214285714285714,22.642857142857142,23.071428571428573,57.142857142857146,16.821428571428573,22.928571428571427,15.945035144258316
32,Buffalo vs. Niagara,2016-11-11,10,Buffalo,Niagara,Buffalo,13.586206896551724,3.4482758620689653,24.551724137931036,9.931034482758621,21.275862068965516,74.51724137931035,5.586206896551724,14.068965517241379,34.48275862068966,7.275862068965517,22.20689655172414,26.20689655172414,58.827586206896555,14.827586206896552,21.655172413793103,20.23762326556235,Buffalo,13.586206896551724,3.4482758620689653,24.551724137931036,9.931034482758621,21.275862068965516,74.51724137931035,5.586206896551724,14.068965517241379,34.48275862068966,7.275862068965517,22.20689655172414,26.20689655172414,58.827586206896555,14.827586206896552,21.655172413793103,20.23762326556235
33,Campbell vs. Oklahoma St.,2016-11-11,-37,Campbell,Oklahoma St.,Campbell,11.703703703703704,4.148148148148148,24.48148148148148,7.0,19.444444444444443,74.96296296296296,6.703703703703703,13.148148148148149,31.48148148148148,7.7407407407407405,21.51851851851852,25.444444444444443,56.7037037037037,16.333333333333332,21.814814814814813,17.85532885096135,Campbell,11.703703703703704,4.148148148148148,24.48148148148148,7.0,19.444444444444443,74.96296296296296,6.703703703703703,13.148148148148149,31.48148148148148,7.7407407407407405,21.51851851851852,25.444444444444443,56.7037037037037,16.333333333333332,21.814814814814813,17.85532885096135
34,Illinois St. vs. Murray St.,2016-11-11,-3,Illinois St.,Murray St.,Illinois St.,14.607142857142858,4.857142857142857,26.25,9.321428571428571,18.142857142857142,73.21428571428571,7.642857142857143,13.071428571428571,35.57142857142857,8.821428571428571,23.928571428571427,26.0,58.32142857142857,12.392857142857142,18.607142857142858,20.621667830731177,Illinois St.,14.607142857142858,4.857142857142857,26.25,9.321428571428571,18.142857142857142,73.21428571428571,7.642857142857143,13.071428571428571,35.57142857142857,8.821428571428571,23.928571428571427,26.0,58.32142857142857,12.392857142857142,18.607142857142858,20.621667830731177
35,Indiana - Purdue vs. Eastern Kentucky,2016-11-11,10,Indiana - Purdue,Eastern Kentucky,Indiana - Purdue,13.928571428571429,2.5357142857142856,20.464285714285715,8.964285714285714,20.142857142857142,77.0,6.785714285714286,11.535714285714286,29.428571428571427,8.785714285714286,22.678571428571427,27.285714285714285,60.75,13.642857142857142,19.607142857142858,21.044677301667605,Indiana - Purdue,13.928571428571429,2.5357142857142856,20.464285714285715,8.964285714285714,20.142857142857142,77.0,6.785714285714286,11.535714285714286,29.428571428571427,8.785714285714286,22.678571428571427,27.285714285714285,60.75,13.642857142857142,19.607142857142858,21.044677301667605
