,PLAYER,TEAM,YEAR,PER
0,A.J Holland,Rice,2009-2010,8.201480452260485
1,A.J. Davis,Wyoming,2009-2010,20.57707608322431
2,A.J. Hardeman,New Mexico,2009-2010,12.77554936340762
3,A.J. Ogilvy,Vanderbilt,2009-2010,39.17260868680138
4,A.J. Slaughter,Western Kentucky,2009-2010,30.424689604350483
5,A.J. Smith,Stetson,2009-2010,17.853236472814647
6,A.J. Spencer,Alabama St.,2009-2010,12.960243586329854
7,A.J. Tyler,Central Florida,2009-2010,20.916110722256825
8,A.J. Walton,Baylor,2009-2010,17.151270848269572
9,AJ Rompza,Central Florida,2009-2010,22.491120565822573
10,Aamir McCleary,SIU - Edwardsville,2009-2010,14.742834681883872
11,Aaric Murray,La Salle,2009-2010,27.785973298231056
12,Aaron (gordo) Castillo,New Mexico St.,2009-2010,18.796618499990014
13,Aaron Broussard,Seattle,2009-2010,24.240266426497072
14,Aaron Carter,Indiana St.,2009-2010,24.60628197605829
15,Aaron Clayborn,Texas Southern,2009-2010,15.120592445851889
16,Aaron Dotson,Louisiana State,2009-2010,5.057452853232616
17,Aaron Ellis,Wichita St.,2009-2010,9.03260893504962
18,Aaron England,Utah Valley,2009-2010,14.18636909316417
19,Aaron Fuller,Iowa,2009-2010,8.93392291566217
20,Aaron Hawley,Drake,2009-2010,21.165252134553217
21,Aaron Holmes,Tulane,2009-2010,18.94032930273732
22,Aaron Johnson,UAB,2009-2010,20.11082182220009
23,Aaron Mitchell,Longwood,2009-2010,14.112352467206362
24,Aaron Pogue,Cleveland St.,2009-2010,17.793866522962162
25,Aaron Thompson,Cal St. Fullerton,2009-2010,22.58527404305416
26,Aaron Urbanus,Texas-Pan American,2009-2010,16.43105164662149
27,Aaron Ware,George Washington,2009-2010,20.405906069648296
28,Abdou Niang,Western Illinois,2009-2010,-3.03946938530831
29,Abdul Gaddy,Washington,2009-2010,2.636667749489725
30,Abe Lodwick,Washington St.,2009-2010,15.267733860901558
31,Adam Brown,Houston,2009-2010,8.051056195943113
