,MATCH,DATE,PT_DIFF
0,Vermont vs. Eastern Michigan,2015-11-13,20
1,Colorado vs. Iowa St.,2015-11-13,-6
2,Northwestern St. vs. Mississippi,2015-11-13,14
3,South Dakota vs. Wright St.,2015-11-13,-8
4,Wagner vs. St. John's,2015-11-13,9
5,Texas Rio Grande Valley vs. Miami-Florida,2015-11-13,27
6,Presbyterian vs. Furman,2015-11-13,10
7,Niagara vs. Old Dominion,2015-11-13,-17
8,North Carolina vs. Temple,2015-11-13,24
9,Colgate vs. George Mason,2015-11-13,13
10,Chattanooga vs. Georgia,2015-11-13,2
11,North Carolina Central vs. Clemson,2015-11-13,34
12,Dartmouth vs. Seton Hall,2015-11-13,-17
13,N.C. Asheville vs. Tennessee,2015-11-13,-4
14,Canisius vs. Hofstra,2015-11-13,-11
15,Prairie View A&M vs. VCU,2015-11-13,-25
16,Lafayette vs. George Washington,2015-11-13,9
17,James Madison vs. Richmond,2015-11-13,12
18,Lehigh vs. Syracuse,2015-11-13,-10
19,Florida Atlantic vs. Michigan St,2015-11-13,-27
20,Fairleigh Dickinson vs. Villanova,2015-11-13,-37
21,Princeton vs. Rider,2015-11-13,8
22,Indiana - Purdue vs. Indiana St.,2015-11-13,2
23,Tennessee St. vs. Loyola-Maryland,2015-11-13,-15
24,Wis.-Milwaukee vs. Denver,2015-11-13,-13
25,Texas Southern vs. New Mexico,2015-11-13,29
26,Maine vs. Connecticut,2015-11-13,44
27,Ball St. vs. Bradley,2015-11-13,-1
28,Massachusetts Lowell vs. Northwestern,2015-11-13,-22
29,Hartford vs. Central Conn. St.,2015-11-13,-9
30,MD Baltimore Cty vs. Wake Forest,2015-11-13,-5
31,William & Mary vs. N.C. State,2015-11-13,-17
32,Maryland - E. Shore vs. Kansas St.,2015-11-13,27
33,Grambling State vs. East Carolina,2015-11-13,8
34,Drexel vs. St. Joseph's,2015-11-13,-1
35,San Francisco vs. Illinois-Chicago,2015-11-13,-3
36,Tenn-Martin vs. Oklahoma St.,2015-11-13,34
37,American U. vs. Rhode Island,2015-11-13,-23
38,Troy vs. South Florida,2015-11-13,-5
39,North Dakota State vs. UC Davis,2015-11-13,8
40,Brown vs. St. Peter's,2015-11-13,-12
41,Wofford vs. Missouri,2015-11-13,9
42,High Point vs. Texas Tech,2015-11-13,-4
43,Belmont vs. Marquette,2015-11-13,3
44,Green Bay vs. Stanford,2015-11-13,-4
45,McNeese St. vs. Louisiana State,2015-11-13,11
46,Boise St. vs. Montana,2015-11-13,-2
47,Western Illinois vs. Wisconsin,2015-11-13,2
48,Portland St. vs. Grand Canyon,2015-11-13,10
49,Eastern Washington vs. Mississippi St.,2015-11-13,-18
50,Stephen F. Austin vs. Baylor,2015-11-13,42
51,Gardner-Webb vs. Iowa,2015-11-13,-17
52,Pacific vs. Arizona,2015-11-13,18
53,Pepperdine vs. Fresno St.,2015-11-13,3
54,Texas vs. Washington,2015-11-13,-6
55,Cal St. Fullerton vs. Loyola Marymount,2015-11-13,-5
56,Southern Utah vs. Utah,2015-11-13,-11
57,Montana St. vs. Hawaii,2015-11-13,11
58,Fairfield vs. Yale,2015-11-13,-13
59,Jacksonville St. vs. Central Michigan,2015-11-13,6
60,Quinnipiac vs. Sacred Heart,2015-11-13,-12
61,Robert Morris vs. Pennsylvania,2015-11-13,1
62,No.Carolina A&T vs. Purdue,2015-11-13,-41
63,Northeastern vs. Boston U,2015-11-13,-3
64,Albany vs. Kentucky,2015-11-13,-13
65,Northern Kentucky vs. West Virginia,2015-11-13,-46
66,SE Missouri St. vs. Dayton,2015-11-13,31
67,Morgan St. vs. Virginia,2015-11-13,-38
68,South Carolina State vs. Charleston,2015-11-13,20
69,Siena vs. Duke,2015-11-13,18
70,Western Carolina vs. Cincinnati,2015-11-13,25
71,Mount St. Mary's vs. Maryland,2015-11-13,24
72,Eastern Illinois vs. Indiana,2015-11-13,-39
73,Samford vs. Louisville,2015-11-13,41
74,Miami (OH) vs. Xavier,2015-11-13,-9
75,Holy Cross vs. Marist,2015-11-13,3
76,Coppin St. vs. Eastern Kentucky,2015-11-13,-27
77,Sacramento State vs. Arizona State,2015-11-13,-3
78,St. Francis (PA) vs. Notre Dame,2015-11-13,31
79,Northern Colorado vs. Kansas,2015-11-13,37
80,San Diego vs. Southern California,2015-11-13,-38
81,Cornell vs. Georgia Tech,2015-11-13,-35
82,Missouri St. vs. Oral Roberts,2015-11-13,-15
83,North Florida vs. Illinois,2015-11-13,-12
84,Austin Peay vs. Vanderbilt,2015-11-13,-39
85,Delaware vs. Delaware State,2015-11-13,6
86,CSU Northridge vs. Northern Illinois,2015-11-13,-12
87,Air Force vs. Southern Illinois,2015-11-13,-2
88,Southern vs. Arkansas,2015-11-13,18
89,UC Santa Barbara vs. Nebraska Omaha,2015-11-13,-1
90,Binghamton vs. St. Bonaventure,2015-11-13,-10
91,Charleston Southern vs. Wichita St.,2015-11-13,-25
92,Texas-San Antonio vs. Loyola-Chicago,2015-11-13,6
93,Northern Arizona vs. Washington St.,2015-11-13,-12
94,Elon University vs. Charlotte,2015-11-13,-11
95,IUPU - Ft. Wayne vs. Valparaiso,2015-11-13,-14
96,Kennesaw St. vs. Alabama,2015-11-13,13
97,Utah St. vs. Weber St.,2015-11-13,3
98,Alabama A&M vs. Tulane,2015-11-13,1
99,Utah Valley vs. Brigham Young,2015-11-13,31
100,UMKC vs. Minnesota,2015-11-13,18
101,Houston Baptist vs. New Mexico St.,2015-11-13,-22
102,Nevada vs. Coastal Carolina,2015-11-13,-17
103,Arkansas St. vs. SIU - Edwardsville,2015-11-13,-9
104,UAB vs. Auburn,2015-11-13,1
105,Southeastern Louisiana vs. Texas Christian,2015-11-13,-13
106,Florida vs. Navy,2015-11-13,18
107,South Carolina Upstate vs. Texas A&M,2015-11-13,-40
108,Illinois St. vs. San Diego St.,2015-11-13,-11
109,Jackson State vs. Oregon,2015-11-13,-28
110,Lipscomb vs. Santa Clara,2015-11-13,2
111,Cal Poly SLO vs. UNLV,2015-11-13,-2
112,Arkansas-Pine Bluff vs. Seattle,2015-11-13,2
113,Monmouth-NJ vs. UCLA,2015-11-13,3
114,Rice vs. California,2015-11-13,32
115,Colorado St. vs. Northern Iowa,2015-11-14,6
116,Howard vs. Massachusetts,2015-11-14,-6
117,New Orleans vs. Bowling Green,2015-11-14,18
118,St. Francis (NY) vs. Boston College,2015-11-14,26
119,Towson vs. La Salle,2015-11-14,2
120,South Dakota vs. Northern Illinois,2015-11-14,7
121,Alabama St. vs. Virginia Tech,2015-11-14,3
122,Norfolk State vs. South Carolina,2015-11-14,-15
123,Central Florida vs. Davidson,2015-11-14,-5
