,MATCH,DATE,PT_DIFF
0,Texas Southern vs. Eastern Washington,2014-11-14,24
1,Citadel vs. VMI,2014-11-14,-11
2,Tennessee vs. VCU,2014-11-14,-16
3,San Diego vs. Boise St.,2014-11-14,6
4,N.C. Asheville vs. Wake Forest,2014-11-14,-11
5,Samford vs. Purdue,2014-11-14,40
6,Alabama A&M vs. Dayton,2014-11-14,-24
7,Fairleigh Dickinson vs. St. Joseph's,2014-11-14,1
8,Massachusetts Lowell vs. Ohio St.,2014-11-14,-37
9,Morgan St. vs. Penn St.,2014-11-14,-13
10,Belmont vs. Wright St.,2014-11-14,-3
11,Savannah State vs. Eastern Kentucky,2014-11-14,23
12,Long Beach St. vs. Brigham Young,2014-11-14,5
13,Lafayette vs. Robert Morris,2014-11-14,27
14,Monmouth-NJ vs. West Virginia,2014-11-14,-10
15,Bryant vs. Connecticut,2014-11-14,-13
16,Jacksonville St. vs. Marshall,2014-11-14,-19
17,Howard vs. Miami-Florida,2014-11-14,-35
18,Georgia vs. Georgia Tech,2014-11-14,-7
19,Mississippi Valley State vs. Indiana,2014-11-14,51
20,North Florida vs. South Carolina,2014-11-14,-25
21,American U. vs. Temple,2014-11-14,-3
22,Louisville vs. Minnesota,2014-11-14,13
23,Air Force vs. Army,2014-11-14,-6
24,Villanova vs. Lehigh,2014-11-14,-11
25,Florida Atlantic vs. Elon University,2014-11-14,6
26,Southeastern Louisiana vs. Oklahoma St.,2014-11-14,28
27,Texas-Arlington vs. Bradley,2014-11-14,-11
28,Northwestern St. vs. Texas A&M,2014-11-14,-41
29,Houston Baptist vs. Northwestern,2014-11-14,-7
30,Indiana St. vs. Indiana - Purdue,2014-11-14,-13
31,Hartford vs. Sacred Heart,2014-11-14,-18
32,MD Baltimore Cty vs. Akron,2014-11-14,17
33,St. Peter's vs. Brown,2014-11-14,12
34,Prairie View A&M vs. Texas Christian,2014-11-14,-17
35,Eastern Illinois vs. Missouri St.,2014-11-14,-11
36,North Dakota State vs. Texas,2014-11-14,-35
37,Georgia Southern vs. Illinois,2014-11-14,-9
38,SE Missouri St. vs. Loyola Marymount,2014-11-14,10
39,Central Arkansas vs. Creighton,2014-11-14,-27
40,Southern Utah vs. Kansas St.,2014-11-14,30
41,Sacramento State vs. Gonzaga,2014-11-14,46
42,Loyola-Maryland vs. Texas Tech,2014-11-14,-12
43,New Mexico St. vs. Wichita St.,2014-11-14,-17
44,Weber St. vs. Utah St.,2014-11-14,11
45,Hampton vs. Iowa,2014-11-14,-34
46,Lamar vs. Southern Methodist,2014-11-14,-39
47,High Point vs. Cal. State - Bakersfield,2014-11-14,-1
48,Rice vs. Oregon St.,2014-11-14,13
49,Alcorn St. vs. California,2014-11-14,-34
50,Ball St. vs. Utah,2014-11-14,-18
51,Chicago St. vs. Arizona St.,2014-11-14,36
52,Texas State vs. Seattle,2014-11-14,-9
53,CSU Northridge vs. San Diego St.,2014-11-14,-21
54,Wofford vs. Stanford,2014-11-14,15
55,Montana St. vs. UCLA,2014-11-14,-35
56,Fairfield vs. Central Conn. St.,2014-11-14,-8
57,Yale vs. Quinnipiac,2014-11-14,3
58,Presbyterian vs. Duke,2014-11-14,69
59,William & Mary vs. Florida,2014-11-14,23
60,Western Carolina vs. Mississippi St.,2014-11-14,10
61,Columbia vs. Stony Brook,2014-11-14,-1
62,Northern Arizona vs. Xavier,2014-11-14,-33
63,Charleston Southern vs. Mississippi,2014-11-14,1
64,Maryland - E. Shore vs. Virginia Tech,2014-11-14,-25
65,New Hampshire vs. Boston College,2014-11-14,8
66,Kennesaw St. vs. Syracuse,2014-11-14,-47
67,Rider vs. Princeton,2014-11-14,6
68,Siena vs. Massachusetts,2014-11-14,8
69,Grambling State vs. George Washington,2014-11-14,52
70,Florida A&M vs. Clemson,2014-11-14,45
71,New Jersey Tech vs. St. John's,2014-11-14,-19
72,Marist vs. Bucknell,2014-11-14,3
73,Cleveland St. vs. Iona,2014-11-14,-5
74,Niagara vs. Pittsburgh,2014-11-14,-33
75,Jackson State vs. N.C. State,2014-11-14,-35
76,Virginia vs. James Madison,2014-11-14,-28
77,South Dakota State vs. Buffalo,2014-11-14,2
78,Wagner vs. Maryland,2014-11-14,34
79,Radford vs. Richmond,2014-11-14,-18
80,Cornell vs. George Mason,2014-11-14,8
81,North Carolina Central vs. North Carolina,2014-11-14,16
82,Grand Canyon vs. Kentucky,2014-11-14,-40
83,Oakland vs. Iowa St.,2014-11-14,11
84,Pacific vs. Western Illinois,2014-11-14,2
85,Houston vs. Murray St.,2014-11-14,3
86,St. Francis (PA) vs. Cincinnati,2014-11-14,15
87,Jacksonville vs. Hofstra,2014-11-14,33
88,UC Santa Barbara vs. Kansas,2014-11-14,10
89,Charleston vs. Furman,2014-11-14,35
90,Drexel vs. Colorado,2014-11-14,17
91,Mount St. Mary's vs. Arizona,2014-11-14,23
92,East Tennessee St. vs. Valparaiso,2014-11-14,-14
93,Michigan St vs. Navy,2014-11-14,5
94,Louisiana Tech vs. Southern,2014-11-14,9
95,Towson vs. Alabama,2014-11-14,28
96,Northern Kentucky vs. Wisconsin,2014-11-14,-31
97,UMKC vs. Missouri,2014-11-14,-8
98,Binghamton vs. Notre Dame,2014-11-14,-43
99,South Dakota vs. Utah Valley,2014-11-14,-8
100,Tenn-Martin vs. Marquette,2014-11-14,16
101,McNeese St. vs. Baylor,2014-11-14,41
102,Fresno St. vs. Pepperdine,2014-11-14,-15
103,Cal St. Fullerton vs. Santa Clara,2014-11-14,-17
104,Idaho State vs. New Mexico,2014-11-14,-24
105,Illinois-Chicago vs. DePaul,2014-11-14,1
106,South Carolina State vs. Washington,2014-11-14,-18
107,Washington St. vs. Texas-El Paso,2014-11-14,13
108,Wis.-Milwaukee vs. Auburn,2014-11-14,10
109,Morehead St. vs. UNLV,2014-11-14,-1
110,Coppin St. vs. Oregon,2014-11-14,-42
111,Arkansas-Pine Bluff vs. Hawaii,2014-11-14,-28
112,Manhattan vs. Florida St.,2014-11-15,15
113,Vermont vs. Canisius,2014-11-15,4
114,Bowling Green vs. Drake,2014-11-15,19
115,Delaware State vs. Pennsylvania,2014-11-15,2
116,SE Missouri St. vs. San Diego,2014-11-15,-11
117,Cal Poly SLO vs. Nevada,2014-11-15,-16
118,Dartmouth vs. St. Bonaventure,2014-11-15,-20
119,NC-Wilmington vs. Old Dominion,2014-11-15,-20
120,Southern Illinois vs. Saint Louis,2014-11-15,3
121,Fairfield vs. Duke,2014-11-15,50
122,Tulsa vs. Oral Roberts,2014-11-15,9
123,High Point vs. Arkansas-Pine Bluff,2014-11-15,-12
124,Cal. State - Bakersfield vs. Hawaii,2014-11-15,-7
125,St. Francis (NY) vs. Georgetown,2014-11-15,21
126,Gardner-Webb vs. Louisiana State,2014-11-15,-11
127,Appalachian St. vs. Ohio,2014-11-15,-26
128,North Dakota vs. Northern Iowa,2014-11-15,-12
129,Colgate vs. La Salle,2014-11-15,-5
130,Maine vs. Butler,2014-11-15,42
131,Austin Peay vs. Western Kentucky,2014-11-15,-7
132,Citadel vs. Air Force,2014-11-15,13
133,Kent St. vs. Youngstown St.,2014-11-15,8
134,Albany vs. Providence,2014-11-15,-4
135,Florida A&M vs. South Carolina Upstate,2014-11-15,-13
136,Louisiana-Monroe vs. UAB,2014-11-15,9
137,Boise St. vs. Loyola Marymount,2014-11-15,8
138,VMI vs. Army,2014-11-15,6
139,Montana vs. Colorado St.,2014-11-15,17
140,Portland St. vs. Southern California,2014-11-15,8
141,Mercer vs. Seton Hall,2014-11-16,-16
142,Boston U vs. Northeastern,2014-11-16,-6
143,Chattanooga vs. Wisconsin,2014-11-16,-44
144,Jackson State vs. South Florida,2014-11-16,-9
145,N.C. Asheville vs. East Carolina,2014-11-16,-4
146,St. Peter's vs. Hartford,2014-11-16,1
147,Northern Arizona vs. Toledo,2014-11-16,-13
148,Prairie View A&M vs. Oklahoma St.,2014-11-16,22
149,Indiana - Purdue vs. Purdue,2014-11-16,-20
150,Cornell vs. Loyola-Maryland,2014-11-16,-5
151,Portland vs. San Jose St.,2014-11-16,5
152,Savannah State vs. Marshall,2014-11-16,19
153,Fordham vs. Penn St.,2014-11-16,-19
154,Central Arkansas vs. Nebraska Omaha,2014-11-16,-25
155,Chicago St. vs. Creighton,2014-11-16,-18
156,Charlotte vs. Elon University,2014-11-16,13
157,Idaho State vs. Denver,2014-11-16,16
158,Coppin St. vs. Illinois,2014-11-16,-58
159,Stetson vs. Central Florida,2014-11-16,9
160,Robert Morris vs. North Carolina,2014-11-16,44
161,CSU Northridge vs. Arizona,2014-11-16,18
162,Sam Houston St. vs. UNLV,2014-11-16,-2
163,South Carolina State vs. San Francisco,2014-11-16,39
164,Coastal Carolina vs. UCLA,2014-11-16,-13
