,PLAYER,TEAM,YEAR,PER
0,A.D. Vassallo,Virginia Tech,2008-2009,23.806143798808495
1,A.J. Abrams,Texas,2008-2009,2.3154468863700943
2,A.J. Davis,Wyoming,2008-2009,16.002541660865074
3,A.J. Hardeman,New Mexico,2008-2009,6.063304837876051
4,A.J. Hawkins,Canisius,2008-2009,17.44018342252818
5,A.J. Hawkins,Wichita St.,2008-2009,18.86218322231434
6,A.J. Ogilvy,Vanderbilt,2008-2009,38.50169366112854
7,A.J. Price,Connecticut,2008-2009,17.592606099725998
8,A.J. Slaughter,Western Kentucky,2008-2009,25.431741974971025
9,A.J. Smith,Stetson,2008-2009,15.903978855918487
10,A.J. Tyler,Central Florida,2008-2009,17.144610047112646
11,AJ Highsmith,Appalachian St.,2008-2009,14.864642140198448
12,AJ Rompza,Central Florida,2008-2009,21.798641206955093
13,AJ Stewart,Kentucky,2008-2009,8.607980858808016
14,Aaron (gordo) Castillo,New Mexico St.,2008-2009,14.424351069284155
15,Aaron Carter,Indiana St.,2008-2009,15.290740232291219
16,Aaron Ellis,Wichita St.,2008-2009,14.647840908126776
17,Aaron Fuller,Iowa,2008-2009,7.999687701912495
18,Aaron Garner,Boise St.,2008-2009,16.855028831587482
19,Aaron Gibbs,Presbyterian,2008-2009,10.573646160222586
20,Aaron Hall,Central Conn. St.,2008-2009,16.846267406851673
21,Aaron Jackson,Duquesne,2008-2009,32.49622245681739
22,Aaron Johnson,UAB,2008-2009,15.293830971178528
23,Aaron Linn,Gardner-Webb,2008-2009,26.226780602535694
24,Aaron Richie,IUPU - Ft. Wayne,2008-2009,14.089071633052399
25,Aaron Scott,UC Riverside,2008-2009,30.129306507151778
26,Aaron Thompson,Cal St. Fullerton,2008-2009,24.849138711820384
27,Aaron Ware,George Washington,2008-2009,15.455537692533722
28,Aaron Wilson,Sacramento State,2008-2009,11.705147499867637
29,Abe Lodwick,Washington St.,2008-2009,12.408565751051082
30,Adam Constantine,Elon University,2008-2009,16.90388159126144
31,Adam Fletcher,Miami (OH),2008-2009,19.884238206752027
32,Adam Folker,UC Irvine,2008-2009,16.296610561719625
33,Adam Koch,Northern Iowa,2008-2009,25.100798754260854
34,Adam Lonon,VMI,2008-2009,15.088307662612094
35,Adam Malik,UC Davis,2008-2009,14.142514712781947
36,Adam May,Holy Cross,2008-2009,21.97886464552818
37,Adam McCoy,North Texas,2008-2009,19.28004256624874
38,Adam Nigon,Colorado St.,2008-2009,19.324742659930315
39,Adam Parzych,Bryant,2008-2009,18.45241560959886
40,Adam Pegg,Delaware,2008-2009,6.728474798243161
41,Adam Rodenberg,Northern Iowa,2008-2009,12.760686313170464
42,Adam Sollazzo,East Tennessee St.,2008-2009,14.82492590568437
43,Adam Teague,Navy,2008-2009,18.371988936086037
