,MATCH,DATE,PT_DIFF
0,Louisiana Tech vs. South Carolina,2016-11-11,-9
1,Georgia vs. Clemson,2016-11-11,10
2,Georgia Southern vs. N.C. State,2016-11-11,-2
3,Eastern Michigan vs. Pittsburgh,2016-11-11,-3
4,Stephen F. Austin vs. Kentucky,2016-11-11,23
5,Bowling Green vs. Oakland,2016-11-11,-8
6,Sacred Heart vs. Fairfield,2016-11-11,22
7,Rider vs. Hampton,2016-11-11,-11
8,Austin Peay vs. Dayton,2016-11-11,-28
9,Furman vs. Presbyterian,2016-11-11,-2
10,Lehigh vs. Xavier,2016-11-11,-3
11,Hartford vs. Central Conn. St.,2016-11-11,15
12,Pennsylvania vs. Robert Morris,2016-11-11,17
13,Fairleigh Dickinson vs. Seton Hall,2016-11-11,-21
14,Coppin St. vs. Hofstra,2016-11-11,-2
15,Loyola-Maryland vs. Duquesne,2016-11-11,5
16,American U. vs. Maryland,2016-11-11,-6
17,Albany vs. Penn St.,2016-11-11,6
18,Marist vs. Duke,2016-11-11,45
19,Virginia vs. NC-Greensboro,2016-11-11,-25
20,Wagner vs. Connecticut,2016-11-11,-9
21,La Salle vs. Temple,2016-11-11,-5
22,Fordham vs. East Tennessee St.,2016-11-11,37
23,VMI vs. Richmond,2016-11-11,3
24,The Citadel vs. Charleston,2016-11-11,13
25,Nicholls State vs. Boston College,2016-11-11,-6
26,Radford vs. Wake Forest,2016-11-11,-21
27,Houston Baptist vs. Texas Tech,2016-11-11,-26
28,Florida Gulf Coast vs. Florida,2016-11-11,21
29,Louisiana-Lafayette vs. Minnesota,2016-11-11,-12
30,Arkansas St. vs. North Dakota State,2016-11-11,-10
31,Southern Utah vs. Valparaiso,2016-11-11,-14
32,Buffalo vs. Niagara,2016-11-11,10
33,Campbell vs. Oklahoma St.,2016-11-11,-37
34,Illinois St. vs. Murray St.,2016-11-11,-3
35,Indiana - Purdue vs. Eastern Kentucky,2016-11-11,10
36,IUPU - Ft. Wayne vs. Arkansas,2016-11-11,9
37,Norfolk State vs. Mississippi St.,2016-11-11,4
38,Morgan St. vs. Houston,2016-11-11,41
39,Alabama A&M vs. Missouri St.,2016-11-11,-34
40,Indiana vs. Kansas,2016-11-11,4
41,North Carolina vs. Tulane,2016-11-11,20
42,Sacramento State vs. Colorado,2016-11-11,37
43,Portland St. vs. Arizona State,2016-11-11,18
44,Western Illinois vs. Kansas St.,2016-11-11,27
45,Bethune-Cookman vs. St. John's,2016-11-11,-47
46,Northwestern St. vs. Texas A&M,2016-11-11,-28
47,North Florida vs. Auburn,2016-11-11,17
48,South Dakota vs. Drake,2016-11-11,-5
49,Texas State vs. Florida Atlantic,2016-11-11,-4
50,Cal Poly SLO vs. Pepperdine,2016-11-11,-9
51,Northern Arizona vs. Santa Clara,2016-11-11,-3
52,Utah St. vs. UC Irvine,2016-11-11,-16
53,Army vs. Oregon,2016-11-11,-14
54,Illinois-Chicago vs. San Francisco,2016-11-11,-2
55,Nevada vs. St. Mary's,2016-11-11,-18
56,Massachusetts Lowell vs. Massachusetts,2016-11-11,14
57,Lafayette vs. Villanova,2016-11-11,-40
58,Vanderbilt vs. Marquette,2016-11-11,24
59,Western Carolina vs. Miami-Florida,2016-11-11,49
60,Colgate vs. Syracuse,2016-11-11,-28
61,Chattanooga vs. Tennessee,2016-11-11,13
62,Tenn-Martin vs. Mississippi,2016-11-11,3
63,Manhattan vs. Bucknell,2016-11-11,12
64,Drexel vs. Monmouth-NJ,2016-11-11,-13
65,Brown vs. Cincinnati,2016-11-11,-29
66,N.C. Asheville vs. VCU,2016-11-11,-15
67,Dartmouth vs. Rhode Island,2016-11-11,-23
68,Columbia vs. Stony Brook,2016-11-11,7
69,James Madison vs. Old Dominion,2016-11-11,-7
70,Indiana St. vs. Northern Illinois,2016-11-11,-2
71,Boston U vs. Northeastern,2016-11-11,-10
72,Maryland - E. Shore vs. George Washington,2016-11-11,4
73,Arizona vs. Michigan St,2016-11-11,2
74,Evansville vs. Louisville,2016-11-11,-31
75,Montana St. vs. Washington St.,2016-11-11,-4
76,Florida A&M vs. South Florida,2016-11-11,-11
77,Oral Roberts vs. Baylor,2016-11-11,15
78,Mount St. Mary's vs. West Virginia,2016-11-11,-28
79,McNeese St. vs. Purdue,2016-11-11,-44
80,Cornell vs. Binghamton,2016-11-11,6
81,Tennessee St. vs. UC Davis,2016-11-11,14
82,Central Arkansas vs. Wisconsin,2016-11-11,-32
83,Mississippi Valley State vs. Northwestern,2016-11-11,-31
84,Gardner-Webb vs. Southern Methodist,2016-11-11,-28
