,MATCH,DATE,PT_DIFF
0,Rhode Island vs. Pittsburgh,2010-11-08,8.0
1,UC Irvine vs. Illinois,2010-11-08,14.0
2,Seattle vs. Maryland,2010-11-08,29.0
3,Navy vs. Texas,2010-11-08,-31.0
4,Illinois-Chicago vs. Pittsburgh,2010-11-10,-43.0
5,Toledo vs. Illinois,2010-11-10,39.0
6,Charleston vs. Maryland,2010-11-10,-1.0
7,Louisiana Tech vs. Texas,2010-11-10,-31.0
8,Wis.-Milwaukee vs. Portland,2010-11-12,20.0
9,Towson vs. Miami (OH),2010-11-12,3.0
10,NC-Wilmington vs. Florida,2010-11-12,17.0
11,St. Francis (NY) vs. Boston College,2010-11-12,30.0
12,No.Carolina A&T vs. Ohio St.,2010-11-12,-41.0
13,Tennessee Tech vs. N.C. State,2010-11-12,13.0
14,Georgetown vs. Old Dominion,2010-11-12,3.0
15,William & Mary vs. Virginia,2010-11-12,24.0
16,Stony Brook vs. Connecticut,2010-11-12,27.0
17,Stetson vs. Wake Forest,2010-11-12,10.0
18,Citadel vs. Richmond,2010-11-12,-42.0
19,Columbia vs. La Salle,2010-11-12,-11.0
20,Lipscomb vs. North Carolina,2010-11-12,-14.0
21,Campbell vs. Virginia Tech,2010-11-12,-10.0
22,NC-Greensboro vs. VCU,2010-11-12,-15.0
23,Seton Hall vs. Temple,2010-11-12,-6.0
24,Lehigh vs. Penn St.,2010-11-12,-14.0
25,St. Francis (PA) vs. American U.,2010-11-12,10.0
26,Mississippi Valley State vs. Georgia,2010-11-12,2.0
27,Charleston Southern vs. Georgia Tech,2010-11-12,-13.0
28,Nicholls State vs. Houston,2010-11-12,1.0
29,Louisiana-Monroe vs. Texas Tech,2010-11-12,-19.0
30,Tennessee St. vs. Mississippi St.,2010-11-12,10.0
31,Longwood vs. Kansas,2010-11-12,38.0
32,Brown vs. Fordham,2010-11-12,4.0
33,South Dakota State vs. Eastern Illinois,2010-11-12,-12.0
34,Arkansas St. vs. Mississippi,2010-11-12,-8.0
35,Alabama St. vs. Creighton,2010-11-12,-14.0
36,New Mexico St. vs. Louisiana-Lafayette,2010-11-12,-16.0
37,Georgia Southern vs. Notre Dame,2010-11-12,-37.0
38,Eastern Michigan vs. Michigan St,2010-11-12,-30.0
39,St. Bonaventure vs. Canisius,2010-11-12,10.0
40,San Jose St. vs. Eastern Washington,2010-11-12,-7.0
41,Cal. State - Bakersfield vs. Santa Clara,2010-11-12,-5.0
42,Southern vs. Gonzaga,2010-11-12,45.0
43,Fresno St. vs. Brigham Young,2010-11-12,27.0
44,Oakland vs. West Virginia,2010-11-12,-24.0
45,Maine vs. Utah Valley,2010-11-12,5.0
46,Prairie View A&M vs. Marquette,2010-11-12,39.0
47,N.C. Asheville vs. Auburn,2010-11-12,-1.0
48,Grambling State vs. Baylor,2010-11-12,35.0
49,Oral Roberts vs. Missouri St.,2010-11-12,17.0
50,Idaho State vs. Colorado,2010-11-12,8.0
51,North Dakota State vs. Oregon,2010-11-12,-5.0
52,CSU Northridge vs. UCLA,2010-11-12,-33.0
53,Seattle vs. San Francisco,2010-11-12,21.0
54,Montana St. vs. Hawaii,2010-11-12,18.0
55,Gardner-Webb vs. Charlotte,2010-11-12,-8.0
56,Kent St. vs. Iona,2010-11-12,-1.0
57,Texas-Pan American vs. Indiana St.,2010-11-12,23.0
58,Florida Gulf Coast vs. Indiana,2010-11-12,-28.0
59,Boston U vs. Northeastern,2010-11-12,-2.0
60,Lafayette vs. Wagner,2010-11-12,-5.0
61,Northern Iowa vs. Syracuse,2010-11-12,-22.0
62,UC Davis vs. Florida Atlantic,2010-11-12,7.0
63,Western Michigan vs. Xavier,2010-11-12,-3.0
64,Tulane vs. Maryland - E. Shore,2010-11-12,-29.0
65,Rutgers vs. Princeton,2010-11-12,5.0
66,East Tennessee St. vs. Kentucky,2010-11-12,-23.0
67,Bowling Green vs. Howard,2010-11-12,-2.0
68,Southern Mississippi vs. South Florida,2010-11-12,-7.0
69,Norfolk State vs. LIU Brooklyn,2010-11-12,23.0
70,Samford vs. Youngstown St.,2010-11-12,-3.0
71,Jacksonville vs. Miami-Florida,2010-11-12,-12.0
72,Cornell vs. Albany,2010-11-12,-4.0
73,Western Kentucky vs. St. Joseph's,2010-11-12,-28.0
74,Denver vs. UC Santa Barbara,2010-11-12,-16.0
75,Rider vs. Massachusetts,2010-11-12,10.0
76,Bryant vs. Cleveland St.,2010-11-12,-14.0
77,Northern Arizona vs. Iowa St.,2010-11-12,14.0
78,South Dakota vs. Nebraska,2010-11-12,8.0
79,Northwestern St. vs. Louisiana State,2010-11-12,9.0
