PLAYER,A,BLK,DEF,OFF,PF,PTS,STL,TO,TOT,3P,3PA,FG,FGA,FT,FTA,MINS,TEAM,PER
Aboubacar Diallo,4,14,35,25,25,14,6,8,60,0,0,3,19,8,13,152,Eastern Illinois,20.923505577742382
Adam Cumber,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,New Mexico,0.0
Adam Dykman,1,2,6,2,0,4,0,1,8,0,0,2,2,0,0,19,South Dakota State,41.57575006565307
Adam Giles,0,0,0,0,0,2,0,1,0,0,0,1,3,0,0,8,Wright St.,-10.871554378002545
Adam Grant,80,6,85,34,73,413,40,65,119,57,171,146,368,64,82,1115,Bryant,22.62993599948594
Adam Mitola,0,0,2,0,2,3,0,1,2,1,3,1,5,0,0,16,George Washington,-8.870803834829712
Adam Pickett,14,6,30,7,36,77,16,21,37,3,17,24,53,26,34,214,Winthrop,26.05751503958177
Adam Roe,2,0,7,3,6,34,5,6,10,7,20,11,26,5,6,67,Army,30.703720062585003
Adam Sledd,6,9,66,48,73,169,11,32,114,0,0,72,149,25,36,549,Western Carolina,20.15442688409029
Adam Ward,12,18,30,17,63,46,9,17,47,0,0,20,38,6,22,301,Nicholls State,11.92953223626277
Adam Wolf,0,0,0,3,3,2,1,0,3,0,2,1,5,0,0,21,Missouri,1.857250860226393
Addison Hill,0,0,2,0,2,6,0,3,2,0,0,3,4,0,0,19,East Carolina,6.644094321049714
Addison Owen,0,0,0,0,0,3,0,1,0,1,1,1,1,0,0,3,Rice,53.92796614732744
Ade Murkey,25,4,28,10,25,100,12,16,38,2,10,34,71,30,36,262,Denver,31.540331998583333
Adida Ikongshul,2,1,15,9,22,4,2,5,24,0,0,1,11,2,3,111,Western Michigan,-0.29694827350647895
Admassu Williams,0,2,12,2,10,31,2,7,14,0,0,12,22,7,11,76,Prairie View A&M,22.145341577291244
Admiral Schofield,19,5,83,25,62,211,6,29,108,18,44,72,153,49,64,479,Tennessee,5.904330041294974
Admon Gilder,113,9,84,29,64,392,59,82,113,55,140,134,306,69,92,994,Texas A&M,16.18390732391601
Adonis De La Rosa,10,24,73,45,77,119,5,41,118,0,1,42,100,35,60,425,Kent St.,17.232390940636787
Adonis Filer,52,0,59,17,49,287,25,47,76,26,85,91,230,79,98,584,Florida Atlantic,30.286405664008747
Adonis Rwabigwi,3,6,26,17,50,35,7,9,43,0,0,13,25,9,17,211,Texas Rio Grande Valley,12.832692498826185
Adonis Saltes,0,0,1,2,2,4,0,1,3,0,0,0,2,4,4,6,Southern Utah,38.23704509874252
Adrian Autry,0,0,2,0,1,8,1,0,2,2,6,3,8,0,0,16,Syracuse,29.569372929491273
Adrian Brown,2,3,23,9,36,49,7,18,32,0,1,18,43,13,21,220,McNeese St.,7.855556256679953
Adrian Carrion Armas,1,0,1,0,0,1,0,1,1,0,0,0,0,1,2,9,Grand Canyon,4.977288091567658
Adrian Edwards,17,11,45,25,42,113,5,14,70,0,1,41,79,31,44,353,Alabama A&M,28.990258259353432
Adrian Rich,49,3,30,6,72,182,31,46,36,26,83,68,169,20,24,755,VMI,13.05519442204927
Adrio Bailey,7,7,22,13,25,44,10,10,35,0,0,19,33,6,19,171,Arkansas,5.488742083098395
Aher Uguak,7,1,5,9,14,23,5,13,14,1,8,7,20,8,15,140,New Mexico,3.665973885456608
Ahmaad Rorie,92,7,83,23,63,504,24,46,106,58,153,177,397,92,111,935,Montana,19.539668027493324
Ahmad Caver,137,5,87,16,54,388,37,57,103,64,174,124,334,76,121,1021,Old Dominion,28.280055566535456
Ahmad Gilbert,2,2,12,2,7,25,2,8,14,7,22,8,27,2,4,75,Minnesota,8.828986049178694
Ahmad Thomas,69,15,149,38,80,539,80,65,187,35,75,219,411,66,114,1006,N.C. Asheville,43.283565859829494
Ahmad Wagner,42,14,45,55,65,145,23,26,100,0,2,55,110,35,74,471,Iowa,10.337492811905083
Ahmed Hamdy-Mohamed,5,16,75,33,70,168,9,40,108,0,0,60,129,48,77,387,VCU,24.07159241122375
Ahmed Hill,37,5,83,9,65,357,8,34,92,59,147,116,254,66,91,873,Virginia Tech,24.94855365081655
Ahmed Ismail,8,29,95,49,99,117,7,46,144,1,5,42,83,32,52,487,Manhattan,17.941854063492197
Ahsante Shivers,31,4,59,13,57,109,10,26,72,8,20,32,75,37,55,520,Siena,14.540974674180394
Ajdin Penava,16,30,87,31,104,177,13,31,118,8,35,63,126,43,55,459,Marshall,26.70329927644611
Ak Ojo,2,15,30,16,62,24,4,14,46,0,0,9,18,6,9,233,Manhattan,8.114019574307083
Akeem Springs,42,6,75,17,35,297,17,28,92,65,167,100,256,32,47,718,Minnesota,25.119396217426026
Akil Douglas,0,2,5,2,5,22,1,3,7,0,6,9,20,4,8,39,Santa Clara,27.43403188191894
Akim Mitchell,28,2,53,32,59,131,15,35,85,5,18,51,114,24,32,503,Hampton,17.345578528100333
Ako Adams,29,2,24,1,46,71,8,27,25,15,44,20,72,16,20,333,Rice,5.711536114646459
Ako Kaluna,36,12,84,68,74,287,14,49,152,19,62,103,234,62,91,644,Northern Arizona,29.267038709512942
Akoy Agau,28,28,100,34,70,138,7,48,134,3,15,41,82,53,63,461,Georgetown,25.484664411601234
Akwasi Yeboah,19,14,98,43,69,272,12,32,141,43,123,88,241,53,67,604,Stony Brook,28.974855423132464
Al Eichelberger,1,8,17,15,25,45,2,10,32,0,0,16,21,13,32,210,DePaul,17.69136937702266
Al Freeman,34,0,43,15,35,238,10,42,58,36,94,74,172,54,68,629,Baylor,22.76738094781047
Al-Wajid Aminu,19,28,93,73,108,239,11,58,166,6,24,95,189,43,92,754,North Florida,20.39137766422388
Alain Chigha,9,5,36,21,59,59,10,8,57,6,20,24,46,5,12,297,Quinnipiac,16.973147897064585
Alan Herndon,34,59,138,32,71,316,18,40,170,41,113,113,251,49,75,901,Wyoming,26.069928369190613
Alan Vest,7,0,7,2,1,11,3,1,9,2,3,3,12,3,4,103,Wright St.,12.153328692728804
Alani Moore,23,1,16,8,16,87,10,9,24,20,41,26,57,15,18,295,Temple,26.69883495200811
Alani Moore II,31,1,31,18,24,115,12,21,49,24,64,37,92,17,21,498,Temple,17.96624777087748
Alassane Kah,1,3,9,4,13,20,1,1,13,1,3,9,14,1,4,42,Old Dominion,44.49035613140301
Albert Almanza,11,4,33,14,47,106,13,12,47,21,50,36,83,13,19,353,Sam Houston St.,20.162974726070516
Albert Christensson,8,1,25,17,43,37,4,22,42,0,0,14,38,9,15,266,Central Arkansas,2.5443381996539136
Albert Owens,27,37,95,63,64,487,12,56,158,1,9,192,393,102,139,880,Oral Roberts,35.346036140365435
Aldonis Foote,9,1,17,14,31,48,7,8,31,0,3,20,54,8,16,184,Middle Tennessee St.,14.767322700344481
Alec Brennan,5,8,17,12,26,48,4,6,29,6,14,19,35,4,6,166,Princeton,28.29254816008612
Alec Monson,1,0,2,1,0,0,1,0,3,0,0,0,1,0,0,9,Portland,13.849193141569057
Alec Peters,63,9,211,67,64,630,21,68,278,55,149,204,439,167,188,984,Valparaiso,47.9901898734126
Alec Raven,0,0,3,0,1,4,0,0,3,0,1,1,2,2,2,11,Cal Poly SLO,33.231710064451065
Alec Wintering,96,0,61,19,44,338,34,81,80,13,36,116,269,93,121,650,Portland,18.03542746148445
Alec Wnuk,33,4,69,33,54,181,12,39,102,3,10,66,132,46,79,511,N.C. Asheville,24.271284773256145
Alec Wulff,1,0,1,0,2,6,1,0,1,2,6,2,6,0,0,20,UCLA,17.561714505548824
Aleer Leek,0,6,17,4,25,34,2,11,21,4,16,12,30,6,8,161,UMKC,7.165961202131443
Aleks Abrams,2,10,52,47,40,61,4,9,99,0,0,21,37,19,33,296,Cal Poly SLO,28.66978529289461
Aleksa Jugovic,62,5,67,12,46,454,25,57,79,76,211,136,346,106,116,1074,Tennessee Tech,25.398676548825975
Aleksa Nikolic,20,2,43,10,22,47,10,13,53,3,10,21,44,2,5,281,Marshall,15.193071819331637
Alex Allbery,0,0,2,1,2,6,0,0,3,2,3,2,6,0,0,22,Nebraska Omaha,13.523042082290015
Alex Austin,0,0,1,1,0,2,0,0,2,0,1,1,3,0,0,7,Illinois,2.6873326187787816
Alex Bergen,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,6,Xavier,4.825296600176275
Alex Brown,8,2,19,5,18,52,1,17,24,9,31,20,61,3,6,215,Norfolk State,4.370166406725936
Alex Copeland,52,0,30,9,37,323,21,38,39,19,67,123,249,58,72,629,Yale,32.44971533881061
Alex Dubovitskiy,3,0,5,5,19,13,5,7,10,4,16,4,21,1,2,125,Chicago St.,-1.0791368705055766
Alex Ennis,3,13,70,54,54,78,10,21,124,0,0,33,71,12,21,500,Morgan St.,16.463805187037636
Alex Foree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Tulsa,0.0
Alex Foster,1,3,12,7,15,35,0,8,19,0,0,14,26,7,15,94,Bradley,19.282933578671432
Alex Fountain,33,7,33,18,49,173,6,21,51,16,47,60,133,37,50,456,Houston Baptist,24.28441261749907
Alex Hart,14,16,93,62,72,198,9,32,155,0,13,77,166,44,75,600,UC Santa Barbara,25.152073943356584
Alex Hicks,11,19,79,34,51,135,12,28,113,2,13,53,118,27,40,432,Troy,24.21653476180002
Alex Hobbs,16,1,21,7,18,75,6,12,28,7,17,29,70,10,15,240,Boise St.,18.803151618451064
Alex Holcombe,3,10,15,8,19,17,1,7,23,0,0,7,15,3,8,119,Texas A&M CC,13.039142382157035
Alex Illikainen,8,3,22,15,18,32,3,5,37,4,16,11,35,6,12,202,Wisconsin,13.9854019116741
Alex Larsson,6,12,65,41,75,167,3,41,106,0,0,67,129,33,54,510,UC Riverside,18.721943963983964
Alex Long,17,38,109,37,85,195,22,56,146,0,0,71,149,53,91,641,Norfolk State,21.939592211691426
Alex Moffatt,0,1,2,1,1,4,1,3,3,0,2,2,5,0,0,19,Memphis,4.1747274225041
Alex Murphy,52,18,129,35,64,398,21,62,164,47,122,149,297,53,100,918,Northeastern,30.88542407602863
Alex Paquin,13,0,23,8,30,64,6,13,31,7,16,23,45,11,20,265,American U.,17.528101995761336
Alex Peters,5,8,11,11,48,64,5,8,22,0,0,22,34,20,29,226,Samford,20.83557508281725
Alex Prahl,0,1,3,0,1,0,0,0,3,0,0,0,2,0,0,10,Wis.-Milwaukee,-1.9102264483151612
Alex Rifkind,0,0,0,0,0,3,1,1,0,1,2,1,2,0,0,4,Long Beach St.,48.29383750446037
Alex Robinson,160,15,71,10,48,324,42,76,81,30,88,119,289,56,90,942,Texas Christian,25.698099801910274
Alex Thomas,12,20,70,58,81,113,8,29,128,0,0,46,91,21,37,479,Towson,22.142759464206375
Alex Thompson,24,16,99,23,69,355,13,37,122,58,142,124,280,49,61,762,Samford,28.602566091449535
Alex Zhao,0,0,0,1,0,0,0,0,1,0,1,0,2,0,0,5,Penn St.,-14.768445879340526
Alexander Aka Gorski,40,1,52,8,55,188,14,26,60,39,122,64,165,21,27,538,Wyoming,18.922590357038
Alexander Lee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Princeton,0.0
