PLAYER,A,BLK,DEF,OFF,PF,PTS,STL,TO,TOT,3P,3PA,FG,FGA,FT,FTA,MINS,TEAM,PER
Cameron McGee,5,0,3,1,6,13,1,3,4,1,8,3,15,6,7,61,Lamar,5.735904246434941
Cameron McGriff,18,8,55,33,63,110,15,33,88,6,18,27,65,50,66,454,Oklahoma St.,18.380822595885153
Cameron Morse,85,3,77,11,40,639,28,63,88,67,216,234,566,104,143,1029,Youngstown St.,31.541379589694547
Cameron Neubauer,72,6,118,40,114,325,10,68,158,47,143,104,245,70,98,903,San Diego,12.30513579369063
Cameron Oliver,58,79,200,48,90,459,24,70,248,52,137,163,352,81,120,907,Nevada,37.800308171474114
Cameron Oluyitan,4,0,15,9,12,19,0,3,24,3,13,7,23,2,5,109,Boise St.,10.159539125997705
Cameron Reed,1,1,1,1,12,12,0,7,2,2,11,3,14,4,6,55,New Orleans,-12.225769759870104
Cameron Reynolds,44,11,154,42,78,480,24,44,196,68,181,171,403,70,91,1017,Tulane,30.28454304806594
Cameron Satterwhite,16,4,30,2,32,77,18,21,32,10,35,30,75,7,11,358,Loyola-Chicago,12.945083211509901
Cameron Smith,6,15,39,12,32,57,8,14,51,1,5,19,37,18,26,273,Dartmouth,20.593127758814866
Cameron Smith,6,15,39,12,32,57,8,14,51,1,5,19,37,18,26,273,Florida International,20.593127758814866
Cameron Walker,3,0,18,7,12,16,3,7,25,0,0,3,9,10,14,83,Stanford,16.161989627998313
Cameron Wolter,8,6,25,15,58,133,8,20,40,2,10,52,105,27,38,309,Massachusetts Lowell,21.940160632494713
Cameron Woodyard,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,Loyola-Chicago,-50.109026669990286
Cameron Young,0,1,0,1,0,0,0,0,1,0,3,0,4,0,0,8,Quinnipiac,-17.57870138967334
Camron Justice,7,0,6,0,5,12,3,4,6,1,8,4,16,3,6,65,Vanderbilt,6.891629555658838
Candido Sa,7,27,44,39,49,89,8,24,83,4,18,34,88,17,41,393,Rutgers,17.46057159942732
Canyon Barry,19,10,58,28,32,359,17,25,86,40,114,110,259,99,111,637,Florida,4.382331656270587
Carlbe Ervin II,41,6,54,20,46,73,20,29,74,7,20,26,56,14,19,417,Kansas St.,19.63720946322803
Carlin Dupree,55,4,73,16,49,244,27,53,89,9,43,87,213,61,88,800,North Dakota State,18.377356145379984
Carlitos Anderson,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,Akron,9.766272610123236
Carlos Anderson,40,1,65,22,56,211,17,53,87,5,40,72,195,62,90,687,SIU - Edwardsville,13.796204696249282
Carlos Johnson,17,7,44,45,66,172,7,32,89,7,28,68,161,29,49,499,Washington,4.853424943225492
Carlton Bragg Jr.,14,14,63,47,64,143,11,26,110,0,3,60,116,23,36,371,Kansas,16.386896805445435
Carlton Hurst,30,17,102,48,62,225,22,26,150,21,41,67,145,70,90,834,South Dakota,13.06361669789864
Carlton Lowe,4,0,3,8,24,60,1,8,11,10,20,20,41,10,16,149,Grambling State,22.018523746411805
Carrington Ward,12,2,17,2,20,29,4,14,19,2,14,9,40,9,12,196,Norfolk State,0.8919797861571764
Carsen Edwards,58,3,65,13,57,314,31,54,78,45,128,113,294,43,63,711,Purdue,11.109084349142405
Carson Shanks,12,17,37,12,71,126,1,35,49,0,1,44,85,38,58,303,North Dakota,9.252104614257533
Carson Smith,2,2,4,2,11,10,3,7,6,1,1,4,7,1,2,56,South Carolina Upstate,7.9092396242914065
Carson Williams,38,11,102,68,39,294,14,46,170,0,2,109,187,76,113,718,Northern Kentucky,35.33776982038008
Carter Cagle,0,0,0,0,0,3,0,0,0,1,1,1,1,0,0,3,Georgia St,94.45433009403098
Casey Benson,62,0,36,11,39,141,17,26,47,25,56,43,95,30,38,599,Oregon,10.69024690486067
Casey Jones,38,9,69,40,56,248,19,50,109,13,41,100,195,35,46,610,Chattanooga,30.200289002262313
Casey Schlatter,32,9,56,29,43,129,15,29,85,8,23,45,89,31,37,403,Drake,29.42043475692303
Casey Teson,27,1,43,1,40,175,16,17,44,35,97,55,142,30,31,574,Eastern Illinois,19.182281023490617
Casey Wells,14,2,21,13,28,205,8,9,34,57,172,60,185,28,37,421,Savannah State,20.682249128632076
Casey Woodring,0,0,1,1,0,3,0,0,2,1,5,1,6,0,0,7,Providence,-0.850277045185853
Cassius Winston,161,4,54,6,59,207,23,70,60,21,58,68,159,50,64,619,Michigan St,28.120108161310668
Cavan LaRose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Sacred Heart,0.0
Cavit Havsa,17,2,12,1,14,42,8,17,13,6,15,18,33,0,1,197,Fordham,15.328119541657406
Cavon Baker,19,7,62,18,39,204,22,28,80,19,43,80,173,25,35,469,St. Peter's,32.33140994802309
Caylen Williams,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,LIU Brooklyn,10.254348950497246
Cayne Edwards,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,5,Army,-14.58465494808965
Cazmon Hayes,50,21,76,21,44,249,16,45,97,25,102,86,253,52,72,791,Delaware,9.404891207027108
Cecil Williams,18,6,100,68,95,222,15,46,168,13,29,69,144,71,91,710,Central Michigan,22.597986035108903
Cedric Hankerson,33,3,56,11,82,288,59,25,67,69,208,90,253,39,68,865,Boston U,21.70518873138695
Cedric Turner,1,0,0,1,4,2,1,3,1,0,0,0,6,2,5,30,Arkansas-Pine Bluff,-19.039708699576174
Chace Franklin,6,0,6,5,8,23,2,2,11,2,10,7,23,7,11,60,Jackson State,25.71868243077531
Chad Brown,5,21,66,41,67,139,6,27,107,0,0,40,81,59,93,389,Central Florida,29.5850887441047
Chad Hudson,1,0,2,0,1,0,1,0,2,0,0,0,1,0,2,11,Indiana - Purdue,4.252747076212225
Chad Lott,41,9,61,23,43,139,27,31,84,3,7,54,103,28,48,507,Rice,24.57092031558047
Chad Rykhoek,11,8,19,12,32,74,5,16,31,0,2,31,57,12,34,197,Memphis,21.463523025945562
Chad Sherwood,38,7,38,11,64,156,10,35,49,34,97,45,126,32,36,609,Idaho,7.116951271952064
Chaise Daniels,40,52,125,68,103,403,14,65,193,0,2,161,313,81,136,877,Quinnipiac,30.25911860888845
Chance Anderson,6,2,18,3,22,18,1,5,21,0,4,7,16,4,9,87,San Francisco,11.402796988072238
Chance Comanche,11,13,79,32,70,194,4,36,111,0,0,74,125,46,63,563,Arizona,8.123603311715339
Chance Garvin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Idaho,0.0
Chance Murray,59,4,104,8,41,213,26,45,112,15,66,75,205,48,76,671,UC Riverside,19.33837002469705
Chancellor Barnard,17,16,48,33,62,122,10,28,81,0,6,45,95,32,59,654,Loyola-Maryland,13.771616917726432
Chancellor Ellis,1,0,2,3,5,30,0,3,5,10,28,10,30,0,0,59,New Mexico St.,18.777163378759113
Chandler Hutchison,70,6,184,33,77,463,30,69,217,21,56,169,349,104,156,862,Boise St.,37.167983248984605
Chandler Levingston Simon,0,0,1,1,5,4,1,0,2,0,0,2,6,0,0,16,Valparaiso,7.148276037904506
Chandler Rowe,52,30,85,63,92,135,43,33,148,9,20,43,82,40,63,713,Tenn-Martin,27.27722852779933
Charlendez Brooks,8,7,24,13,44,27,2,18,37,0,0,8,23,11,12,170,Western Carolina,6.522942393525812
Charles Buggs,4,10,32,8,37,50,6,9,40,6,12,19,33,6,7,199,Southern California,22.321805685702813
Charles Callison,57,10,45,5,65,255,38,45,50,35,85,95,213,30,36,755,Washington St.,22.716791676654005
Charles Carrington,0,2,2,3,12,2,0,3,5,0,0,0,6,2,2,28,No.Carolina A&T,-18.186199552853026
Charles Cooke,75,23,108,27,43,409,28,54,135,42,104,135,287,97,138,794,Dayton,38.63408317835426
Charles Cooper,48,9,114,33,57,386,30,68,147,6,40,125,287,130,194,737,Green Bay,29.72195383293868
Charles Glover,6,0,10,2,18,18,4,7,12,0,4,7,18,4,6,121,Mount St. Mary's,6.114415214809011
Charles Jackson,41,0,49,10,60,168,18,39,59,37,87,51,126,29,41,516,Arkansas-Pine Bluff,20.361898137818738
Charles Minlend,34,8,41,19,34,300,20,34,60,47,127,108,257,37,66,605,San Francisco,29.36947189195899
Charles Ruise Jr.,10,0,16,4,14,30,3,8,20,2,18,12,40,4,6,133,IUPU - Ft. Wayne,6.682447301583337
Charles Simmons,0,0,2,0,0,0,0,1,2,0,0,0,1,0,1,12,Grambling State,-13.729885412280856
Charles Thomas IV,6,4,22,13,40,62,0,17,35,2,6,21,53,18,20,175,Wisconsin,14.893631360122338
Charles Tucker Jr.,130,2,52,10,69,188,24,91,62,12,44,59,142,58,83,875,Sacred Heart,12.895381399190928
Charles Williams,16,11,46,30,58,453,17,48,76,55,157,151,379,96,123,847,Howard,28.98830127417484
Charles Wilson-Fisher,8,21,68,42,84,117,4,29,110,3,10,45,94,24,34,414,Hampton,20.61375001468177
Charlie Brown,31,21,117,31,59,372,24,31,148,66,173,120,317,66,81,989,St. Joseph's,25.714187335657403
Charlie Hall,0,0,2,0,0,0,0,0,2,0,2,0,2,0,0,7,Northwestern,-7.500990706699131
Charlie Inclan,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,Presbyterian,-80.92657547759109
Charlie Jones,78,18,152,29,73,197,53,36,181,21,54,75,136,26,40,1004,American U.,27.293851636319424
Charlie Moore,108,0,51,12,76,370,32,84,63,39,109,120,301,91,121,851,California,12.240939052393768
Charlie Noebel,0,0,4,0,3,3,1,2,4,1,3,1,4,0,0,26,Oregon,-0.6389229098251754
Charlie Rose,1,0,1,0,3,2,0,1,1,0,1,1,3,0,0,9,Iowa,-2.971997965600413
Charlie Tooley,0,0,2,2,8,9,2,0,4,3,4,3,4,0,0,35,Nevada,25.24773874559338
Chas Brown,14,14,70,43,63,196,12,43,113,0,2,77,143,42,79,424,Coppin St.,31.37019031422861
Chase Carlton,10,0,4,0,17,2,2,3,4,0,3,1,5,0,2,75,Texas A&M,0.03556520178390421
Chase Cormier,67,0,40,13,60,84,25,37,53,11,36,25,87,23,38,654,Grambling State,9.572350538039416
Chase Driscoll,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,5,North Florida,-9.120066958886934
Chase Fletcher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Richmond,0.0
Chase Foster,37,6,84,14,55,296,17,33,98,43,107,100,218,53,65,656,San Francisco,31.460182555870492
Chase Harler,8,0,5,1,11,23,6,4,6,4,13,8,28,3,7,95,West Virginia,10.452510523885984
Chase Jeter,5,17,25,18,31,41,7,16,43,0,0,13,26,15,27,238,Duke,17.47321035884811
Chase Miller,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,9,Middle Tennessee St.,-9.055749764223044
Chase Winchester,3,0,6,3,13,25,2,2,9,3,7,6,14,10,12,55,Stephen F. Austin,33.738689078538364
Chaz Glotta,38,5,53,2,56,280,14,38,55,68,201,97,266,18,28,689,Northern Colorado,17.89641793286186
Chazz Patterson,53,6,101,14,40,157,54,37,115,27,77,45,123,40,50,852,St. Peter's,21.34833103793354
Che Bob,10,15,46,17,27,95,7,18,63,6,15,32,75,25,38,239,Colorado St.,31.917998025404042
Cheddi Mosely,17,3,18,4,21,95,7,18,22,21,62,33,83,8,13,243,Boston U,20.63463473209264
Cheickna Dembele,7,30,63,50,62,107,3,43,113,0,0,40,87,27,52,459,UNLV,15.077115741650971
Cheikh N'diaye,1,7,12,8,13,30,0,9,20,0,0,11,20,8,13,90,Oregon St.,23.31770707050485
Chevez Goodwin,4,18,65,29,52,73,7,13,94,0,1,31,60,11,26,303,Charleston,12.96539936608586
Chibueze Jacobs,4,9,32,14,21,50,5,5,46,6,11,17,34,10,11,196,Sacramento State,29.161013343545513
Chier Maker,4,1,30,16,26,51,3,11,46,4,15,14,53,19,25,266,Portland,4.822671980745369
Chima Moneke,25,36,195,68,84,410,23,74,263,0,0,151,279,108,168,740,UC Davis,41.94973942048199
Chimezie Metu,41,46,174,58,74,428,26,66,232,1,2,166,305,95,132,935,Southern California,36.32325807641226
Chinonso Obokoh,0,7,5,3,15,10,1,5,8,0,0,5,10,0,1,55,St. Bonaventure,9.211901891941382
Chivarsky Corbett,12,5,62,16,32,157,12,15,78,29,89,55,138,18,31,476,Delaware,12.096650833571493
Chris Atkinson,24,1,14,2,22,50,8,11,16,14,32,16,44,4,5,198,Canisius,17.766582770864865
Chris Baldwin,7,12,46,22,41,57,4,15,68,0,3,25,57,7,12,237,Massachusetts,8.688040398898028
Chris Barnes,2,0,8,1,5,7,2,3,9,0,2,3,11,1,4,54,Texas-El Paso,1.4378344537444696
Chris Barton,30,1,61,24,63,230,7,40,85,27,57,69,153,65,84,703,Niagara,19.510777173381197
Chris Boucher,11,69,119,50,72,324,12,28,169,33,93,123,236,45,78,649,Oregon,22.281942708413084
Chris Bowling,16,4,29,20,36,81,9,23,49,12,58,28,107,13,18,381,Northern Arizona,5.732613513241392
Chris Brady,13,56,143,68,82,294,12,36,211,2,8,123,211,46,66,673,Monmouth-NJ,39.5904118535365
Chris Brickhouse,1,1,2,3,0,0,0,2,5,0,0,0,1,0,0,9,N.C. State,15.273121629728355
Chris Chiozza,112,0,82,12,65,203,41,46,94,24,82,64,160,51,66,638,Florida,3.3524308039251705
Chris Clarke,79,7,140,35,48,274,30,49,175,3,13,97,165,77,114,694,Virginia Tech,38.25773782382715
Chris Clemons,75,16,122,16,57,713,53,79,138,91,266,238,547,146,179,1002,Campbell,48.8278514822919
Chris Clerkley,0,1,1,1,2,0,0,0,2,0,0,0,1,0,0,9,Georgia St,5.608826472627884
Chris Clover,26,1,44,13,58,205,16,31,57,20,64,75,201,35,56,606,St. Joseph's,14.850368354962201
Chris Cokley,43,19,105,59,64,349,16,57,164,0,1,144,249,61,79,626,UAB,44.01680891390552
Chris Collins,39,2,26,2,36,37,6,23,28,8,32,13,42,3,7,364,Texas A&M,2.7652524503195597
Chris Corchiani Jr.,2,0,0,0,2,6,0,2,0,0,0,2,6,2,2,7,N.C. State,13.328122061421249
Chris Davenport,80,28,130,28,56,279,16,97,158,24,70,101,198,53,72,661,North Florida,29.67326850997675
Chris Downing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Fordham,0.0
Chris Egi,2,4,8,12,15,17,6,8,20,0,0,4,12,9,19,106,Harvard,14.34496340425085
Chris Flemmings,64,19,127,33,60,426,38,63,160,54,166,153,338,66,92,1017,NC-Wilmington,29.96857771221862
Chris Harrison-Docks,20,0,14,6,37,149,15,26,20,36,99,50,135,13,13,452,DePaul,16.116842510438087
Chris Howell,37,2,78,27,44,190,12,55,105,0,1,64,125,62,84,404,South Dakota State,31.163082377003313
Chris Jenkins,54,8,178,34,96,460,22,74,212,72,208,151,388,86,101,1320,Detroit,4.623060643532684
Chris Jenkins,54,8,178,34,96,460,22,74,212,72,208,151,388,86,101,1320,New Jersey Tech,4.623060643532684
Chris Jenkins,54,8,178,34,96,460,22,74,212,72,208,151,388,86,101,1320,Detroit Mercy,4.623060643532684
Chris Jones,66,8,68,20,67,206,18,45,88,9,33,70,145,57,85,929,Pittsburgh,16.699559104948293
Chris Kendrix,7,11,64,12,39,137,12,29,76,20,69,40,114,37,45,364,Missouri St.,11.394544501386232
Chris Lewis,21,28,77,40,65,184,17,36,117,0,1,75,113,34,52,448,Harvard,39.914745159466655
Chris McComber,12,2,15,3,21,41,2,4,18,6,17,16,30,3,12,200,Columbia,14.996944058164502
Chris Mejia,4,1,6,0,15,20,0,2,6,6,22,7,25,0,0,103,Southeastern Louisiana,3.166048659837168
Chris Miller,5,9,40,22,65,74,1,34,62,0,0,32,74,10,15,265,Oral Roberts,6.092824442968276
Chris Odionu,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,Arizona State,-13.154366654985933
Chris Palombizio,6,0,21,10,14,62,5,5,31,11,29,19,49,13,20,202,Oakland,19.930513410710315
Chris Porter-Bunton,29,7,70,29,96,170,19,33,99,17,45,57,124,39,61,625,Austin Peay,19.217585822514582
Chris Reyes,63,33,144,58,67,348,9,42,202,3,8,142,267,61,106,858,Pepperdine,34.2360129590261
Chris Robinson,35,2,70,32,78,186,25,26,102,36,101,67,169,16,21,711,Sacred Heart,18.13175312483172
Chris Shields,24,5,69,8,70,157,10,61,77,21,53,62,142,12,18,671,Longwood,7.721214793294127
Chris Silva,10,37,99,65,110,297,17,57,164,0,0,99,177,99,134,588,South Carolina,13.831291761408954
Chris Snyder,4,3,12,8,24,34,2,8,20,0,1,15,23,4,8,123,Western Illinois,19.00797839937118
Chris Stowell,0,0,2,0,0,0,0,0,2,0,1,0,1,0,0,11,Miami-Florida,-1.824226833855823
Chris Sullivan,2,0,20,2,14,31,7,5,22,9,22,9,25,4,4,163,Brown,13.655192582337925
Chris Thomas,18,12,77,52,72,245,13,39,129,14,46,86,196,59,97,633,Southern,2.680169616295791
Chris Washburn,12,2,20,18,36,52,8,16,38,0,0,17,33,18,33,152,Texas Christian,25.280043154193162
Chris Williams,3,1,7,6,16,59,5,9,13,7,30,22,56,8,10,205,Central Conn. St.,13.636449913685503
Chris Wray,50,47,107,80,64,225,45,46,187,0,2,99,170,27,89,913,Mount St. Mary's,29.473408347356656
Christ Koumadje,4,33,41,16,50,99,5,15,57,0,1,46,70,7,17,292,Florida St.,30.119751994057033
Christavious Gill,70,3,43,8,41,281,35,52,51,45,150,91,248,54,72,802,New Orleans,20.172264775959082
Christen Cunningham,189,0,68,16,46,318,24,67,84,20,57,104,271,90,108,1049,Samford,23.336779020724197
Christian Adams,0,0,0,0,4,4,1,2,0,0,0,2,5,0,0,19,Coastal Carolina,-4.756428013842917
Christian Albright,14,3,37,11,40,85,7,15,48,10,38,33,78,9,14,281,Lamar,17.95407488666366
Christian Benzon,42,8,108,29,59,191,21,38,137,5,11,64,137,58,115,794,Evansville,18.81328286425573
Christian Bradford,102,1,81,9,51,232,12,62,90,26,90,84,237,38,51,899,Radford,14.12602105004761
Christian Carlyle,5,1,6,5,10,16,5,2,11,1,5,4,14,7,12,108,Florida Gulf Coast,14.293481342475681
Christian Clark,0,0,1,0,3,3,0,1,1,1,2,1,2,0,1,21,Southern Miss,-0.07427926546943882
Christian Cunningham,29,51,158,85,88,247,18,41,243,0,0,105,169,37,64,800,Jacksonville St.,36.65183771387979
Christian Davis,0,1,2,1,2,2,0,1,3,0,1,0,2,2,4,11,Arkansas St.,0.6014246893449072
Christian Ellis,94,3,59,45,95,206,29,80,104,0,11,75,163,56,126,711,SIU - Edwardsville,17.804347718673146
Christian Foxen,0,0,1,0,1,0,0,0,1,0,1,0,2,0,0,9,Connecticut,-17.86375982399486
Christian Hairston,10,2,52,17,30,65,3,25,69,0,0,25,62,15,26,275,Elon University,10.744810123184466
Christian James,34,2,84,26,72,232,21,59,110,32,89,76,210,48,68,645,Oklahoma,8.821508269839807
Christian Jones,23,11,105,42,44,233,15,36,147,0,0,96,199,41,67,628,UNLV,25.12434342538664
Christian Juzang,4,1,5,0,7,4,2,2,5,0,9,1,12,2,2,57,Harvard,-3.398220084546535
Christian Keeling,39,9,161,39,52,502,25,52,200,22,63,170,369,140,179,905,Charleston Southern,40.16258702426955
Christian Kessee,20,0,16,2,24,51,3,9,18,9,37,16,51,10,12,205,Memphis,11.931320903275546
Christian Lutete,14,2,41,11,25,122,3,15,52,23,64,41,105,17,27,369,Radford,19.98390643340794
Christian Mackey,15,2,58,39,48,112,3,23,97,1,3,45,75,21,36,309,Denver,30.1594895480888
Christian Matthews,1,3,3,2,7,39,3,4,5,5,12,11,33,12,15,86,Georgia Tech,22.19685741711724
Christian Mekowulu,10,21,70,36,82,125,16,43,106,0,1,43,87,39,63,519,Tennessee St.,5.79833116893973
Christian Musoko,6,16,61,44,91,120,5,36,105,0,1,43,109,34,59,392,Southern Utah,13.601426485394002
Christian Peevy,1,0,1,3,2,8,0,5,4,0,0,3,9,2,2,25,Incarnate Word,-0.024765029680013394
Christian Pino,3,0,2,0,5,6,2,4,2,0,3,1,7,4,4,15,Buffalo,0.1114911959573706
Christian Sanders,89,3,55,3,47,86,12,51,58,9,18,26,63,25,38,481,Stanford,14.798048839003908
Christian Schmitt,0,0,0,0,1,0,0,2,0,0,1,0,1,0,0,6,South Carolina,-18.388212268965894
Christian Sengfelder,21,11,107,37,71,356,28,21,144,67,196,130,299,29,39,934,Fordham,28.30595243082105
Christian Terrell,98,10,121,43,90,350,35,57,164,47,165,127,341,49,74,1284,Florida Gulf Coast,18.854233153186872
Christian Terrell,98,10,121,43,90,350,35,57,164,47,165,127,341,49,74,1284,UC Santa Barbara,18.854233153186872
Christian Thieneman,3,0,28,5,13,20,1,5,33,3,12,7,19,3,6,134,Marshall,9.016425974171902
Christian Turner,48,0,27,0,36,39,18,18,27,2,6,14,35,9,11,310,Gardner-Webb,15.284670819488133
Christian Vega,0,0,1,0,1,0,0,0,1,0,1,0,2,0,0,4,St. Joseph's,-37.70956671950957
Christian Vital,45,4,73,14,67,229,28,33,87,43,121,73,195,40,50,700,Connecticut,22.63134525101954
Christian Williams,46,1,42,10,28,78,26,28,52,2,13,32,90,12,25,407,Iowa,5.054968657459016
Christian Willis,1,0,3,1,3,5,0,5,4,1,2,2,4,0,2,23,Arkansas St.,-6.816683537415958
Christion Thompson,12,9,27,13,50,64,16,7,40,10,37,20,57,14,20,262,Rhode Island,21.727971360067762
Christopher Galbreath Jr.,10,17,103,61,77,264,13,45,164,2,11,104,218,54,77,496,Sam Houston St.,33.15396249689503
Christopher Miller,1,0,1,0,1,2,0,0,1,0,1,1,2,0,0,12,Grand Canyon,13.472172025059908
Christopher Thomas,5,5,12,9,16,34,2,12,21,3,12,13,34,5,7,167,Alabama A&M,10.150150565354295
Chuba Ohams,19,7,42,22,49,32,17,27,64,1,11,13,39,5,14,275,Fordham,10.448568541210621
Chuchu Enechionyia,1,0,2,1,3,1,0,1,3,0,2,0,2,1,3,11,VMI,-11.14094275945748
Chuck Champion,26,2,26,14,33,108,24,32,40,11,44,36,118,25,35,503,Loyola-Maryland,10.494957541625178
Chuck Ogbodo,2,14,17,20,31,31,3,5,37,0,0,12,23,7,12,140,NC-Wilmington,27.2709833584893
Chuck Smith,12,0,4,3,14,10,1,8,7,0,3,4,12,2,5,79,Howard,2.8256160860206547
Clarence Williams,6,4,33,18,26,60,8,28,51,3,8,22,57,13,18,234,East Carolina,11.611632195031898
Clark Wilkinson,0,0,6,3,13,13,0,1,9,0,0,4,7,5,7,57,Idaho State,14.21890327898738
Clarke Cooper,0,0,1,0,2,0,0,1,1,0,0,0,1,0,0,6,Texas Rio Grande Valley,-31.85150601952141
Clay Verk,4,2,28,23,44,65,3,21,51,3,13,23,72,16,34,268,Stetson,4.514729500769065
Clay Weatherspoon,1,0,4,2,5,4,1,5,6,0,0,1,5,2,3,65,Southern Miss,-3.3829459319220208
Clay Young,1,0,5,1,0,2,0,0,6,0,0,0,0,2,5,13,Kansas,14.251170028830838
Clayton Custer,90,3,60,13,73,347,32,53,73,55,132,119,264,54,67,968,Loyola-Chicago,26.29102618154441
Clayton Jones,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,5,Illinois,-2.28317074291975
Clayton Le Sann,3,0,7,5,8,24,3,11,12,4,17,9,27,2,4,120,Holy Cross,3.337151874946293
Clemmye Owens V,45,2,43,17,47,205,19,31,60,34,100,77,197,17,21,643,Chicago St.,19.51649216771666
Cleon Roberts,33,8,45,17,57,197,36,31,62,38,87,56,139,47,63,654,La Salle,23.38576845815047
Clevon Brown,3,14,30,15,31,53,0,14,45,8,24,20,46,5,10,229,Vanderbilt,15.642861506162566
Cliff Thomas Jr.,1,3,8,1,8,8,1,3,9,0,0,3,4,2,6,64,High Point,10.529503864235686
Clifton Powell,36,2,43,12,51,158,15,40,55,19,50,61,169,17,34,498,UC Santa Barbara,12.136188984463494
Clint Robinson,4,19,70,68,69,126,7,27,138,0,0,34,78,58,86,399,Illinois-Chicago,27.629316269635883
Clive Allen,57,18,36,7,82,175,17,59,43,18,59,60,165,37,53,556,Robert Morris,13.133600540639204
Clive Vaughan Jr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Morgan St.,0.0
Cody Benzel,11,1,20,2,46,114,10,9,22,35,82,39,91,1,1,361,Eastern Washington,19.860104072957306
Cody Cambre,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,10,Northwestern St.,2.744858722390269
Cody Helgeland,34,3,60,20,58,211,19,31,80,43,111,66,166,36,39,643,Jacksonville,11.074890113449218
Cody John,64,5,88,5,59,228,17,46,93,16,57,85,189,42,60,771,Weber St.,19.490511797803293
Cody Kelley,37,1,24,8,51,67,13,21,32,14,43,22,66,9,17,300,Wyoming,12.286029917540432
Cody Schwartz,16,3,24,4,30,95,2,14,28,29,75,32,89,2,4,343,San Jose St.,12.630652063480053
Cody Stetler,16,7,28,14,49,50,5,15,42,0,3,18,51,14,20,239,Houston Baptist,11.051284025602362
Cody Wichmann,46,2,103,12,72,402,26,29,115,90,239,135,323,42,55,1033,Wis.-Milwaukee,27.07238343762743
Colby Leifson,6,0,4,3,15,32,2,6,7,10,31,11,34,0,0,99,Brigham Young,9.683268928346564
Cole Blackstock,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,5,Auburn,0.39143189285622176
Cole Gentry,14,0,16,0,10,21,3,8,16,4,18,6,24,5,8,137,South Dakota State,7.5387348611808145
Cole Huff,20,4,101,15,56,261,12,18,116,50,107,85,186,41,49,662,Creighton,27.33815901284128
Cole Israelson,0,0,1,1,5,5,0,1,2,0,0,1,1,3,4,11,Central Michigan,23.54885921305641
Cole Long,11,7,34,24,55,55,11,15,58,2,23,18,73,17,24,356,Detroit,1.670065020437257
Cole Long,11,7,34,24,55,55,11,15,58,2,23,18,73,17,24,356,Detroit Mercy,1.670065020437257
Cole Martinez,12,1,18,6,29,96,3,5,24,17,44,30,65,19,19,335,Texas A&M CC,20.731876847207932
Cole Murray,31,10,85,6,56,315,16,23,91,91,210,106,230,12,14,848,Northern Kentucky,26.47611461510953
Cole Walton,5,6,23,12,30,16,3,6,35,0,1,5,15,6,13,159,Sacred Heart,9.738796151758638
Cole Welle,0,1,6,6,7,16,0,0,12,0,2,8,16,0,0,38,California,17.268571164538464
Coleman Edwards,1,1,3,0,3,10,2,2,3,2,3,4,5,0,0,25,New Orleans,38.23002280548378
Colin Hale,9,1,7,0,14,20,2,9,7,3,9,6,15,5,8,129,Texas A&M CC,6.12883811551187
Colin Just,0,0,1,1,2,2,0,1,2,0,0,1,2,0,0,9,Houston Baptist,4.382016338051322
Colin Slater,24,1,18,11,36,117,9,27,29,18,73,33,116,33,40,381,Tulane,10.66478690079614
Collin Goss,1,4,10,4,13,20,2,3,14,0,0,7,12,6,8,80,George Washington,23.206414376761497
Collin Luther,2,1,1,2,5,2,1,4,3,0,0,0,0,2,2,46,Elon University,2.794236501028603
Collin McManus,0,1,3,1,3,6,0,1,4,0,0,3,4,0,0,15,Pennsylvania,32.96458642807186
Collin Smith,14,28,103,40,81,178,15,40,143,9,22,68,142,33,60,551,George Washington,24.62648343246923
Collin Stewart,14,14,40,18,46,197,16,27,58,31,97,62,163,42,57,486,Monmouth-NJ,22.93400921870147
Collin Weaver,0,0,1,0,0,0,0,0,1,0,2,0,2,0,0,8,Nevada,-14.706692168242574
Colter Lasher,67,12,70,23,51,351,21,53,93,42,119,123,288,63,77,716,Houston Baptist,30.4750051013143
Colton Blevins,4,1,8,7,13,27,0,4,15,0,1,8,16,11,14,64,Tennessee Tech,31.1799034602411
Colton Ray-St Cyr,60,9,141,40,78,281,25,54,181,37,99,103,230,38,51,762,Coastal Carolina,29.00758037864685
Colton Weisbrod,25,5,145,78,58,394,14,71,223,1,6,134,279,125,175,851,Lamar,30.9875552222148
