,PLAYER,TEAM,YEAR,PER
100,Alex Hart,UC Santa Barbara,2017-2018,14.919143358283579
101,Alex Hicks,Troy,2017-2018,25.619857006416577
102,Alex Hobbs,Boise St.,2017-2018,17.61252094860503
103,Alex Hunter,Furman,2017-2018,16.754438005830867
104,Alex Illikainen,Wisconsin,2017-2018,17.742276708085203
105,Alex King,Army,2017-2018,22.01055949832623
106,Alex Larsson,UC Riverside,2017-2018,17.789628242406327
107,Alex Long,Norfolk State,2017-2018,17.400139169006938
108,Alex O'Connell,Duke,2017-2018,20.380351783647335
109,Alex Olesinski,UCLA,2017-2018,19.539107225804614
110,Alex Peacock,Texas State,2017-2018,24.073453039214723
111,Alex Peters,Samford,2017-2018,10.500012267692917
112,Alex Petrie,Lafayette,2017-2018,6.860536096019838
113,Alex Reed,The Citadel,2017-2018,15.426889417497076
114,Alex Reese,Alabama,2017-2018,3.5410842842726487
115,Alex Robinson,Texas Christian,2017-2018,16.657210313126377
116,Alex Thomas,Towson,2017-2018,16.268658445058637
117,Alex Thompson,Samford,2017-2018,15.414556651395886
118,Alex Watson,Sacred Heart,2017-2018,13.95549681004948
119,Alexander Aka Gorski,Wyoming,2017-2018,12.043307791841428
120,Alexis Dargenton,Utah St.,2017-2018,19.460668869546158
121,Alfred Hollins,Oregon St.,2017-2018,15.913641744054006
122,Alihan Demir,Drexel,2017-2018,21.264318112022092
123,Alize Johnson,Missouri St.,2017-2018,15.321047402861048
124,Aljami Durham,Indiana,2017-2018,4.770656752244903
125,Allante Holston,North Texas,2017-2018,16.49864549352564
126,Allerik Freeman,NC State,2017-2018,17.649749561252996
127,Allonzo Trier,Arizona,2017-2018,10.31746238028934
128,Alonzo Chatman,Morehead St.,2017-2018,12.043108357432924
129,Alpha Diallo,Providence,2017-2018,19.48565036428188
130,Alston Jones,North Carolina Central,2017-2018,10.807495973444047
131,Amaad Wainright,Kansas State,2017-2018,17.256040039245395
132,Amadi Ikpeze,St. Bonaventure,2017-2018,13.070888857364467
133,Amadi Udenyi,Pepperdine,2017-2018,19.018258575215693
134,Amanze Egekeze,Belmont,2017-2018,27.905562402293377
135,Amar Alibegovic,St. John's,2017-2018,11.906018829872167
136,Amar Stukes,La Salle,2017-2018,14.87756924481578
137,Amari Hamilton,No.Carolina A&T,2017-2018,9.224079370856355
138,Amauri Hardy,UNLV,2017-2018,17.245014446922962
139,Ameer Bennett,Delaware State,2017-2018,12.423149337644276
140,Ami Lakoju,UC Santa Barbara,2017-2018,22.881748145173667
141,Amidou Bamba,Coastal Carolina,2017-2018,20.35564412494311
142,Amir Bell,Princeton,2017-2018,26.83296196184995
143,Amir Coffey,Minnesota,2017-2018,23.87782149290066
144,Amir Smith,Florida Atlantic,2017-2018,23.846958013056312
145,Amorie Archibald,Louisiana Tech,2017-2018,25.06196535331258
146,Anas Mahmoud,Louisville,2017-2018,29.02855016245763
147,Anastasios Demogerontas,Northern Illinois,2017-2018,18.992256220968816
148,Anders Broman,Winthrop,2017-2018,24.56146931254868
149,Andre Berry,Rhode Island,2017-2018,17.97781173488658
150,Andre Fox,High Point,2017-2018,27.799101861499803
151,Andre Jones,Little Rock,2017-2018,16.43713085263258
152,Andre Kennedy,Alabama A&M,2017-2018,14.103764273408387
153,Andre Spight,Northern Colorado,2017-2018,25.64036332626629
154,Andre Walker,Loyola-Maryland,2017-2018,17.947510542892783
155,Andre Wesson,Ohio St.,2017-2018,8.813072840463018
156,Andre Wolford,St. Francis (PA),2017-2018,43.87385834505671
157,Andrea Bernardi,Marist,2017-2018,15.38144349358181
158,Andrew Brown,Furman,2017-2018,25.181244620312437
159,Andrew Dakich,Ohio St.,2017-2018,22.33579353529023
160,Andrew Eudy,Campbell,2017-2018,31.881618126624012
161,Andrew Fleming,Lipscomb,2017-2018,11.012616355869547
162,Andrew Fleming,Maine,2017-2018,12.706989279989092
163,Andrew Kostecka,Loyola-Maryland,2017-2018,28.74882189545541
164,Andrew Moemeka,Wyoming,2017-2018,15.861279601731484
165,Andrew Petcash,Boston U,2017-2018,22.99951051016797
166,Andrew Platek,North Carolina,2017-2018,7.477530066187067
167,Andrew Ramirez,Hartford,2017-2018,16.950166614487223
168,Andrew Robinson,Quinnipiac,2017-2018,17.143637466706917
169,Andrew Rowsey,Marquette,2017-2018,30.680323564721437
170,Andrien White,Charlotte,2017-2018,28.017598097396462
171,Andy Van Vliet,Wisconsin,2017-2018,20.09021880494678
172,Anfernee Hampton,Southern Miss,2017-2018,15.660356933307446
173,Anfernee McLemore,Auburn,2017-2018,33.29718388152297
174,Angel Delgado,Seton Hall,2017-2018,30.991875344311804
175,Angel Rivera,Stetson,2017-2018,22.359905961576253
176,Anthony Adger,Florida Atlantic,2017-2018,17.128347153130644
177,Anthony Black,Little Rock,2017-2018,20.241929871359456
178,Anthony Bonner,Colorado St.,2017-2018,11.717855249656333
179,Anthony Cowan,Maryland,2017-2018,10.598109817136931
180,Anthony Durham,Rider,2017-2018,23.212587369523234
181,Anthony Duruji,Louisiana Tech,2017-2018,20.91195543018643
182,Anthony Gaines,Northwestern,2017-2018,5.660820268561028
183,Anthony Gaston,Grambling State,2017-2018,20.11968322547381
184,Anthony Green,Northeastern,2017-2018,23.520785230602645
185,Anthony Harris,Chicago St.,2017-2018,13.581221073413372
186,Anthony Johnson,Northern Colorado,2017-2018,15.70912455249407
187,Anthony Lamb,Vermont,2017-2018,32.65160860884047
188,Anthony Lawrence Jr.,Miami-Florida,2017-2018,23.669316930953887
189,Anthony Longpr,St. Joseph's,2017-2018,16.239574686550963
190,Anthony Mathis,New Mexico,2017-2018,11.256320415289746
191,Anthony Mosley,Delaware,2017-2018,10.710004221778428
192,Anthony Ochefu,Stony Brook,2017-2018,16.978480612487463
193,Anthony Smith,Murray St.,2017-2018,18.70549230351838
194,Anthony Swan,CSU Northridge,2017-2018,14.530712812067877
195,Anthony Tarke,New Jersey Tech,2017-2018,23.231326534834178
196,Anthony Townes,Pacific,2017-2018,24.004275773367215
197,Anthony Wilson,Kennesaw St.,2017-2018,31.512307803248756
198,Anthony Wright,Cleveland St.,2017-2018,26.75639155555608
199,Antino Jackson,New Mexico,2017-2018,13.423439431339297
200,Anton Beard,Arkansas,2017-2018,6.205806844486357
201,Anton Gill,Nebraska,2017-2018,8.941166238924694
202,Antonio Gillespie,Morgan St.,2017-2018,14.146289904733257
203,Antonio Woods,Pennsylvania,2017-2018,19.559185184725695
204,Antravious Simmons,Florida Gulf Coast,2017-2018,28.69685387845874
205,Antwain Johnson,Middle Tennessee St.,2017-2018,19.478564360693284
206,Antwan Walker,Georgetown,2017-2018,15.88864691318033
207,Antwoine Anderson,Connecticut,2017-2018,13.756741356763563
208,Antwon Clayton,Jacksonville,2017-2018,11.65636383546346
209,Antwon Lillard,Bowling Green,2017-2018,18.66542528285819
210,Arell Hennings,UC Davis,2017-2018,21.045478150596704
211,Aric Holman,Mississippi State,2017-2018,33.991367317502714
212,Arinze Anakwenze,Mississippi Valley State,2017-2018,16.530403952263832
213,Arinze Chidom,Washington St.,2017-2018,18.9671147292904
214,Ariston Johnson,Alabama A&M,2017-2018,12.104543998428317
215,Arkadiy Mkrtychyan,Idaho,2017-2018,8.280454679173953
216,Arkel Lamar,MD Baltimore County,2017-2018,22.529509369737443
217,Arkim Robertson,Cal St. Fullerton,2017-2018,28.175027453571452
218,Arlando Cook,Arkansas,2017-2018,5.172741628119474
219,Armani Chaney,Tennessee St.,2017-2018,5.461166845117041
220,Armani Collins,Bethune-Cookman,2017-2018,11.780309635296375
221,Armani Taylor,South Carolina State,2017-2018,11.668251006687434
222,Armel TeTe,Presbyterian,2017-2018,18.585010940935096
223,Armon Fletcher,Southern Illinois,2017-2018,28.550959281872792
224,Armoni Brooks,Houston,2017-2018,11.682194127518276
225,Arnaldo Toro,George Washington,2017-2018,22.78451786564668
226,Artavious McDyess,Arkansas-Pine Bluff,2017-2018,18.278943979960385
227,Artem Tavakalyan,Delaware State,2017-2018,15.529461661774855
228,Arthur Johnson,Alabama A&M,2017-2018,11.718137055872232
229,Artur Labinowicz,Coastal Carolina,2017-2018,14.253261402071265
230,Ashley Williams,Western Carolina,2017-2018,18.921410788971002
231,Ashtin Chastain,San Jose St.,2017-2018,5.436061019075182
232,Ashton Spears,Jacksonville St.,2017-2018,17.370965582183075
233,August Haas,Wis.-Milwaukee,2017-2018,18.796820118329094
234,Augustine Ene,Incarnate Word,2017-2018,14.12171198430013
235,Aundre Jackson,Loyola-Chicago,2017-2018,22.56826741232896
236,Austen Awosika,Cal St. Fullerton,2017-2018,15.317769281954924
237,Austin Ajukwa,Charlotte,2017-2018,12.516300698450008
238,Austin Awad,Winthrop,2017-2018,11.38246336570786
239,Austin Butler,Holy Cross,2017-2018,20.149837366399755
240,Austin Colbert,Hampton,2017-2018,13.10457879819815
241,Austin Dasent,Savannah State,2017-2018,22.09526038492811
242,Austin Grandstaff,DePaul,2017-2018,9.292175836359533
243,Austin Karrer,Texas-San Antonio,2017-2018,17.119185036861367
244,Austin Luke,Belmont,2017-2018,23.903849344531388
245,Austin McCullough,California,2017-2018,3.077104590388559
246,Austin Meyer,Rice,2017-2018,2.888186581186922
247,Austin Nehls,Central Conn. St.,2017-2018,19.841145157698385
248,Austin Phyfe,Northern Iowa,2017-2018,12.217550366681362
249,Austin Reaves,Wichita St.,2017-2018,25.56499899741741
250,Austin Rogers,Alabama St.,2017-2018,13.470561322844706
251,Austin Ruder,Oral Roberts,2017-2018,20.994791554438386
252,Austin Sparks,South Dakota,2017-2018,12.395954643719834
253,Austin Starr,Prairie View A&M,2017-2018,12.682948107175541
254,Austin Tilghman,Monmouth-NJ,2017-2018,27.82590223602365
255,Austin Torres,Notre Dame,2017-2018,17.96282931834388
256,Austin Vereen,VMI,2017-2018,20.05101917724746
257,Austin White,High Point,2017-2018,13.919409301820057
258,Austin Williams,Drexel,2017-2018,19.297127128461494
259,Austin Williams,Marist,2017-2018,18.573644041606574
260,Avery Diggs,South Carolina Upstate,2017-2018,19.678716424325874
261,Avery Johnson Jr.,Alabama,2017-2018,3.44284413061701
262,Avery Patterson,Alcorn St.,2017-2018,9.890947470218803
263,Avery Sullivan,Lamar,2017-2018,1.1401402286722153
264,Averyl Ugba,Austin Peay,2017-2018,23.638270531521915
265,Avi Toomer,Bucknell,2017-2018,12.472033111469282
266,Axel Mpoyo,Grambling State,2017-2018,13.562678933006675
267,Ayo Akinwole,Nebraska Omaha,2017-2018,18.23862992378278
268,Azar Swain,Yale,2017-2018,20.058236384242935
269,Azariah Sykes,Morgan St.,2017-2018,14.681470375456088
270,B.J. Duling,Kent St.,2017-2018,9.808281144984203
271,B.J. Gladden,Georgia Southern,2017-2018,17.209520669464112
272,B.J. Glasford,Stetson,2017-2018,19.43809882965081
273,B.J. Johnson,La Salle,2017-2018,22.140344835709353
274,B.J. Maxwell,Abilene Christian,2017-2018,15.198923799219251
275,B.J. Miller,Troy,2017-2018,23.58002447566551
276,B.J. Stith,Old Dominion,2017-2018,19.837869613618235
277,B.J. Tyson,East Carolina,2017-2018,19.568613588848752
278,BK Ashe,Longwood,2017-2018,15.659687828735306
279,Babacar Thiombane,Army,2017-2018,17.77914331548079
280,Bakari Evelyn,Valparaiso,2017-2018,20.61298451258649
281,Bakary Konate,Minnesota,2017-2018,17.40642038606651
282,Balint Mocsan,Idaho State,2017-2018,23.672400674049513
283,Bam Bowman,Miami (OH),2017-2018,28.005567760516957
284,Barret Benson,Northwestern,2017-2018,8.455091339434183
285,Barry Brown,Kansas State,2017-2018,24.212027788326555
286,Barry Ogalue,Long Beach St.,2017-2018,17.977251540174446
287,Bashir Ahmed,St. John's,2017-2018,22.01339898684339
288,Bates Jones,Davidson,2017-2018,16.891851141888125
289,Ben Carter,Michigan St,2017-2018,12.643279640235981
290,Ben Emelogu II,Southern Methodist,2017-2018,19.313377216868304
291,Ben Kone,Oregon St.,2017-2018,11.80613530039333
292,Ben Lammers,Georgia Tech,2017-2018,27.43955977910685
293,Ben Marcus,Little Rock,2017-2018,22.568016015550903
294,Ben Nakwaasah,Utah Valley,2017-2018,16.289263647195924
295,Ben Richardson,Loyola-Chicago,2017-2018,29.477172522430518
296,Ben Robertson,Bucknell,2017-2018,14.85280930443219
297,Ben Shungu,Vermont,2017-2018,18.48108116053776
298,Benas Griciunas,Eastern Washington,2017-2018,16.153955616879927
299,Bennett Holley,Appalachian St.,2017-2018,10.48742060127128
300,Bennett Koch,Northern Iowa,2017-2018,22.16444290124273
301,Bennie Boatwright,Southern California,2017-2018,31.178079499537326
302,Benson Osayande,Montana St.,2017-2018,13.502430334013422
303,Bill Awet,SIU - Edwardsville,2017-2018,9.346900489915967
304,Billy Brown,North Dakota,2017-2018,8.27023560885813
305,Bishop Mency,Rice,2017-2018,13.2034661019194
306,Bjorn Broman,Winthrop,2017-2018,25.568758844211818
307,Blake Francis,Wagner,2017-2018,23.903040668622516
308,Blake Paul,Tulane,2017-2018,14.129714529016853
309,Blake Reynolds,Yale,2017-2018,22.584288014141556
310,Blake Simmons,Evansville,2017-2018,22.675846002532793
311,Blake Truman,Idaho State,2017-2018,16.40225577388729
312,Bo Hodges,East Tennessee St.,2017-2018,26.23789550637181
313,Bo Zeigler,George Washington,2017-2018,23.951435232301094
314,Bobby Ahearn,Binghamton,2017-2018,17.469224528240506
315,Bobby Jackson,Grambling State,2017-2018,15.052198795980345
316,Bobby Moorehead,Montana,2017-2018,10.598910245649067
317,Bobby Planutis,Mount St. Mary's,2017-2018,13.79046357166029
318,Bobby Word,Cleveland St.,2017-2018,15.651086690063158
319,Bogdan Bliznyuk,Eastern Washington,2017-2018,25.495801287931922
320,Bolden Brace,Northeastern,2017-2018,23.209244408118074
321,Bonzie Colson,Notre Dame,2017-2018,38.81605935638954
322,Bosko Kostur,Bryant,2017-2018,18.27760104335164
323,Bourama Sidibe,Syracuse,2017-2018,17.989107933126803
324,Brad Davison,Wisconsin,2017-2018,17.255436127139724
325,Brad Greene,UC Irvine,2017-2018,13.383820512066137
326,Brady Ellingson,Iowa,2017-2018,5.973233118100768
327,Brady Ernst,Florida Gulf Coast,2017-2018,14.946477413880281
328,Brady Manek,Oklahoma,2017-2018,16.44463393727894
329,Braian Angola,Florida State,2017-2018,25.40126351926358
330,Brailen Neely,Oakland,2017-2018,26.301177011866617
331,Brandan Stith,Old Dominion,2017-2018,31.266614207288736
332,Branden Johnson,Alabama St.,2017-2018,25.066268709017418
333,Brandon Allen,Florida State,2017-2018,20.18944771488356
334,Brandon Alston,Georgia Tech,2017-2018,16.567106835103182
335,Brandon Anderson,Brown,2017-2018,25.32257566194617
336,Brandon Armstrong,South Dakota,2017-2018,8.46459699957172
337,Brandon Averette,Oklahoma State,2017-2018,20.993997444266096
338,Brandon Better,Southern Utah,2017-2018,16.45072335062351
339,Brandon Boyd,Idaho State,2017-2018,30.04725351758402
340,Brandon Carroll,Bryant,2017-2018,14.104913560628669
341,Brandon Childress,Wake Forest,2017-2018,18.4358249515003
342,Brandon Cyrus,DePaul,2017-2018,15.778917792708153
343,Brandon Davis,UC Santa Barbara,2017-2018,9.854956108935411
344,Brandon Gilbeck,Western Illinois,2017-2018,23.529268610010256
345,Brandon Goldsmith,North Carolina Central,2017-2018,13.039674450237582
346,Brandon Goodwin,Florida Gulf Coast,2017-2018,31.150544171249486
347,Brandon Hollins,Portland St.,2017-2018,25.549487769682305
348,Brandon Horvath,MD Baltimore County,2017-2018,14.523445786069932
349,Brandon Hutton,Northwestern St.,2017-2018,7.284055511157277
350,Brandon Jackson,SIU - Edwardsville,2017-2018,12.814031484280958
351,Brandon Johnson,Western Michigan,2017-2018,18.886808409298006
352,Brandon Key,South Dakota State,2017-2018,19.897117948140536
353,Brandon McCoy,UNLV,2017-2018,31.59205190113989
354,Brandon McKissic,UMKC,2017-2018,14.588447458199445
355,Brandon Murphy,Indiana St.,2017-2018,27.123245653249995
356,Brandon Newman,Louisiana Monroe,2017-2018,13.706011609490323
357,Brandon Rachal,Louisiana State,2017-2018,25.867992510949964
358,Brandon Randolph,Arizona,2017-2018,7.708583919818809
359,Brandon Randolph,Utah Valley,2017-2018,21.765476421296576
360,Brandon Robinson,North Carolina,2017-2018,9.168273881478767
361,Brandon Rosser,UC Riverside,2017-2018,16.915196756798164
362,Brandon Sampson,Louisiana State,2017-2018,20.38606407114242
363,Brandon Smith,UC Irvine,2017-2018,16.428303594027287
364,Brandon Tabb,Bethune-Cookman,2017-2018,18.59485562692008
365,Brandon Thomas,Hawaii,2017-2018,7.2225532799738525
366,Brandon Walters,Middle Tennessee St.,2017-2018,27.305653656718942
367,Brandone Francis,Texas Tech,2017-2018,12.748838364377029
368,Brandonn Kamga,High Point,2017-2018,20.561070951835134
369,Braun Hartfield,Youngstown St.,2017-2018,31.00341289825208
370,Braxton Beverly,NC State,2017-2018,24.138636085905752
371,Braxton Bonds,Houston Baptist,2017-2018,19.94758121775733
372,Braxton Key,Alabama,2017-2018,4.671652471520608
373,Braxton Tucker,Portland St.,2017-2018,8.99375797562838
374,Brayon Blake,Idaho,2017-2018,13.767790384119783
375,Breaon Brady,Houston,2017-2018,7.595972116281952
376,Breein Tyree,Mississippi,2017-2018,6.160302386847523
377,Brekkott Chapman,Weber St.,2017-2018,22.269151443281476
378,Brendan Barry,Dartmouth,2017-2018,24.207923997612802
379,Brendon Gooch,Southern Illinois,2017-2018,20.958122435807542
380,Brendon Myles,Florida A&M,2017-2018,4.593518410077169
381,Brent Holcombe,Loyola-Maryland,2017-2018,9.544101998256004
382,Brent Wrapp,Cal. State - Bakersfield,2017-2018,17.358210792122467
383,Brenton Scott,Indiana St.,2017-2018,20.92333894553957
384,Brett Prahl,Wis.-Milwaukee,2017-2018,21.98206961198603
385,Brevin Pritzl,Wisconsin,2017-2018,21.951349752131744
386,Brian Beard Jr.,Florida International,2017-2018,24.976396729226174
387,Brian Carey,Texas Southern,2017-2018,11.129543213896516
388,Brian Coffey II,North Florida,2017-2018,10.609706362985602
389,Brian Dawkins,Elon University,2017-2018,21.762292560949042
390,Brian Parker,Marist,2017-2018,18.27136168773876
391,Brian Patrick,Kansas State,2017-2018,12.747589648560789
392,Brian Starr,Towson,2017-2018,19.339300935957276
393,Brian Thomas,Florida Gulf Coast,2017-2018,28.081093970350487
394,Brion Sanchious,Murray St.,2017-2018,25.91877122890736
395,Brock Stull,Wis.-Milwaukee,2017-2018,23.135427351911357
396,Brocke Stepteau,Hawaii,2017-2018,19.103571672975416
397,Broderick Robinson,UMKC,2017-2018,24.317174821847757
398,Bronson Kessinger,Indiana St.,2017-2018,16.85701576369525
399,Brooks DeBisschop,Northern Arizona,2017-2018,15.337705439330957
400,Bruce Brown,Miami-Florida,2017-2018,25.21153813027063
401,Bruce Moore,Bucknell,2017-2018,19.73817321835718
402,Bruce Stevens,Mississippi,2017-2018,8.139547051791476
403,Bruno Fernando,Maryland,2017-2018,9.532440952242363
